throws,error
100,0.32
100,0.24
100,0.04
100,0.12
100,0.08
100,0.04
100,0.24
100,0.2
100,0.08
100,0.12
200,0.1
200,0.08
200,0.04
200,0.24
200,0
200,0.14
200,0.08
200,0.08
200,0.1
200,0.14
300,0.106667
300,0.0133333
300,0.133333
300,0.0533333
300,0.0533333
300,0.266667
300,0.133333
300,0.0933333
300,0.2
300,0.0133333
400,0.08
400,0.12
400,0.09
400,0.07
400,0.18
400,0.06
400,0.03
400,0.03
400,0.01
400,0.05
500,0.104
500,0.096
500,0.032
500,0.064
500,0.056
500,0.008
500,0.064
500,0.048
500,0.024
500,0.04
600,0.04
600,0.0666667
600,0.0333333
600,0.0133333
600,0.106667
600,0.04
600,0.00666667
600,0.14
600,0.0133333
600,0.0266667
700,0.0742857
700,0.0457143
700,0.0514286
700,0.0571429
700,0.125714
700,0.0514286
700,0.0114286
700,0.0114286
700,0.0114286
700,0.04
800,0.02
800,0.09
800,0.025
800,0.05
800,0.025
800,0.07
800,0.055
800,0.015
800,0.04
800,0.11
900,0.0177778
900,0.00888889
900,0.08
900,0.0177778
900,0.00444444
900,0.168889
900,0.111111
900,0.0533333
900,0.00888889
900,0.0266667
1000,0.024
1000,0.068
1000,0.064
1000,0.092
1000,0.032
1000,0.032
1000,0.02
1000,0.048
1000,0.088
1000,0.012
1100,0
1100,0.0472727
1100,0.0436364
1100,0.0290909
1100,0.0145455
1100,0.0109091
1100,0.0290909
1100,0.0872727
1100,0.00727273
1100,0.00363636
1200,0.0466667
1200,0.0266667
1200,0.0166667
1200,0.0233333
1200,0.0966667
1200,0.01
1200,0.02
1200,0.0366667
1200,0.0633333
1200,0.00333333
1300,0.0123077
1300,0.0215385
1300,0.0923077
1300,0.0307692
1300,0.0307692
1300,0.0769231
1300,0.0276923
1300,0.00923077
1300,0.0153846
1300,0.04
1400,0.0114286
1400,0.105714
1400,0.0314286
1400,0.0771429
1400,0.102857
1400,0.04
1400,0.0685714
1400,0
1400,0.0114286
1400,0.04
1500,0.0613333
1500,0.0213333
1500,0.032
1500,0.0426667
1500,0.0266667
1500,0.032
1500,0.0293333
1500,0.0133333
1500,0.0133333
1500,0.0213333
1600,0.05
1600,0.0225
1600,0.005
1600,0.015
1600,0.01
1600,0.0375
1600,0
1600,0.05
1600,0.0125
1600,0.0325
1700,0.0188235
1700,0.00470588
1700,0.0447059
1700,0.0258824
1700,0.00470588
1700,0.0752941
1700,0.0682353
1700,0.105882
1700,0.0729412
1700,0.0564706
1800,0.00888889
1800,0.0422222
1800,0.0733333
1800,0.0377778
1800,0.0177778
1800,0.0533333
1800,0.02
1800,0.0244444
1800,0.00888889
1800,0.0111111
1900,0.0147368
1900,0.00842105
1900,0.0252632
1900,0.0568421
1900,0.0147368
1900,0.0147368
1900,0.0610526
1900,0.0147368
1900,0.0147368
1900,0.0147368
2000,0.022
2000,0.014
2000,0.008
2000,0.022
2000,0.022
2000,0.024
2000,0.016
2000,0.024
2000,0.034
2000,0.02
2100,0.0438095
2100,0.0666667
2100,0.0495238
2100,0.00761905
2100,0.0190476
2100,0.0380952
2100,0.00190476
2100,0.00761905
2100,0.0152381
2100,0.0152381
2200,0.0272727
2200,0.0145455
2200,0.0254545
