throws,error
100,0.00687316
100,0.00687316
100,0.00585924
100,0.0185916
100,0.094986
100,0.0185916
100,0.0440564
100,0.0440564
100,0.0450703
100,0.0323379
200,0.0259717
200,0.0641689
200,0.0122254
200,0.0387041
200,0.0387041
200,0.0185916
200,0.0122254
200,0.0450703
200,0.0259717
200,0.0323379
300,0.0101034
300,0.0185916
300,0.0408262
300,0.0737653
300,0.0493145
300,0.0270799
300,0.00687316
300,0.0196056
300,0.0483006
300,0.0398123
400,0.000506957
400,0.0227886
400,0.0227886
400,0.0185916
400,0.0259717
400,0.0132394
400,0.0100563
400,0.0472395
400,0.0227886
400,0.0164225
500,0.0170591
500,0.0145126
500,0.0323379
500,0.00840572
500,0.0185916
500,0.00687316
500,0.0109522
500,0.00331276
500,0.00941963
500,0.0297915
600,0.0217276
600,0.0101034
600,0.0302159
600,0.0302159
600,0.0122254
600,0.0302159
600,0.0111173
600,0.0101034
600,0.00687316
600,0.0280938
700,0.00222141
700,0.00869207
700,0.0167727
700,0.0131349
700,0.0123299
700,0.00869207
700,0.00141641
700,0.00222141
700,0.0359758
700,0.0250623
800,0.00267614
800,0.00108459
800,0.0084647
800,0.035521
800,0.00585924
800,0.0154085
800,0.0122254
800,0.0265494
800,0.0259717
800,0.00369006
900,0.0252644
900,0.022435
900,0.0252644
900,0.00828787
900,0.0139467
900,0.0228358
900,0.00727395
900,0.00585924
900,0.0270799
900,0.0115181
1000,0.0132394
1000,0.00687316
1000,0.000506957
1000,0.00432668
1000,0.0234253
1000,0.00331276
1000,0.000766282
1000,0.0132394
1000,0.0119661
1000,0.00432668
1100,0.00224319
1100,0.00455817
1100,0.00238677
1100,0.00817422
1100,0.00585924
1100,0.00571566
1100,0.0162767
1100,0.0301665
1100,0.00455817
1100,0.0116467
1200,0.0249578
1200,0.0387041
1200,0.00899522
1200,0.0143004
1200,0.0132865
1200,0.0323379
1200,0.00904234
1200,0.0217747
1200,0.00585924
1200,0.0196527
1300,0.00879749
1300,0.0381799
1300,0.020585
1300,0.0107908
1300,0.00393491
1300,0.0117702
1300,0.00487983
1300,0.0136946
1300,0.0107563
1300,0.0166328
1400,0.00414478
1400,0.0067687
1400,0.0185916
1400,0.0186961
1400,0.0150583
1400,0.0150583
1400,0.00687316
1400,0.00494978
1400,0.00414478
1400,0.0331429
1500,0.0126499
1500,0.00501041
1500,0.00941963
1500,0.00432668
1500,0.000766282
1500,0.0126499
1500,0.00246393
1500,0.00347785
1500,0.0017802
1500,0.0153614
1600,0.00766893
1600,0.00267614
1600,0.00506347
1600,0.0084647
1600,0.00745079
1600,0.00824656
1600,0.0140351
1600,0.0315422
1600,0.00528161
1600,0.0227886
1700,0.00436131
1700,0.00612419
1700,0.00211442
1700,0.00136545
1700,0.00136545
1700,0.0230854
1700,0.032822
1700,0.0188566
1700,0.00436131
1700,0.0166097
1800,0.00404373
1800,0.00515189
1800,0.000907753
1800,0.0171769
1800,0.0115181
1800,0.00121431
1800,0.0143475
