throws,error
100,0.0440564
100,0.0323379
100,0.0440564
100,0.0323379
100,0.0323379
100,0.0196056
100,0.00687316
100,0.108732
100,0.0695212
100,0.0567888
200,0.0641689
200,0.00585924
200,0.0769013
200,0.0196056
200,0.0259717
200,0.0259717
200,0.0450703
200,0.0185916
200,0.000506957
200,0.0567888
300,0.0111173
300,0.00687316
300,0.0440564
300,0.0153614
300,0.0567888
300,0.0493145
300,0.0238497
300,0.0196056
300,0.00585924
300,0.0535586
400,0.00585924
400,0.0100563
400,0.000506957
400,0.0164225
400,0.00585924
400,0.00904234
400,0.0132394
400,0.0132394
400,0.035521
400,0.00585924
500,0.0262311
500,0.000766282
500,0.00432668
500,0.00840572
500,0.0323379
500,0.00687316
500,0.00331276
500,0.027245
500,0.027245
500,0.0196056
600,0.00899522
600,0.00475109
600,0.0259717
600,0.0164696
600,0.031324
600,0.0101034
600,0.0207137
600,0.0238497
600,0.0101034
600,0.0270799
700,0.0131349
700,0.0123299
700,0.0240484
700,0.0232434
700,0.0476943
700,0.0185916
700,0.0250623
700,0.00949707
700,0.0240484
700,0.0141488
800,0.0376902
800,0.0376902
800,0.0116478
800,0.00108459
800,0.013817
800,0.0259717
800,0.0227886
800,0.0132394
800,0.00745079
800,0.0196056
900,0.0115181
900,0.00970258
900,0.0214211
900,0.00828787
900,0.000200398
900,0.022435
900,0.0115181
900,0.0129328
900,0.0214211
900,0.000200398
1000,0.00687316
1000,0.00585924
1000,0.0173184
1000,0.000766282
1000,0.00585924
1000,0.0173184
1000,0.0387041
1000,0.0224114
1000,0.000506957
1000,0.0173184
1100,0.023078
1100,0.0116467
1100,0.0104892
1100,0.0161331
1100,0.0290091
1100,0.0266941
1100,0.0115031
1100,0.035954
1100,0.00470175
1100,0.0417414
1200,0.0101034
1200,0.00262902
1200,0.00798131
1200,0.00161511
1200,0.00262902
1200,0.00585924
1200,0.0101034
1200,0.0122254
1200,0.029202
1200,0.0111173
1300,0.0156534
1300,0.00687316
1300,0.0195711
1300,0.00879749
1300,0.037235
1300,0.0274064
1300,0.00781807
1300,0.00785257
1300,0.00687316
1300,0.00883199
1400,0.0104065
1400,0.0150583
1400,0.00778261
1400,0.0176822
1400,0.0104065
1400,0.0123299
1400,0.00131196
1400,0.0104065
1400,0.00232587
1400,0.00414478
1500,0.0017802
1500,0.00687316
1500,0.011801
1500,0.000931371
1500,0.00347785
1500,0.0347193
1500,0.0399774
1500,0.00755689
1500,0.00347785
1500,0.0213032
1600,0.00607738
1600,0.0122254
1600,0.00607738
1600,0.0360987
1600,0.0132394
1600,0.00745079
1600,0.00585924
1600,0.0353029
1600,0.00130273
1600,0.00665502
1700,0.0253323
1700,0.0158607
1700,0.0188566
1700,0.0178427
1700,0.00810613
1700,0.00361235
1700,0.00687316
1700,0.0038773
1700,0.00810613
1700,0.0140978
1800,0.000506957
1800,0.00475109
1800,0.00444453
1800,0.00545844
1800,0.00444453
1800,0.0122254
1800,0.0118246
1800,0.019299
1800,0.00333638
1800,0.0231423
1900,0.0192618
1900,0.0139008
1900,0.0199319
1900,0.0172514
1900,0.0192618
1900,0.00151215
1900,0.00652937
1900,0.00853974
1900,0.00352252
1900,0.0149147
2000,0.00432668
2000,0.0122254
2000,0.013876
2000,0.00331276
2000,0.000129662
2000,0.0157858
2000,0.0103156
2000,0.00878301
2000,0.000129662
2000,0.0160452
2100,0.0202119
2100,0.00566055
2100,0.00949707
2100,0.00747946
2100,0.010511
2100,0.00646554
2100,0.00343402
2100,0.0119223
2100,0.0189992
2100,0.000402499
2200,0.00976688
2200,0.00122928
2200,0.00296551
2200,0.0174341
2200,0.00354426
2200,0.00933171
2200,0.00470175
2200,0.00122928
2200,0.0010857
2200,0.00918814
2300,0.00631957
2300,0.0184984
2300,0.00521241
2300,0.00576599
2300,0.00410524
2300,0.00576599
2300,0.0113951
2300,0.012409
2300,0.00299808
2300,0.00475208
2400,0.018014
2400,0.00426769
2400,0.00528161
2400,0.00692027
2400,0.00532872
2400,0.00528161
2400,0.00161511
2400,0.00793419
2400,2.35591e-05
2400,0.00585924
2500,0.0124754
2500,0.000252309
2500,0.00840104
2500,0.000252309
2500,0.0104382
2500,0.0191009
2500,0.0104382
2500,0.0165545
2500,0.0124801
2500,0.0109522
2600,0.0097769
2600,0.0136946
2600,0.00589374
2600,0.002921
2600,0.00638345
2600,0.011246
2600,0.00879749
2600,0.002921
2600,0.00883199
2600,0.0210402
2700,0.000671968
2700,0.00350139
2700,0.00498687
2700,0.00215745
2700,0.0130036
2700,0.00680238
2700,0.000271172
2700,0.000671968
2700,0.00727395
2700,0.0120604
2800,0.0059637
2800,0.0140444
2800,0.00449506
2800,0.0126802
2800,0.0100563
2800,0.00404033
2800,0.0104065
2800,0.0027806
2800,0.0122254
2800,0.0140444
2900,0.0102497
2900,0.0027859
2900,0.00160458
2900,0.00423887
2900,0.00248267
2900,0.00423887
2900,0.00629829
2900,0.00102971
2900,0.0081903
2900,0.00511696
3000,0.000506957
3000,0.00941963
3000,0.0143475
3000,0.00135578
3000,0.004586
3000,0.00585924
3000,0.00644874
3000,0.00602433
3000,0.00161511
3000,0.0162102
3100,0.00153376
3100,0.00257346
3100,0.00892677
3100,0.0134447
3100,0.0087343
3100,0.00112304
3100,0.021056
3100,0.00358738
3100,0.0107879
3100,0.00851604
3200,0.00170062
3200,0.00466558
3200,0.00108459
3200,0.0162043
3200,0.0136372
3200,0.00148248
3200,0.00926048
3200,0.0100563
3200,0.00209851
3200,0.0164225
3300,0.0101034
3300,0.0212924
3300,0.00455817
3300,0.0066309
3300,0.00238677
3300,0.0134323
3300,0.0027726
3300,0.0104892
3300,0.00238677
3300,0.00778839
3400,0.0170937
3400,0.00136545
3400,0.0113669
3400,0.000506957
3400,0.0038773
3400,0.00949453
3400,0.00462626
3400,0.00912005
3400,0.0152213
3400,0.00687316
3500,0.0160452
3500,0.00214398
3500,0.0025852
3500,0.00404033
3500,0.00840572
3500,0.000766282
3500,0.000402499
3500,0.0079645
3500,0.00404033
3500,0.00541802
3600,0.0238968
3600,0.00232246
3600,0.00692027
3600,0.00227535
3600,0.0111173
3600,0.0125791
3600,0.0029827
3600,0.00302982
3600,0.0121783
3600,0.00651948
3700,0.0189358
3700,0.0127232
3700,0.005171
3700,0.00035334
3700,0.011021
3700,0.00379453
3700,0.00549668
3700,0.00379453
3700,0.00620336
3700,0.00448277
3800,0.0118991
3800,0.00686443
3800,0.00686443
3800,0.0165813
3800,0.000171894
3800,0.0115553
3800,0.00888353
3800,0.00317874
3800,0.0155761
3800,0.00251734
3900,0.0160144
3900,0.00487983
3900,0.0159799
3900,0.00879749
3900,0.00164961
3900,0.0097769
3900,0.000309222
3900,0.00883199
3900,0.00426138
3900,0.00556727
4000,0.00209851
4000,0.0103156
4000,0.0148309
4000,0.0208788
4000,0.00305344
4000,0.000129662
4000,0.00872403
4000,0.00241682
4000,0.0017802
4000,0.0157268
4100,0.00927525
4100,0.00834361
4100,0.00120105
4100,0.00523815
4100,0.00594152
4100,0.00283605
4100,0.0123807
4100,0.0145545
4100,0.00407824
4100,0.00190442
4200,0.0067687
4200,0.00475109
4200,0.00323533
4200,0.00646554
4200,0.00161511
4200,0.00494978
4200,0.00929837
4200,0.0104065
4200,0.00525294
4200,0.00141641
4300,0.0135579
4300,0.00657705
4300,0.00526704
4300,0.00200991
4300,0.00805756
4300,0.000825503
4300,0.0011216
4300,0.00408263
4300,0.0130913
4300,0.0169406
4400,0.00137508
4400,0.00614861
4400,0.0171448
4400,0.00151865
4400,0.0122254
4400,0.00195382
4400,0.00036116
4400,0.0117925
4400,0.00369006
4400,0.0042688
4500,0.00529336
4500,0.00460962
4500,0.00998552
4500,0.00121431
4500,0.0035957
4500,0.00104922
4500,0.000365486
4500,0.00501041
4500,0.00699101
4500,0.00743904
4600,0.00475208
4600,0.00438203
4600,0.00115379
4600,0.00355166
4600,0.0223735
4600,0.000230166
4600,0.0111183
4600,0.0100111
4600,0.0125022
4600,0.00410524
4700,0.00199692
4700,0.00883916
4700,0.0115482
4700,0.0134445
4700,0.00226782
4700,0.0160838
4700,0.00497684
4700,0.00125391
4700,0.00308053
4700,0.00531744
4800,0.009791
4800,0.0124907
4800,0.00554686
4800,0.00448583
4800,0.00824656
4800,0.0124907
4800,0.0185445
4800,0.000288817
4800,0.00315954
4800,0.000554076
4900,0.0133947
4900,0.00687316
4900,0.00609362
4900,0.0027411
4900,0.00352064
4900,0.00167626
4900,0.00687316
4900,0.00975691
4900,0.00219595
4900,0.00170172
5000,0.00815107
5000,0.0050953
5000,0.00203484
5000,0.00153023
5000,0.00560459
5000,0.000252309
5000,0.00509062
5000,0.00687783
5000,0.00509062
5000,0.00483597
5100,0.00762212
5100,0.00511028
5100,0.00113109
5100,0.00637385
5100,0.00312833
5100,0.0121159
5100,0.00211442
5100,0.000366834
5100,0.00637385
5100,0.00138075
5200,0.0034452
5200,0.00561439
5200,0.00687316
5200,0.00491433
5200,0.000506957
5200,0.00369006
5200,0.00613859
5200,0.0107563
5200,0.00830778
5200,0.00243129
5300,0.00754088
5300,0.00153503
5300,0.00609947
5300,0.00561901
5300,0.00513854
5300,0.0107169
5300,0.00153503
5300,0.00206848
5300,0.0157618
5300,0.0111444
5400,0.00710894
5400,0.00868866
5400,0.00680238
5400,0.00279403
5400,0.00380795
5400,0.00279403
5400,0.000271172
5400,0.000200398
5400,0.00357216
5400,0.00357216
5500,0.0013172
5500,0.00409518
5500,0.0112716
5500,0.00817422
5500,0.0190546
5500,0.000534784
5500,0.00386368
5500,0.00331276
5500,0.00817422
5500,0.0126606
5600,0.00118905
5600,0.00391742
5600,0.00881497
5600,0.00722343
5600,0.0121025
