n3,n4
0.874731,0.63454
0.702047,0.325468
0.389491,0.892117
0.907574,0.784643
0.805835,0.760821
0.327156,0.785698
0.998024,0.906183
0.637897,0.878568
0.846477,0.919791
0.637054,0.671148
0.691354,0.883379
0.986008,0.956374
0.781922,0.906188
0.795128,0.941345
0.684999,0.914739
0.689819,0.971469
0.900665,0.546832
0.84288,0.940258
0.75754,0.658402
0.836304,0.984356
0.517182,0.975853
0.80891,0.848424
0.678644,0.972757
0.690971,0.685761
0.764436,0.714812
0.999379,0.880293
0.747428,0.905086
0.881232,0.999235
0.806159,0.966659
0.864128,0.915537
0.729802,0.969697
0.588805,0.83404
0.720521,0.882023
0.978108,0.990666
0.991744,0.885376
0.978192,0.918918
0.878226,0.894649
0.874403,0.9909
0.425802,0.925182
0.93758,0.792869
0.8821,0.841654
0.969498,0.647398
0.339525,0.738619
0.906354,0.74058
0.945939,0.838071
0.8013,0.925966
0.916395,0.964378
0.992025,0.962496
0.954754,0.782656
0.762872,0.449532
0.660508,0.86577
0.882602,0.89902
0.803538,0.935371
0.79031,0.987894
0.996144,0.663095
0.71463,0.615411
0.907466,0.970681
0.640067,0.976922
0.920902,0.959677
0.891308,0.949045
0.996538,0.651714
0.840226,0.822325
0.635606,0.842119
0.943384,0.962216
0.933081,0.777772
0.693011,0.902042
0.436593,0.673267
0.835886,0.901716
0.952383,0.872539
0.755149,0.875955
0.901419,0.724563
0.981822,0.809651
0.952944,0.661633
0.614398,0.971937
0.664158,0.789686
0.581394,0.591125
0.851905,0.963441
0.999796,0.965538
0.914974,0.629529
0.949903,0.982311
0.819608,0.75418
0.645716,0.911889
0.842546,0.773572
0.972842,0.3194
0.576588,0.722371
0.81239,0.491428
0.953808,0.885014
0.609561,0.745318
0.600674,0.98395
0.682055,0.973203
0.499259,0.839526
0.710006,0.622957
0.836148,0.501821
0.883872,0.80927
0.988411,0.495987
0.68281,0.917963
0.649011,0.957353
0.925663,0.955181
0.572361,0.784271
0.996824,0.671241
0.864378,0.714773
0.881642,0.515746
0.973468,0.962919
0.712285,0.680189
0.886777,0.921937
0.550751,0.851073
0.989873,0.996214
0.913693,0.66256
0.769204,0.719827
0.588728,0.895414
0.351012,0.647315
0.980343,0.783538
0.589479,0.903421
0.856719,0.889161
0.8983,0.509753
0.968548,0.92648
0.969879,0.978866
0.638846,0.861852
0.807619,0.862352
0.768414,0.806464
0.629016,0.79888
0.985349,0.893817
0.92766,0.972879
0.630446,0.697612
0.558422,0.989246
0.33343,0.88106
0.856493,0.942694
0.583254,0.703441
0.54724,0.837445
0.857486,0.661411
0.558316,0.392264
0.973523,0.940159
0.771331,0.787186
0.748017,0.844454
0.983526,0.999317
0.8779,0.81242
0.938235,0.861558
0.459396,0.941667
0.835129,0.973109
0.885553,0.97373
0.952458,0.752584
0.834629,0.961157
0.998268,0.811412
0.995986,0.777573
0.532866,0.89972
0.946246,0.92408
0.678141,0.979912
0.797585,0.868725
0.858238,0.683599
0.769964,0.622243
0.927531,0.769015
0.928949,0.761988
0.565552,0.730487
0.679855,0.992009
0.856071,0.879462
0.935267,0.660802
0.837467,0.649885
0.507489,0.688822
0.326628,0.892232
0.861506,0.513849
0.820704,0.795371
0.713674,0.866197
0.87369,0.806374
0.829328,0.765869
0.966318,0.690989
0.857464,0.821031
0.601138,0.987765
0.747313,0.757304
0.80893,0.650979
0.775839,0.687335
0.9723,0.586528
0.958322,0.670416
0.87177,0.978602
0.830252,0.796225
0.43579,0.971399
0.940265,0.685955
0.975882,0.681226
0.860696,0.432164
0.845791,0.706984
0.991601,0.914599
0.923355,0.973492
0.49682,0.730146
0.740924,0.868607
0.694784,0.488674
0.564377,0.889983
0.610137,0.60012
0.995903,0.839568
0.819101,0.771821
0.286581,0.877108
0.6532,0.891357
0.827769,0.65703
0.798124,0.826885
0.820386,0.91723
0.640995,0.773294
0.920666,0.87624
0.607982,0.792407
0.846935,0.916372
0.927562,0.855771
0.703196,0.908197
0.927362,0.827987
0.746517,0.965112
0.77957,0.903119
0.620762,0.779435
0.963461,0.748698
0.959761,0.994616
0.99376,0.803304
0.687458,0.738745
0.870626,0.9642
0.950196,0.990349
0.982794,0.961734
0.984807,0.676932
0.930904,0.75964
0.726537,0.905687
0.421529,0.533875
0.8374,0.922518
0.95745,0.858505
0.748241,0.837364
0.974554,0.949733
0.984607,0.914533
0.937716,0.431142
0.997253,0.962975
0.702795,0.826151
0.957194,0.973603
0.518155,0.733796
0.543053,0.911611
0.927203,0.938973
0.95839,0.973503
0.854503,0.842286
0.817593,0.447217
0.700615,0.941403
0.939744,0.849597
0.836777,0.4621
0.901688,0.779966
0.982933,0.842071
0.808099,0.987669
0.963713,0.950236
0.997511,0.943639
0.781711,0.94223
