r_naive,r_correct,theta
0.774632,0.969211,0.885939
0.133903,0.564982,4.04039
0.252834,0.772575,4.63048
0.299246,0.893586,3.53868
0.0227695,0.372441,1.2634
0.707641,0.454776,0.315302
0.164015,0.803313,6.28224
0.0682066,0.287914,4.91784
0.868187,0.171932,1.25005
0.0643235,0.800247,4.27512
0.292314,0.847843,3.10621
0.833091,0.624778,2.18112
0.64067,0.623647,4.98209
0.485202,0.14747,1.45955
0.445933,0.337229,2.37604
0.843295,0.598806,2.43086
0.0714798,0.838312,2.63524
0.308347,0.580589,1.32894
0.633017,0.476423,1.49639
0.846881,0.695267,2.50737
0.495522,0.98372,4.267
0.343295,0.994044,0.168581
0.416318,0.100214,5.51981
0.94299,0.889275,0.875496
0.776772,0.85304,0.482668
0.227296,0.78933,5.67911
0.381048,0.673804,4.66089
0.419096,0.906366,1.82839
0.856693,0.978,2.0852
0.374632,0.841978,2.66757
0.146262,0.469177,3.65063
0.976759,0.543133,4.48759
0.583728,0.581318,1.47966
0.943882,0.222367,3.50589
0.350689,0.980554,1.03701
0.587064,0.393253,4.76287
0.39837,0.710565,0.827485
0.381128,0.778353,0.958014
0.630154,0.898543,0.0319619
0.204324,0.872654,4.52472
0.246454,0.961129,1.45144
0.619766,0.271248,5.03974
0.0613249,0.943665,0.658292
0.337031,0.307306,1.12757
0.0575647,0.825874,1.15788
0.92769,0.821827,3.43071
0.66581,0.697426,5.35178
0.433202,0.134323,0.902941
0.819628,0.728275,0.290237
0.0639626,0.911029,5.01939
0.415162,0.914129,1.69819
0.213099,0.135132,3.8329
0.600038,0.705292,1.20641
0.950951,0.548181,5.47687
0.651766,0.855002,5.96628
0.0167849,0.91313,0.212689
0.0480721,0.660187,4.07468
0.399213,0.523182,2.65185
0.302444,0.879683,2.56733
0.114466,0.841426,4.82439
2.30344e-05,0.234785,4.14119
0.676179,0.693796,3.94992
0.982663,0.885458,0.565893
0.778323,0.894391,0.420387
0.324595,0.710766,1.40875
0.539931,0.713723,5.50841
0.54214,0.328042,0.45434
0.673272,0.785675,4.03308
0.98428,0.838858,2.01404
0.189193,0.924467,2.609
0.954166,0.890131,2.09309
0.502723,0.627068,2.22544
0.576521,0.447257,5.78993
0.432995,0.983124,5.13502
0.931731,0.43713,3.36081
0.0770492,0.675822,2.81439
0.0442051,0.675732,3.08762
0.557888,0.870906,0.852766
0.139616,0.816289,5.62935
0.784879,0.93902,3.74725
0.635405,0.417852,1.09235
0.417303,0.980775,0.11049
0.239548,0.810005,3.85742
0.384569,0.566406,2.01736
0.000962462,0.569094,2.17073
0.135059,0.177814,5.10924
0.0721934,0.968583,4.25501
0.240082,0.990993,4.76361
0.00218577,0.991071,4.96886
0.487031,0.892725,2.67617
0.297167,0.720437,3.82124
0.532338,0.524836,5.93989
0.668051,0.688636,0.518303
0.745668,0.638563,3.56111
0.254663,0.939229,5.39283
0.225469,0.854518,1.62087
0.360868,0.569942,5.11839
0.722808,0.795429,3.68388
0.789823,0.421791,2.91489
0.791414,0.792325,3.28219
0.337168,0.157679,2.86027
0.324397,0.685279,3.39123
0.26856,0.924052,5.12302
0.682319,0.0564739,2.36837
0.278282,0.273,1.45081
0.992121,0.997711,1.89375
0.492037,0.83067,5.52348
0.124973,0.8858,5.12444
0.138612,0.36821,5.1523
0.595443,0.926859,4.96052
0.268386,0.987113,2.36616
0.895143,0.765294,0.0885497
0.0604922,0.992932,1.94046
0.245492,0.906615,1.55953
0.449378,0.587088,0.142532
0.00326161,0.691594,5.24531
0.827485,0.512249,6.25118
0.191553,0.328997,2.52946
0.0326518,0.817901,4.81376
0.472268,0.588486,0.268397
0.0351107,0.785061,4.93957
0.605953,0.753356,1.60761
0.726437,0.922787,0.848345
0.905121,0.592513,4.33721
0.445653,0.991297,1.85572
0.631594,0.347938,4.34841
0.000651763,0.861762,6.11339
0.646256,0.781846,5.94829
0.474092,0.946473,4.64757
0.587528,0.718501,1.59509
0.788064,0.326573,3.64492
0.658743,0.945295,5.22702
0.575116,0.939309,0.528651
0.906889,0.920017,4.48509
0.0126033,0.855521,2.39335
0.386116,0.491374,3.2926
0.214608,0.335347,2.65823
0.614557,0.957013,1.29739
0.579025,0.338705,5.15305
0.928496,0.853193,5.35289
0.361224,0.792972,4.63816
0.679892,0.759007,4.11187
0.632571,0.844566,4.66831
0.53395,0.706355,2.6501
0.421298,0.939973,4.07171
0.558217,0.505315,0.328917
0.811494,0.885723,4.39499
0.932625,0.902338,3.55686
0.579357,0.440145,2.08981
0.915667,0.868314,2.71114
0.682122,0.929772,4.66805
0.740043,0.515249,3.09511
0.147162,0.200852,0.503852
0.408016,0.99556,3.09826
0.766687,0.902073,5.40226
0.599287,0.852101,3.44639
0.569716,0.274364,3.49245
0.108212,0.93913,4.87528
0.902997,0.473426,1.86753
0.349041,0.948377,3.25765
0.281913,0.285812,4.85723
0.771719,0.416133,2.87222
0.89091,0.937234,2.83356
0.864165,0.571054,0.346528
0.574217,0.633812,5.20397
0.000120275,0.942616,3.17879
0.991414,0.589902,0.834853
0.225622,0.790992,5.69581
0.751653,0.994733,3.5516
0.228414,0.540314,5.80873
0.537488,0.198121,5.4634
0.0491979,0.923315,2.2573
0.281366,0.10025,3.28705
0.524506,0.302379,3.23888
0.858466,0.990246,5.5759
0.000503379,0.838254,5.44339
0.0446518,0.991723,4.6853
0.600934,0.763952,1.25653
0.865523,0.979976,3.23843
0.215211,0.86433,0.679446
0.45153,0.153163,6.18662
0.999612,0.984231,2.7271
0.423059,0.7302,1.15282
0.0281499,0.770397,1.8451
0.861638,0.542104,3.20107
0.237512,0.833802,1.21943
0.393231,0.904923,2.84839
0.300697,0.799741,1.32472
0.884437,0.746372,5.49501
0.924992,0.386027,0.978187
0.552135,0.711627,5.12108
0.521689,0.482041,4.26544
0.992514,0.918674,5.29398
0.45493,0.549568,3.45683
0.183071,0.844167,4.0307
0.792777,0.362474,0.680876
0.77224,0.157648,5.81664
0.84771,0.9919,3.85162
0.357628,0.831583,5.44534
0.682057,0.938498,2.05208
0.326045,0.867074,2.02554
9.53847e-05,0.923189,3.67256
0.733844,0.0944552,5.06368
0.795246,0.368554,1.05923
0.786008,0.878447,2.17382
0.579246,0.91193,1.85788
0.781272,0.627767,5.41508
0.796423,0.628839,2.7925
0.64404,0.928634,2.85813
0.108951,0.323658,3.21598
0.848373,0.485995,5.10446
0.591812,0.806247,5.50871
0.685449,0.397067,0.876017
0.619269,0.564244,3.35826
0.753503,0.418931,4.22291
0.353761,0.890979,0.464712
0.852733,0.178218,0.62545
0.811302,0.879457,3.36227
0.325717,0.998324,4.99598
0.1732,0.666928,4.12001
0.125566,0.816275,2.7074
0.153187,0.715106,0.399908
0.660729,0.535238,3.74548
0.512706,0.831643,1.26462
0.847462,0.894989,4.10899
0.157301,0.992512,4.29185
0.233776,0.763707,5.64663
0.961909,0.848768,2.09412
0.766785,0.277502,4.81289
0.77138,0.90371,2.51308
0.518529,0.734881,1.51627
0.984707,0.447536,4.12758
0.398095,0.747222,6.22874
0.364677,0.750329,2.64349
0.18577,0.404907,0.411354
0.388652,0.85938,2.54558
0.906728,0.524072,2.49545
0.758619,0.961113,3.31117
0.0219407,0.696273,5.42523
0.6773,0.945434,0.559944
0.798435,0.994796,1.16283
0.425361,0.703476,3.10608
0.0737165,0.983315,3.92461
0.361675,0.771926,0.934901
0.18862,0.0768864,2.34771
0.584203,0.131197,3.04914
0.714346,0.795825,3.37636
0.18286,0.807032,1.50274
0.839398,0.859519,1.66752
0.978202,0.561102,3.81735
0.224436,0.973188,1.36512
0.298684,0.602942,6.17817
0.936622,0.786069,5.53465
0.702266,0.359381,4.84197
0.951709,0.31815,5.60886
0.94683,0.73715,5.0788
0.625692,0.610481,3.33433
0.77469,0.233613,1.73857
0.58624,0.496052,2.30815
0.67373,0.750082,5.71794
0.36646,0.736511,5.99992
0.421315,0.811961,4.46185
0.695486,0.563349,3.37101
0.430372,0.581339,1.36852
0.716055,0.568223,0.620503
0.185689,0.810511,2.78913
0.163305,0.553572,0.116003
0.270173,0.374029,4.14841
0.75603,0.460217,5.55501
0.814361,0.730063,5.88323
0.443565,0.369392,2.16482
0.334973,0.840187,1.1421
0.763273,0.581068,3.11185
0.105494,0.739051,4.48629
0.445119,0.610266,0.33113
0.483294,0.467105,0.992014
0.244438,0.80295,3.60552
0.0497455,0.781904,3.03666
0.796214,0.971364,5.94966
0.848671,0.314118,4.37106
0.320109,0.7757,2.15939
0.401443,0.0852041,3.22522
0.434007,0.627645,0.825945
0.232256,0.632192,2.64514
0.813874,0.581451,5.48342
0.781558,0.806233,0.616827
0.334955,0.70476,3.96019
0.965458,0.732428,4.33465
0.127602,0.821983,3.34811
0.549247,0.837122,0.0752647
0.936566,0.723906,2.94832
0.561933,0.262137,5.82262
0.132925,0.900004,4.04431
0.180117,0.186696,2.99103
0.753461,0.892928,4.08972
0.956814,0.913339,4.33966
0.723526,0.743972,1.00465
0.446634,0.750068,1.01973
0.00194994,0.323891,6.05532
0.548694,0.785061,3.96518
0.525898,0.909002,2.33633
0.957536,0.430641,5.22404
0.604399,0.825062,3.40524
0.887903,0.854555,1.67399
0.332842,0.0171756,0.356874
0.964832,0.854592,5.22844
0.115554,0.594636,0.00134494
0.186062,0.508148,0.450223
0.609591,0.991607,0.689655
0.658008,0.478084,4.5481
0.114946,0.895445,5.32249
0.993584,0.39101,3.99473
0.437382,0.717736,5.69278
0.713979,0.891485,5.60831
0.253813,0.374833,1.65629
0.271385,0.760395,3.36663
0.894935,0.878156,5.75522
0.12102,0.876032,1.93402
0.155305,0.928104,6.05321
0.765277,0.6015,4.00718
0.331089,0.66221,0.765821
0.5027,0.883916,3.93008
0.625948,0.907415,2.19363
0.660369,0.718526,2.01099
0.356464,0.727476,2.08137
0.726617,0.897473,0.834297
0.730342,0.535506,2.65138
0.84654,0.630104,3.08603
0.195002,0.880637,0.495443
0.771061,0.549931,3.08605
0.206779,0.791268,1.48666
0.384988,0.933376,1.5887
0.71112,0.919774,2.9299
0.00625707,0.921631,2.42998
0.626091,0.994618,5.29354
0.422404,0.904956,6.207
0.210963,0.552685,2.32094
0.681142,0.25981,4.5456
0.64357,0.979378,3.71867
0.542046,0.890554,1.196
0.993037,0.937081,0.491346
0.443667,0.912593,0.6359
0.588523,0.618935,4.07696
0.942537,0.858963,1.17308
0.337627,0.967459,0.570964
0.98835,0.459287,3.03924
0.558706,0.931139,0.209117
0.564535,0.729825,2.21053
0.953113,0.790537,0.57582
0.0712575,0.737993,5.54029
0.451597,0.974854,3.12106
0.29957,0.434681,4.4064
0.621736,0.687413,5.86489
0.31649,0.740322,4.98127
0.384925,0.791671,2.70577
0.348005,0.88337,5.60433
0.289744,0.476307,1.65028
0.278365,0.680609,1.48392
0.69147,0.237095,6.04645
0.891728,0.617572,5.26077
0.646418,0.87117,5.58472
0.841361,0.475952,4.91993
0.445415,0.93975,4.64837
0.0806421,0.681142,3.91418
0.858,0.892287,1.79127
0.292108,0.4025,4.51844
0.553825,0.482512,2.90756
0.845434,0.740143,1.23091
0.443335,0.810876,3.67905
0.335537,0.747755,0.222012
0.443769,0.754536,0.449984
0.0841825,0.966185,4.27985
0.868168,0.881984,1.29499
0.48337,0.429668,4.29933
0.172626,0.616505,3.21682
0.342425,0.930685,1.65304
0.117224,0.415286,3.42995
0.592579,0.678419,5.90317
0.232942,0.768337,3.319
0.219705,0.425595,6.07527
0.136475,0.865098,1.96331
0.0125434,0.679297,3.79981
0.487832,0.373113,3.96429
0.863136,0.309821,4.99491
0.655928,0.545019,0.611893
0.912963,0.215327,0.673743
0.359094,0.682949,2.81484
0.26735,0.301654,1.11573
0.739987,0.339861,2.11265
0.717352,0.908223,4.28842
0.179241,0.0732695,4.67708
0.585371,0.987891,3.5756
0.368922,0.492011,6.2626
0.407614,0.994746,3.17936
0.0517448,0.459258,1.96499
0.512009,0.38854,0.922559
0.503971,0.913703,4.6618
0.240986,0.851055,5.52617
0.294127,0.558185,0.292973
0.132904,0.95745,5.8313
0.46332,0.55914,5.82002
0.128458,0.964237,4.23083
0.182161,0.307021,2.22673
0.131988,0.937902,0.0399762
0.386114,0.445065,4.51615
0.555437,0.461017,1.17209
0.937322,0.790391,6.24689
0.372923,0.943731,4.72231
0.71577,0.512882,2.59553
0.89139,0.394335,2.20218
0.142715,0.25629,2.48046
0.420436,0.695107,5.79369
0.915758,0.938518,4.54442
0.492204,0.525913,2.7893
0.880068,0.824436,3.11299
0.657315,0.785183,2.96554
0.276768,0.75407,3.03725
0.0496009,0.722845,0.810121
0.962841,0.201839,1.11201
0.580778,0.875093,6.11372
0.680216,0.518272,3.96159
0.280135,0.581077,4.46103
0.0510188,0.704103,6.17336
0.566436,0.895039,2.34687
0.409877,0.42049,3.31084
0.109414,0.776932,2.46281
0.460578,0.722676,1.98356
0.984983,0.877238,1.11831
0.976647,0.706172,5.37633
0.00976566,0.76754,1.14249
0.599771,0.619686,6.09653
0.702679,0.9598,5.68381
0.795485,0.899497,2.69698
0.0501451,0.785332,5.58829
0.377521,0.75294,3.04376
0.313371,0.262637,4.15066
0.908265,0.985108,6.01111
0.344282,0.192131,5.63613
0.55651,0.377768,3.00302
0.21928,0.18378,2.31385
0.0236338,0.720477,1.27354
0.932369,0.613228,0.350043
0.919084,0.995498,0.995863
0.117691,0.909536,4.09126
0.357794,0.890893,3.9137
0.53973,0.38414,4.36918
0.301242,0.431189,2.38943
0.340393,0.934286,3.66693
0.384402,0.975946,1.85216
0.763154,0.353514,4.80801
0.44143,0.571312,1.96949
0.692487,0.565486,5.36191
0.158095,0.279613,5.43756
0.792008,0.862808,3.47691
0.911893,0.355031,2.77218
0.995117,0.602272,0.913464
0.446857,0.818395,1.75833
0.570919,0.805026,1.99413
0.105986,0.452895,2.26641
0.524862,0.599624,4.27433
0.517104,0.424152,6.01175
0.558953,0.696646,0.3684
0.733388,0.504299,4.39662
0.901906,0.597623,6.16381
0.309884,0.441111,2.07141
0.219924,0.702062,6.05651
0.19535,0.956428,0.467426
0.894937,0.888052,4.37942
0.649665,0.807617,0.104079
0.846951,0.754811,3.21409
0.34844,0.858055,5.27267
0.867802,0.917131,1.13987
0.430291,0.423346,2.96978
0.0298794,0.742381,5.62169
0.720794,0.68877,6.19855
0.808758,0.9832,1.09334
0.111361,0.765796,2.07912
0.353541,0.369471,2.99342
0.973531,0.887907,1.8605
0.349873,0.749177,0.606545
0.467602,0.637471,2.73831
0.0187891,0.659938,1.87704
0.696687,0.856028,0.537336
0.86627,0.947741,0.839542
0.787913,0.26771,3.81783
0.754833,0.743455,2.63513
0.373091,0.949607,4.25024
0.230588,0.453824,0.916168
0.315286,0.663749,2.0969
0.271426,0.842633,6.24025
0.672318,0.224029,5.59282
0.514094,0.48161,0.665787
0.352139,0.979347,3.24425
0.927531,0.933737,3.85067
0.385357,0.116434,4.46303
0.365428,0.989317,4.20859
0.570175,0.739809,0.944717
0.58334,0.970678,5.71846
0.378916,0.392336,1.28371
0.779001,0.737212,4.45097
0.795164,0.48433,0.892306
0.0144803,0.874216,5.67897
0.214528,0.858878,5.97523
0.881213,0.492093,1.35458
0.698046,0.546685,3.81763
0.931762,0.846472,0.981169
0.7764,0.453423,2.22691
0.779204,0.761875,3.01815
0.379614,0.794708,0.0809324
0.620005,0.865756,1.8448
0.869862,0.938986,3.40822
0.604384,0.565742,5.41005
0.785692,0.853714,0.122179
0.61659,0.940125,3.43451
0.57261,0.804387,5.65863
0.829685,0.517622,4.03229
0.0991823,0.496433,4.8313
0.280462,0.986528,2.04182
0.180589,0.666456,0.171593
0.0904431,0.737908,1.41379
0.563148,0.970907,3.59131
0.592528,0.992564,5.09331
0.74164,0.958162,0.268549
0.936061,0.497969,2.27205
0.988398,0.939255,3.78269
0.53138,0.387979,0.259806
0.306554,0.47509,1.39159
0.849976,0.560339,5.09386
0.806166,0.375511,5.89271
0.0241682,0.773742,3.29581
0.818165,0.799931,1.50219
0.496553,0.900439,5.38401
0.0373999,0.992744,0.758005
0.817766,0.660932,4.47115
0.610174,0.955614,1.58913
0.24718,0.562906,2.7247
0.941535,0.651219,5.33407
0.518573,0.782254,5.67977
0.151944,0.90117,0.0958153
0.198102,0.657827,3.73833
0.825355,0.937428,2.75251
0.0295237,0.668106,1.17249
0.189599,0.737559,3.48673
0.921603,0.910118,1.17476
0.239554,0.92802,0.529265
0.874166,0.546518,1.01832
0.12784,0.876028,3.52721
0.302494,0.785271,0.391955
0.890596,0.573606,5.11737
0.476337,0.886003,5.69058
0.947877,0.664554,5.78988
0.206145,0.765594,4.02438
0.511817,0.548276,1.67644
0.143026,0.925072,5.54402
0.933986,0.528176,0.155904
0.427674,0.975613,2.37981
0.17029,0.89866,3.59795
0.673759,0.230655,2.83649
0.758247,0.207834,1.75695
0.184439,0.313019,5.90415
0.677493,0.385325,2.94992
0.472396,0.62112,2.2497
0.964526,0.368956,0.869623
0.738747,0.917987,1.59895
0.769601,0.187753,2.42566
0.383759,0.468983,5.24125
0.0975626,0.91134,4.91254
0.798951,0.992311,1.29244
0.42691,0.688994,1.92625
0.572027,0.603273,1.54096
0.281034,0.352085,3.21756
0.755909,0.128876,1.23115
0.463474,0.448028,3.62013
0.175164,0.950935,4.11948
0.174823,0.959822,1.64864
0.113377,0.994747,1.20719
0.423249,0.678652,4.58761
0.828218,0.75431,3.56127
0.582531,0.995315,2.82433
0.0801746,0.460132,3.39063
0.0206122,0.94262,3.50713
0.852892,0.993361,2.78913
0.732039,0.568713,0.516557
0.552717,0.975463,2.43188
0.8014,0.472121,0.378808
0.443457,0.585443,0.097201
0.0772478,0.841746,0.321065
0.254388,0.995277,1.5406
0.977875,0.949772,6.01216
0.596402,0.883236,5.65062
0.0167259,0.450583,2.0066
0.176501,0.738667,3.73691
0.883363,0.850353,4.5796
0.363851,0.341365,2.00593
0.774408,0.97773,5.2701
0.446548,0.957959,3.55306
0.0814811,0.966501,6.22218
0.159106,0.697636,0.738585
0.744513,0.993765,3.05604
0.868752,0.689261,4.98467
0.10081,0.85098,4.45281
0.683041,0.848288,5.29856
0.0976487,0.639709,4.22198
0.385361,0.108018,5.3627
0.9526,0.224838,2.29003
0.20086,0.442314,4.43393
0.531868,0.686979,0.449051
0.627086,0.745753,5.65568
0.0108296,0.759315,0.776741
0.010094,0.964005,6.04618
0.211067,0.5811,4.81079
0.808189,0.808674,0.626078
0.184755,0.885055,0.0126019
0.32635,0.8828,2.37889
0.493441,0.695741,2.12147
0.052677,0.650901,4.07325
0.00713943,0.409789,0.800831
0.428342,0.65501,3.76591
0.858805,0.517075,5.4644
0.197719,0.970199,2.87625
0.564229,0.181431,6.07641
0.584406,0.705057,2.96043
0.612063,0.733321,0.440189
0.744292,0.276549,1.00421
0.767201,0.819661,1.30184
0.51993,0.900945,5.76718
0.483324,0.799887,4.2314
0.252772,0.688782,2.95197
0.438332,0.994057,5.37971
0.591604,0.80417,0.282467
0.0592891,0.772979,0.71041
0.574132,0.722526,4.80514
0.911094,0.80145,0.368665
0.751281,0.730048,0.716756
0.863708,0.924809,0.511404
0.42032,0.286736,1.44415
0.493449,0.980286,3.13992
0.232141,0.700603,2.24856
0.33499,0.713311,2.57661
0.910938,0.470916,1.89937
0.0281089,0.608344,1.30262
0.467808,0.974785,4.45779
0.918746,0.766687,1.6718
0.949372,0.95704,5.72423
0.102009,0.922716,1.01635
0.597373,0.999482,0.826077
0.784123,0.34876,1.07044
0.337524,0.9609,5.71468
0.0508787,0.963817,5.35824
0.908418,0.87195,2.10965
0.669278,0.635555,0.645386
0.452081,0.705348,2.56516
0.761487,0.999156,1.64179
0.0591225,0.697782,3.96279
0.178405,0.39403,0.20195
0.655332,0.890969,5.89483
0.26403,0.34861,2.36776
0.210815,0.835934,0.138231
0.749563,0.905644,5.25611
0.719097,0.608712,5.83371
0.47578,0.566499,4.3894
0.0275801,0.452571,0.550665
0.694243,0.955474,1.9082
0.474233,0.831107,1.534
0.391626,0.149575,2.24907
0.643325,0.460795,1.63707
0.602549,0.975,4.03172
0.60686,0.810946,4.02639
0.321875,0.840261,1.46562
0.202109,0.794894,2.05221
0.68129,0.873132,0.381747
0.74463,0.297165,0.51497
0.0708122,0.278561,3.26656
0.399089,0.559082,1.19169
0.236186,0.530907,0.0890445
0.842617,0.798768,1.32571
0.780593,0.956078,2.42928
0.856503,0.866999,5.91629
0.564186,0.139969,4.62425
0.876796,0.774105,1.92475
0.982824,0.701349,3.52111
0.0151787,0.908763,3.80576
0.532989,0.489854,2.90668
0.952179,0.966152,5.17045
0.780446,0.46608,5.77019
0.405864,0.861803,5.06284
0.725981,0.535274,5.04704
0.451233,0.946513,3.82021
0.110441,0.977766,1.88027
0.580025,0.704884,0.0310118
0.886863,0.801878,5.11403
0.0788141,0.509351,3.79142
0.230926,0.790428,2.45409
0.206624,0.945066,1.72468
0.933094,0.462735,1.32619
0.552705,0.888683,3.65865
0.510001,0.981853,0.399917
0.793384,0.167782,3.57182
0.461797,0.844536,0.320764
0.984053,0.413825,5.41879
0.639,0.898228,4.04821
0.805722,0.670754,4.25517
0.471522,0.794896,3.37432
0.438858,0.86812,1.96519
0.127302,0.966216,1.30987
0.207227,0.532479,1.44636
0.289458,0.17318,1.15194
0.883988,0.23241,4.93571
0.410482,0.920829,3.66226
0.210828,0.583814,0.084522
0.52051,0.634176,2.04604
0.640339,0.431441,3.30331
0.67469,0.874017,1.94864
0.0634657,0.436717,2.92399
0.28681,0.684647,3.0235
0.308116,0.891082,4.41849
0.695997,0.676878,4.57071
