x,y
0.541068,0.584775
2.687246,0.868831
-1.040310,-1.370010
0.848906,2.886948
2.384088,2.383208
3.079402,-1.159763
1.876916,-1.223611
1.576478,-0.411680
1.262731,3.940654
3.379594,3.789993
3.130823,0.721684
2.576739,0.291488
3.473978,0.847191
0.017531,-0.020974
1.600912,-1.660329
2.292418,4.226513
-2.000518,0.700232
-0.214038,-0.608130
-0.402040,2.992981
-1.297400,-1.240222
-1.513706,-0.256424
-2.172848,0.636740
-1.021505,-1.031844
0.382545,3.656874
1.800473,0.491211
2.673926,-1.676429
1.579908,1.975935
1.125733,-1.644234
3.154076,-1.968656
0.469399,2.258461
1.218324,0.684980
2.573689,1.658278
2.724253,1.968671
2.227770,0.613880
-0.478324,-1.743424
0.956175,-0.382083
-0.102532,1.481790
2.525693,0.895851
1.773875,1.503785
4.198296,1.425754
-0.259977,0.205952
1.889128,-1.650249
0.887921,1.466606
-3.519203,-1.254144
2.293494,2.064473
1.499331,1.450083
4.185688,-0.199996
4.279871,5.502951
1.207196,0.523121
-0.878966,2.600159
1.468753,-0.277735
-0.503033,1.227491
-0.222613,1.632403
-0.028126,0.200548
-1.398383,2.914337
-0.230625,2.599902
-0.411944,2.842580
-0.468595,0.947020
0.263070,1.001933
0.251746,0.933995
-1.503120,0.181107
1.357431,-0.281244
2.232721,-1.496525
1.156295,3.214577
1.783701,0.042062
-0.597555,1.128603
2.764404,2.482651
2.772966,1.478075
-0.322046,0.749649
3.544853,6.103709
-3.934389,4.503753
1.281384,4.555268
1.463946,0.857090
2.186226,3.040263
-1.900770,0.390028
0.994270,2.522836
0.336420,0.155934
-0.868113,5.733055
-0.546492,-3.579562
-0.083215,4.087927
3.962815,2.880357
-0.904591,4.394150
2.745022,0.955521
2.798734,4.450325
-0.392232,-0.853625
0.693508,-0.160186
4.906428,0.793699
-0.645824,4.450003
3.155028,0.903917
-1.874861,2.600110
1.760088,1.680232
0.087674,2.631036
-0.842560,-2.526300
3.603068,1.360861
0.538599,4.067015
-0.103435,-1.785212
5.984735,1.295370
1.784115,2.454115
2.555334,-1.330276
-0.343368,0.521825
2.954343,4.191093
-0.689126,2.395242
-0.028654,4.089388
0.159746,2.008708
0.846093,0.999711
-0.105115,0.342495
1.918263,1.986409
3.313403,0.554513
2.560438,0.230176
0.682318,-0.161002
2.292669,4.379317
2.482653,0.785560
1.822179,-0.386554
1.718242,-0.817726
2.773692,1.617001
-1.898592,3.094991
2.713694,4.414353
2.461449,2.497606
-0.556282,1.804734
0.692219,1.100748
-0.123431,2.637115
1.375321,-1.250981
1.130709,0.847361
-0.551390,3.478658
0.865942,1.275136
2.612359,-3.484618
3.367316,2.863149
-0.043937,0.349434
-0.064384,2.412266
1.124251,0.238216
0.875664,0.412952
3.110036,4.357035
0.022632,-0.613225
1.454025,1.408059
-0.069447,6.921995
0.154824,2.313671
3.834322,-0.558645
3.158881,3.009875
0.644900,-1.846087
0.710716,1.168326
-1.783234,2.728953
4.193454,1.610174
3.888011,-2.652212
1.513712,0.939375
-0.757067,1.075936
1.944747,2.037948
2.284966,-0.710807
0.114976,4.766089
-0.693978,-3.362659
0.410759,-0.798966
1.574042,-2.305998
3.776892,1.755727
-1.032618,1.699192
3.508990,2.176282
3.983290,-0.355173
0.517075,-2.200456
1.589120,-2.350851
-0.548336,-1.221449
2.273615,-1.380635
-2.700279,-3.448340
2.785928,2.648865
-0.797166,-0.435685
1.290614,1.013055
0.518135,-0.527149
1.272594,1.873078
-1.173229,3.413999
-0.752066,3.024727
2.127664,-6.349307
1.301592,0.910139
2.171608,3.044970
2.890802,-1.383020
2.165169,1.839937
1.488701,1.177352
3.625993,-2.027458
-2.206843,3.295389
1.291365,-0.756931
1.665401,-1.457323
4.790648,1.170867
4.925850,3.118452
5.470819,3.462176
-2.347890,0.781733
3.286187,0.374106
2.211153,-1.778960
2.043969,3.129894
0.406064,2.723670
0.638451,-0.100119
0.071942,3.756547
0.939090,-3.920454
2.169423,-0.060681
0.797434,1.404265
-0.559533,3.660213
2.507249,-0.274421
0.919349,4.561213
-2.685318,-4.244470
-0.908083,4.004589
4.030095,0.794373
0.548580,1.018218
3.677632,1.802100
2.256110,0.345727
4.030300,-1.778911
3.803446,-0.643783
1.697013,4.055741
1.885266,-1.303406
4.737730,4.371133
4.885908,0.964708
0.719058,1.085483
0.667511,1.552595
1.557771,1.682438
2.063800,1.171175
1.960093,2.009593
4.135210,-0.908576
-0.313231,4.775648
-0.368957,-0.734834
4.961020,3.823666
2.674667,0.246808
1.806038,2.975793
2.212677,0.754172
-2.830272,-1.637148
1.248633,2.190542
-3.449264,0.182751
1.323353,2.125643
2.903728,2.465519
1.146566,-1.452789
-1.910721,1.254819
1.542779,-1.291092
3.025723,-1.919732
-1.240647,3.999387
1.936805,1.800562
-0.323903,4.229664
0.939470,-0.608435
2.226337,3.985961
-2.874501,5.122267
1.971972,-1.871261
-0.279821,-0.369131
1.966325,4.626248
-0.200057,-1.164641
-1.095784,1.823843
3.281100,0.843659
0.859262,1.040787
-0.104999,1.711797
1.311168,0.920050
-0.811263,0.670742
-2.481142,3.077152
-0.524248,0.497513
0.165276,3.677052
2.909201,-1.999703
1.674277,0.765059
-3.927174,2.585143
-0.093681,-1.568799
3.478602,3.414892
3.255694,0.210097
2.767642,1.323225
-3.227664,0.998358
3.610875,1.210802
1.560146,2.510475
4.557948,0.420564
1.836326,1.519509
0.206475,0.529846
1.255479,-0.962165
3.943047,-0.814223
2.664265,1.529498
1.561956,1.283655
0.100313,2.225302
1.131663,-2.125042
0.409888,1.148875
-0.808798,1.011879
2.283184,2.276801
4.142833,2.879105
1.723576,2.163068
-0.291130,-0.713422
0.640946,-1.554888
2.270040,3.013144
1.862907,-1.390989
2.029731,3.578639
1.847493,3.358093
1.437099,1.920578
1.673663,-1.009339
4.403076,3.517530
1.804656,0.240477
-0.076722,-0.170138
-3.686501,2.275407
-1.029525,0.102736
1.529958,0.683304
-1.795269,1.447318
4.823736,2.946997
2.253810,1.383408
3.637571,1.671375
-0.667184,3.736717
-1.346986,-0.155706
0.026172,-2.483631
1.503872,2.780891
2.033307,4.948994
4.962812,-0.204778
3.886684,-2.036191
-2.728168,1.854270
-0.620371,0.495518
0.258397,2.000945
-1.073631,4.583392
1.733866,1.337061
2.467780,-0.578461
-2.030795,1.773003
0.338354,2.609870
2.134967,-2.084296
-3.555611,5.056713
1.006649,1.577243
-0.309251,-2.464359
4.318520,0.774106
-2.537769,2.586693
0.393327,2.488422
1.988715,3.544250
0.572967,0.734803
1.410869,1.322224
5.968482,-1.650598
-0.169310,-0.786768
0.142746,-2.124581
-1.152038,-0.326039
0.570506,1.347569
3.760526,1.041106
2.223464,-1.197501
1.235564,1.035735
1.010249,1.786234
3.496704,2.859789
3.137809,0.522883
-3.922306,0.940045
0.257246,3.198905
-0.532932,0.855717
2.492928,3.364758
4.457122,1.582993
1.769630,4.025080
-0.367068,-1.082758
0.706567,2.136363
-2.661902,-0.143290
0.857015,2.964588
1.523034,3.324639
-2.435396,0.766366
3.637690,3.170675
-2.825446,-2.320011
-1.879026,-0.305430
0.547984,-0.935038
1.777727,0.792004
1.330176,3.771361
1.879943,3.236594
-0.783419,-0.422519
-0.963730,4.642895
2.025951,1.984666
0.361043,0.492749
2.110027,3.406407
