p,acc
0.707107,0.62594
0.707965,0.62436
0.708824,0.62769
0.709683,0.62837
0.710541,0.62765
0.7114,0.62721
0.712258,0.62833
0.713117,0.62878
0.713975,0.6246
0.714834,0.62502
0.715693,0.62937
0.716551,0.62685
0.71741,0.62667
0.718268,0.62652
0.719127,0.62601
0.719985,0.62726
0.720844,0.62254
0.721703,0.6276
0.722561,0.62531
0.72342,0.63021
0.724278,0.62748
0.725137,0.6271
0.725996,0.62933
0.726854,0.62938
0.727713,0.62518
0.728571,0.62889
0.72943,0.6293
0.730288,0.62733
0.731147,0.62869
0.732006,0.62582
0.732864,0.62714
0.733723,0.62556
0.734581,0.62556
0.73544,0.62532
0.736298,0.62811
0.737157,0.62651
0.738016,0.62524
0.738874,0.62505
0.739733,0.62589
0.740591,0.6253
0.74145,0.62587
0.742309,0.6241
0.743167,0.62679
0.744026,0.62556
0.744884,0.6244
0.745743,0.62425
0.746601,0.62531
0.74746,0.62661
0.748319,0.62573
0.749177,0.62563
0.750036,0.62834
0.750894,0.62301
0.751753,0.62305
0.752611,0.62694
0.75347,0.62572
0.754329,0.62805
0.755187,0.62337
0.756046,0.62473
0.756904,0.62508
0.757763,0.62515
0.758621,0.62161
0.75948,0.62266
0.760339,0.6253
0.761197,0.62215
0.762056,0.62745
0.762914,0.62565
0.763773,0.62491
0.764632,0.626
0.76549,0.6243
0.766349,0.62666
0.767207,0.62543
0.768066,0.6234
0.768924,0.62429
0.769783,0.62271
0.770642,0.6283
0.7715,0.62481
0.772359,0.62606
0.773217,0.62465
0.774076,0.62515
0.774934,0.62562
0.775793,0.62286
0.776652,0.62733
0.77751,0.62224
0.778369,0.62284
0.779227,0.62215
0.780086,0.62456
0.780945,0.62668
0.781803,0.62268
0.782662,0.62414
0.78352,0.62272
0.784379,0.62204
0.785237,0.62336
0.786096,0.62013
0.786955,0.62126
0.787813,0.62162
0.788672,0.62206
0.78953,0.62243
0.790389,0.61984
0.791247,0.62165
0.792106,0.62383
0.792965,0.62085
0.793823,0.62015
0.794682,0.62204
0.79554,0.62014
0.796399,0.62016
0.797258,0.61985
0.798116,0.62166
0.798975,0.62399
0.799833,0.62169
0.800692,0.62252
0.80155,0.62261
0.802409,0.62324
0.803268,0.61916
0.804126,0.6174
0.804985,0.62206
0.805843,0.62222
0.806702,0.61915
0.80756,0.62165
0.808419,0.61993
0.809278,0.61912
0.810136,0.62035
0.810995,0.62075
0.811853,0.62027
0.812712,0.62066
0.813571,0.6232
0.814429,0.6189
0.815288,0.62147
0.816146,0.6205
0.817005,0.61893
0.817863,0.61916
0.818722,0.61847
0.819581,0.62039
0.820439,0.618
0.821298,0.61786
0.822156,0.62055
0.823015,0.61991
0.823873,0.62067
0.824732,0.61928
0.825591,0.6173
0.826449,0.61956
0.827308,0.62097
0.828166,0.61842
0.829025,0.61959
0.829884,0.62101
0.830742,0.61982
0.831601,0.61765
0.832459,0.61868
0.833318,0.6206
0.834176,0.61715
0.835035,0.61603
0.835894,0.61916
0.836752,0.61978
0.837611,0.61877
0.838469,0.61764
0.839328,0.61688
0.840186,0.61655
0.841045,0.6167
0.841904,0.61842
0.842762,0.61529
0.843621,0.618
0.844479,0.61864
0.845338,0.616
0.846197,0.616
0.847055,0.61581
0.847914,0.61699
0.848772,0.61565
0.849631,0.61519
0.850489,0.61743
0.851348,0.61681
0.852207,0.61602
0.853065,0.61425
0.853924,0.61331
0.854782,0.61429
0.855641,0.61574
0.856499,0.61451
0.857358,0.61858
0.858217,0.61491
0.859075,0.615
0.859934,0.61637
0.860792,0.61462
0.861651,0.61689
0.86251,0.61344
0.863368,0.61523
0.864227,0.61345
0.865085,0.6136
0.865944,0.6158
0.866802,0.61254
0.867661,0.61294
0.86852,0.61477
0.869378,0.61072
0.870237,0.61342
0.871095,0.61475
0.871954,0.61401
0.872812,0.61547
0.873671,0.61278
0.87453,0.61254
0.875388,0.612
0.876247,0.61279
0.877105,0.61291
0.877964,0.6091
0.878823,0.60994
0.879681,0.61257
0.88054,0.61293
0.881398,0.61067
0.882257,0.61198
0.883115,0.6134
0.883974,0.60977
0.884833,0.60853
0.885691,0.61229
0.88655,0.61202
0.887408,0.61139
0.888267,0.60947
0.889125,0.60947
0.889984,0.60976
0.890843,0.61034
0.891701,0.60877
0.89256,0.60816
0.893418,0.60783
0.894277,0.60978
0.895136,0.60984
0.895994,0.60731
0.896853,0.60911
0.897711,0.60886
0.89857,0.60968
0.899428,0.60826
0.900287,0.60812
0.901146,0.61116
0.902004,0.6087
0.902863,0.60722
0.903721,0.60712
0.90458,0.60736
0.905438,0.60796
0.906297,0.60653
0.907156,0.6075
0.908014,0.60846
0.908873,0.60765
0.909731,0.60682
0.91059,0.60693
0.911448,0.60795
0.912307,0.60628
0.913166,0.60575
0.914024,0.6077
0.914883,0.60831
0.915741,0.60656
0.9166,0.6077
0.917459,0.60633
0.918317,0.60685
0.919176,0.6069
0.920034,0.60873
0.920893,0.60777
0.921751,0.60703
0.92261,0.60624
0.923469,0.60723
0.924327,0.6049
0.925186,0.60061
0.926044,0.60537
0.926903,0.60395
0.927761,0.605
0.92862,0.60253
0.929479,0.60195
0.930337,0.60656
0.931196,0.60521
0.932054,0.60336
0.932913,0.60054
0.933772,0.60176
0.93463,0.60341
0.935489,0.60207
0.936347,0.60317
0.937206,0.60392
0.938064,0.60331
0.938923,0.60416
0.939782,0.60203
0.94064,0.60428
0.941499,0.60383
0.942357,0.60159
0.943216,0.60021
0.944074,0.59904
0.944933,0.60208
0.945792,0.60353
0.94665,0.6003
0.947509,0.6001
0.948367,0.60134
0.949226,0.6017
0.950085,0.59843
0.950943,0.59901
0.951802,0.60055
0.95266,0.60104
0.953519,0.59753
0.954377,0.59823
0.955236,0.59949
0.956095,0.59947
0.956953,0.59738
0.957812,0.59845
0.95867,0.5961
0.959529,0.59675
0.960387,0.59813
0.961246,0.6004
0.962105,0.59546
0.962963,0.60141
0.963822,0.59702
0.96468,0.59755
0.965539,0.59875
0.966398,0.59729
0.967256,0.59764
0.968115,0.59569
0.968973,0.59695
0.969832,0.59555
0.97069,0.59532
0.971549,0.59564
0.972408,0.59676
0.973266,0.59746
0.974125,0.59314
0.974983,0.59628
0.975842,0.59695
0.9767,0.59598
0.977559,0.59334
0.978418,0.59561
0.979276,0.59341
0.980135,0.59407
0.980993,0.59466
0.981852,0.59558
0.982711,0.596
0.983569,0.59671
0.984428,0.59448
0.985286,0.59593
0.986145,0.5957
0.987003,0.5964
0.987862,0.59492
0.988721,0.59195
0.989579,0.59236
0.990438,0.59042
0.991296,0.59298
0.992155,0.59397
0.993013,0.59329
0.993872,0.59187
0.994731,0.59265
0.995589,0.58938
0.996448,0.59145
0.997306,0.59197
0.998165,0.58962
0.999024,0.59071
0.999882,0.59104
1.00074,0.59201
1.0016,0.59043
1.00246,0.58895
1.00332,0.59107
1.00417,0.59163
1.00503,0.58568
1.00589,0.58942
1.00675,0.58899
1.00761,0.58995
1.00847,0.58879
1.00933,0.59328
1.01019,0.58731
1.01104,0.5911
1.0119,0.58948
1.01276,0.58848
1.01362,0.5874
1.01448,0.58506
1.01534,0.58731
1.0162,0.58715
1.01705,0.58555
1.01791,0.58674
1.01877,0.58732
1.01963,0.58712
1.02049,0.58419
1.02135,0.587
1.02221,0.58534
1.02306,0.58553
1.02392,0.58601
1.02478,0.58629
1.02564,0.58433
1.0265,0.58708
1.02736,0.58567
1.02822,0.58566
1.02907,0.58446
1.02993,0.58672
1.03079,0.58453
1.03165,0.58278
1.03251,0.58736
1.03337,0.58502
1.03423,0.58295
1.03508,0.58599
1.03594,0.58396
1.0368,0.58691
1.03766,0.58467
1.03852,0.58098
1.03938,0.58193
1.04024,0.58283
1.04109,0.58528
1.04195,0.58333
1.04281,0.58244
1.04367,0.5808
1.04453,0.58364
1.04539,0.58335
1.04625,0.58074
1.0471,0.58109
1.04796,0.58327
1.04882,0.58094
1.04968,0.583
1.05054,0.57975
1.0514,0.57863
1.05226,0.57836
1.05311,0.58127
1.05397,0.58095
1.05483,0.57753
1.05569,0.57588
1.05655,0.57768
1.05741,0.57769
1.05827,0.58238
1.05912,0.57916
1.05998,0.58006
1.06084,0.57855
1.0617,0.57767
1.06256,0.57825
1.06342,0.57781
1.06428,0.57681
1.06513,0.57592
1.06599,0.58032
1.06685,0.57786
1.06771,0.57861
1.06857,0.57641
1.06943,0.57801
1.07029,0.57547
1.07114,0.57284
1.072,0.57781
1.07286,0.57633
1.07372,0.57366
1.07458,0.5744
1.07544,0.57452
1.0763,0.57433
1.07715,0.57558
1.07801,0.57348
1.07887,0.57474
1.07973,0.57758
1.08059,0.5743
1.08145,0.57486
1.08231,0.57601
1.08316,0.57474
1.08402,0.57645
1.08488,0.57458
1.08574,0.5719
1.0866,0.57214
1.08746,0.57115
1.08832,0.57344
1.08917,0.57227
1.09003,0.57124
1.09089,0.56975
1.09175,0.57025
