n,crude,importance
500,0.00996103,0.0123688
500,0.197498,0.106369
500,0.0775115,0.000767045
500,0.00208899,0.0769625
500,0.0485857,0.060608
500,0.0204523,0.0257851
500,0.0718711,0.0028837
500,0.0420346,0.0158377
500,0.0782131,0.00338713
500,0.0558807,0.0934925
500,0.0861781,0.108806
500,0.0130641,0.107193
500,0.282032,0.0590234
500,0.0813904,0.130236
500,0.0821304,0.0872858
500,0.0312358,0.0512761
500,0.167983,0.00893904
500,0.0732606,0.0743223
500,0.13813,0.0087019
500,0.0251228,0.0204185
500,0.236096,0.0658161
500,0.173353,0.040279
500,0.0819769,0.0638084
500,0.0228375,0.0205289
500,0.0841924,0.0577917
500,0.0601769,0.0794363
500,0.0439104,0.0202172
500,0.126675,0.122693
500,0.0958822,0.0328233
500,0.30224,0.0431293
500,0.0238586,0.0746531
500,0.0384047,0.0273577
500,0.0401764,0.0725895
500,0.0285054,0.111033
500,0.0736859,0.0436165
500,0.0417301,0.0386049
500,0.0833866,0.0981409
500,0.0652491,0.0320792
500,0.134384,0.0486494
500,0.104427,0.0750127
500,0.00204767,0.0032856
500,0.0576623,0.0289694
500,0.137269,0.0374485
500,0.10841,0.0259096
500,0.0967939,0.00212924
500,0.0865546,0.133082
500,0.0780093,0.00738534
500,0.197938,0.0451827
500,0.0242533,0.0197527
500,0.176351,0.0560337
500,0.0941059,0.0708627
500,0.0825798,0.0330523
500,0.0292007,0.0166852
500,0.181315,0.00751363
500,0.0715536,0.0168715
500,0.0896248,0.11356
500,0.115774,0.12368
500,0.0458128,0.0386739
500,0.0826913,0.0684915
500,0.0799089,0.0432731
500,0.0631464,0.0306565
500,0.100005,0.0580319
500,0.173491,0.0388928
500,0.0197761,0.0303611
500,0.0684729,0.0168152
500,0.0314822,0.0456838
500,0.041821,0.0700314
500,0.0127276,0.0426414
500,0.0422417,0.0692468
500,0.0964331,0.0297337
500,0.0233102,0.00520073
500,0.0983471,0.0275467
500,0.0491622,0.0177165
500,0.0406049,0.0400902
500,0.200003,0.057707
500,0.115968,0.0856849
500,0.169986,0.0538468
500,0.106696,0.0318245
500,0.294687,0.0488269
500,0.0226313,0.0611848
500,0.111877,0.0254385
500,0.17758,0.0943256
500,0.0669307,0.0857023
500,0.0713173,0.0659969
500,0.102939,0.0115726
500,0.0161307,0.0299792
500,0.0749766,0.0268623
500,0.0073517,0.0304308
500,0.0360578,0.0770806
500,0.0842018,0.00813345
500,0.0652035,0.0155484
500,0.11369,0.0231033
500,0.0157387,0.0715349
500,0.0838621,0.0488628
500,0.122522,0.0579019
500,0.348056,0.00920263
500,0.098004,0.0547453
500,0.107399,0.0076301
500,0.0460053,0.00966386
500,0.191647,0.0432567
500,0.123838,0.0664496
500,0.0201011,0.137847
500,0.0842462,0.076586
500,0.0129504,0.0655379
500,0.0741884,0.105898
500,0.141279,0.115895
500,0.0279275,0.0618739
500,0.0869382,0.000810286
500,0.160261,0.0629367
500,0.0756827,0.0429234
500,0.0290235,0.0412219
500,0.14775,0.0898534
500,0.137674,0.031559
500,0.101981,0.151226
500,0.144085,0.0123215
500,0.169684,0.00291855
500,0.0340431,0.0221836
500,0.120855,0.0397882
500,0.177239,0.0282585
500,0.114005,0.0458118
500,0.0527109,0.103913
500,0.080478,0.0213863
500,0.0618793,0.0185392
500,0.00652853,0.0356264
500,0.0277678,0.0896294
500,0.160804,0.0410741
500,0.152037,0.0398441
500,0.164675,0.0512533
500,0.202058,0.0517638
500,0.100016,0.0122391
500,0.0312484,0.0337109
500,0.0130596,0.0107537
500,0.241488,0.0169984
500,0.0179716,0.0359471
500,0.00697662,0.0861475
500,0.0831,0.12713
500,0.00162321,0.108723
500,0.0656769,0.0678865
500,0.184985,0.0703418
500,0.0868111,0.0341049
500,0.21834,0.0658901
500,0.0515376,0.0503172
500,0.212237,0.00464543
500,0.0325458,0.0391977
500,0.185255,0.104884
500,0.0760178,0.0665859
500,0.0132585,0.0716194
500,0.022727,0.0529608
500,0.062609,0.0262184
500,0.0553505,0.0407053
500,0.115764,0.0798688
500,0.051053,0.108526
500,0.0356314,0.110991
500,0.0203113,0.0656233
500,0.10424,0.0913721
500,0.132084,0.00998554
500,0.0544717,0.0112137
500,0.0630117,0.0208984
500,0.0988743,0.0140692
500,0.0527814,0.0587985
500,0.0517672,0.12454
500,0.160224,0.00413629
500,0.0805258,0.0115164
500,0.0400377,0.00378193
500,0.0524678,0.00453775
500,0.173552,0.114292
500,0.2041,0.0118773
500,0.0911433,0.0124865
500,0.0192967,0.0338911
500,0.144638,0.0237393
500,0.245016,0.0503531
500,0.125468,0.033425
500,0.101129,0.00247404
500,0.032648,0.0754933
500,0.0140694,0.00291907
500,0.0460948,0.00414639
500,0.194194,0.00118865
500,0.0601307,0.0305831
500,0.230263,0.0898908
500,0.0443697,0.00634999
500,0.0841603,0.0899624
500,0.211237,0.125207
500,0.124417,0.031646
500,0.0872523,0.0593797
500,0.00730972,0.0462169
500,0.0261305,0.03481
500,0.0660109,0.0556025
500,0.117318,0.0884391
500,0.102439,0.0459917
500,0.143284,0.137526
500,0.0222137,0.159812
500,0.101949,0.0175631
500,0.0735149,0.0938152
500,0.0101588,0.0295613
500,0.174337,0.035879
500,0.158243,0.0358166
500,0.0249262,0.00620795
500,0.142121,0.0570772
500,0.0624848,0.061471
500,0.242834,0.0482837
500,0.0335822,0.00373366
500,0.0389253,0.00826925
500,0.114076,0.103147
500,0.0098857,0.000911157
500,0.146958,0.0711733
500,0.124178,0.0208495
500,0.0102871,0.0398938
500,0.284068,0.0821213
500,0.195036,0.146315
