energy,magnet
-388,-11
-612,59
-772,111
-692,109
-772,103
-808,171
-868,235
-864,279
-852,283
-900,313
-884,319
-844,323
-884,397
-904,389
-924,455
-884,455
-828,429
-832,439
-864,459
-880,467
-1048,555
-1088,573
-1020,521
-1108,575
-996,537
-1004,541
-1012,521
-1016,547
-1028,535
-1048,551
-1052,527
-936,485
-936,471
-984,525
-936,499
-928,489
-936,507
-1060,561
-1008,527
-972,523
-964,509
-916,477
-1000,507
-996,539
-920,471
-888,471
-820,433
-880,445
-944,507
-976,511
-1036,535
-952,509
-916,479
-952,487
-1008,517
-952,499
-960,499
-984,509
-1020,531
-956,481
-892,469
-1004,499
-1016,515
-920,497
-976,513
-1044,541
-932,483
-900,461
-952,505
-864,419
-800,393
-840,437
-892,425
-848,421
-840,439
-964,479
-1040,525
-948,503
-984,503
-996,501
-904,453
-944,483
-952,489
-992,493
-1024,523
-1000,499
-1028,513
-1012,517
-892,469
-880,453
-876,393
-844,335
-876,311
-884,361
-908,359
-780,277
-788,287
-804,257
-896,309
-920,327
-864,317
-856,387
-892,383
-908,439
-928,437
-872,373
-800,337
-900,381
-908,349
-924,355
-980,361
-920,347
-912,371
-916,373
-848,381
-840,383
-828,367
-804,367
-836,323
-864,367
-824,363
-824,349
-792,363
-840,373
-904,435
-916,437
-916,471
-964,499
-936,491
-960,485
-900,467
-864,411
-880,407
-956,467
-956,509
-1060,543
-1040,541
-996,529
-960,499
-956,493
-920,473
-840,417
-868,409
-892,449
-968,521
-960,473
-884,465
-1036,541
-972,497
-916,477
-896,487
-988,483
-792,383
-840,385
-792,271
-864,267
-836,269
-812,297
-808,279
-812,327
-836,401
-868,369
-812,293
-840,279
-872,263
-816,279
-788,247
-860,291
-868,303
-876,261
-852,267
-804,279
-812,305
-868,297
-924,285
-928,285
-924,297
-796,233
-800,241
-780,287
-812,329
-808,335
-876,351
-928,367
-908,321
-876,375
-884,417
-904,433
-956,471
-836,377
-880,393
-840,409
-804,435
-956,501
-988,521
-996,501
-1036,525
-1016,531
-1064,551
-992,527
-984,517
-968,523
-952,515
-960,515
-968,513
-944,481
-956,491
-908,463
-868,455
-992,521
-880,475
-952,495
-960,513
-980,525
-984,499
-956,465
-952,459
-960,451
-876,437
-908,443
-960,441
-996,479
-848,419
-964,481
-856,445
-928,495
-980,501
-916,487
-948,509
-968,491
-916,459
-856,407
-840,369
-848,453
-808,389
-832,405
-924,443
-884,459
-892,463
-896,421
-848,389
-960,501
-968,493
-860,429
-840,393
-892,459
-888,441
-968,489
-908,455
-940,427
-956,459
-956,441
-840,407
-920,451
-956,501
-852,479
-864,485
-892,503
-936,487
-876,433
-948,465
-928,463
-920,471
-960,475
-932,467
-888,443
-904,437
-912,449
-920,461
-844,439
-916,467
-1012,505
-896,435
-852,427
-832,421
-844,433
-776,361
-820,359
-752,355
-856,371
-888,403
-868,409
-872,383
-856,393
-876,399
-828,337
-928,413
-924,383
-884,371
-840,395
-864,413
-896,395
-852,379
-824,389
-792,383
-788,393
-800,397
-748,381
-832,411
-900,447
-908,459
-880,421
-952,489
-952,519
-992,523
-1024,545
-892,467
-888,449
-936,465
-916,455
-904,413
-896,443
-936,481
-960,503
-932,499
-924,473
-952,509
-964,525
-952,515
-944,495
-924,469
-860,449
-840,443
-956,453
-956,501
-1004,531
-956,519
-980,509
-928,485
-972,505
-920,487
-920,461
-892,429
-908,451
-924,479
-868,467
-908,459
-852,419
-828,427
-860,429
-876,447
-892,493
-912,469
-876,425
-864,383
-848,379
-848,355
-860,377
-900,385
-876,415
-864,435
-832,437
-860,421
-924,477
-912,459
-960,501
-880,475
-1020,531
-964,507
-984,505
-916,447
-844,405
-924,417
-892,443
-904,473
-960,481
-968,477
-848,401
-888,421
-872,435
-804,359
-860,385
-864,413
-936,469
-976,509
-956,503
-944,489
-976,519
-928,485
-968,487
-920,441
-944,475
-940,505
-956,509
-1004,521
-888,441
-976,495
-1016,493
-960,455
-772,385
-848,437
-928,487
-968,499
-928,487
-900,441
-896,445
-960,509
-888,465
-912,477
-932,483
-900,475
-976,519
-956,505
-940,505
-952,515
-960,499
-940,479
-956,493
-928,477
-880,479
-1000,493
-856,451
-912,493
-916,475
-912,477
-920,485
-888,449
-868,435
-868,439
-948,467
-984,483
-928,493
-912,489
-908,445
-864,439
-788,405
-832,383
-832,413
-864,479
-972,521
-972,513
-1080,559
-980,513
-928,493
-944,469
-984,481
-1048,557
-1012,531
-1012,531
-944,517
-976,503
-992,521
-912,481
-968,487
-968,489
-980,479
-816,421
-908,483
-916,469
-964,507
-904,485
-836,451
-856,451
-1004,489
-912,469
-964,491
-992,523
-944,497
-928,489
-988,511
-976,499
-936,475
-1068,539
-1072,535
-960,495
-980,453
-876,395
-920,385
-872,339
-824,325
-800,317
-852,319
-828,301
-816,309
-872,307
-852,327
-876,331
-832,273
-852,305
-844,289
-708,239
-704,255
-780,249
-784,229
-764,221
-804,293
-836,305
-776,347
-888,471
-852,433
-944,429
-832,417
-904,431
-900,391
-828,353
-772,335
-664,329
-752,359
-880,397
-856,417
-908,437
-940,457
-964,495
-920,477
-844,431
-820,409
-872,409
-864,383
-764,319
-788,355
-840,409
-868,423
-848,431
-832,393
-852,461
-860,463
-948,475
-928,465
-876,415
-884,441
-888,407
-804,341
-844,349
-836,305
-880,273
-872,309
-844,261
-804,223
-812,259
-892,281
-848,317
-892,321
-812,301
-784,211
-808,155
-828,183
-824,187
-812,191
-764,213
-772,167
-828,69
-836,117
-844,113
-756,99
-736,165
-712,123
-804,123
-800,111
-796,83
-728,75
-748,137
-696,57
-764,9
-776,91
-824,15
-756,-71
-784,-99
-768,-65
-784,-117
-768,-149
-764,-139
-756,-129
-832,-251
-788,-217
-708,-209
-836,-255
-872,-237
-748,-127
-752,-147
-740,-103
-712,-155
-740,-175
-812,-273
-796,-301
-780,-283
-796,-325
-820,-303
-892,-385
-880,-377
-912,-381
-824,-367
-872,-361
-912,-405
-1000,-481
-936,-453
-948,-497
-876,-451
-888,-449
-988,-487
-940,-469
-960,-493
-872,-425
-800,-423
-948,-493
-992,-507
-1004,-521
-1004,-527
-892,-471
-956,-481
-992,-491
-944,-493
-952,-513
-936,-489
-916,-501
-912,-495
-936,-481
-868,-435
-856,-431
-992,-525
-1016,-521
-952,-483
-924,-489
-864,-451
-964,-509
-936,-443
-932,-437
-932,-399
-892,-371
-924,-407
-876,-409
-904,-431
-844,-411
-780,-363
-828,-393
-916,-439
-928,-473
-916,-443
-956,-495
-960,-513
-920,-427
-940,-435
-924,-465
-876,-425
-916,-421
-868,-371
-756,-347
-796,-337
-852,-403
-980,-475
-864,-437
-940,-455
-996,-487
-864,-433
-860,-441
-828,-411
-876,-447
-980,-499
-968,-479
-976,-467
-1000,-511
-944,-497
-1008,-527
-1056,-551
-968,-519
-920,-491
-968,-507
-1012,-533
-976,-519
-912,-495
-868,-461
-1028,-543
-1000,-527
-1016,-527
-948,-491
-944,-489
-904,-469
-864,-457
-808,-383
-856,-385
-820,-345
-828,-335
-836,-375
-836,-357
-924,-393
-940,-451
-848,-433
-872,-433
-900,-427
-852,-431
-868,-455
-1028,-543
-1024,-523
-960,-487
-896,-447
-864,-437
-896,-401
-864,-383
-940,-441
-908,-445
-940,-443
-892,-453
-868,-455
-896,-433
-884,-419
-848,-385
-880,-391
-916,-399
-856,-347
-852,-387
-868,-391
-848,-379
-800,-329
-788,-275
-872,-273
-812,-305
-832,-337
-868,-389
-860,-353
-864,-351
-880,-407
-884,-459
-924,-469
-868,-409
-908,-433
-884,-421
-876,-391
-920,-463
-924,-387
-860,-341
-944,-393
-868,-421
-820,-403
-888,-441
-908,-453
-848,-429
-884,-411
-876,-363
-852,-381
-908,-393
-892,-413
-880,-389
-864,-375
-844,-297
-796,-239
-892,-299
-848,-279
-916,-299
-884,-287
-816,-269
-776,-267
-824,-283
-772,-267
-836,-353
-816,-321
-808,-285
-800,-221
-808,-305
-912,-367
-904,-395
-956,-433
-904,-413
-848,-379
-868,-373
-844,-397
-888,-417
-916,-447
-844,-417
-816,-367
-844,-409
-928,-477
-912,-483
-952,-493
-880,-491
-840,-427
-848,-375
-868,-409
-816,-371
-824,-373
-812,-373
-804,-383
-904,-419
-936,-413
-976,-437
-924,-431
-932,-473
-900,-465
-908,-435
-936,-441
-872,-393
-860,-399
-848,-427
-836,-453
-948,-483
-964,-493
-968,-487
-928,-459
-824,-385
-880,-389
-852,-325
-908,-397
-940,-423
-872,-359
-848,-343
-748,-301
-720,-287
