energy,magnet
-6358,82
-10442,106
-12154,132
-13254,30
-13958,2
-14234,120
-14502,-12
-14702,-14
-14798,-62
-14914,-54
-15026,14
-15054,-34
-15186,-116
-15182,-146
-15246,-202
-15266,-184
-15298,-274
-15374,-466
-15354,-546
-15454,-582
-15470,-682
-15490,-782
-15526,-880
-15542,-930
-15554,-872
-15582,-954
-15562,-954
-15578,-854
-15566,-776
-15610,-816
-15638,-910
-15674,-896
-15686,-930
-15686,-918
-15686,-1002
-15694,-1082
-15734,-1156
-15738,-1154
-15726,-1200
-15694,-1182
-15722,-1192
-15710,-1154
-15730,-1106
-15738,-1106
-15722,-1082
-15738,-1154
-15754,-1154
-15750,-1164
-15730,-1198
-15730,-1226
-15714,-1304
-15722,-1278
-15742,-1306
-15750,-1312
-15750,-1328
-15738,-1372
-15746,-1396
-15734,-1416
-15738,-1434
-15734,-1424
-15722,-1414
-15742,-1420
-15722,-1430
-15754,-1448
-15730,-1416
-15738,-1406
-15738,-1368
-15726,-1302
-15758,-1368
-15734,-1376
-15730,-1356
-15754,-1368
-15774,-1396
-15750,-1364
-15730,-1364
-15762,-1402
-15746,-1368
-15758,-1384
-15738,-1314
-15762,-1304
-15758,-1346
-15754,-1324
-15762,-1322
-15754,-1332
-15758,-1346
-15746,-1314
-15746,-1308
-15730,-1328
-15746,-1316
-15734,-1312
-15750,-1280
-15750,-1298
-15750,-1308
-15754,-1312
-15774,-1316
-15750,-1332
-15758,-1344
-15726,-1316
-15746,-1362
-15742,-1404
-15762,-1418
-15734,-1460
-15754,-1432
-15758,-1370
-15726,-1440
-15766,-1452
-15762,-1438
-15754,-1442
-15774,-1414
-15770,-1402
-15758,-1426
-15774,-1454
-15778,-1402
-15734,-1446
-15770,-1500
-15742,-1478
-15770,-1520
-15734,-1506
-15762,-1604
-15754,-1598
-15726,-1636
-15766,-1628
-15766,-1660
-15750,-1666
-15758,-1660
-15750,-1636
-15750,-1628
-15754,-1634
-15758,-1652
-15750,-1678
-15770,-1670
-15766,-1644
-15766,-1672
-15758,-1678
-15774,-1638
-15770,-1626
-15762,-1600
-15782,-1650
-15778,-1650
-15746,-1644
-15762,-1660
-15770,-1674
-15766,-1684
-15774,-1686
-15746,-1670
-15758,-1606
-15742,-1656
-15770,-1638
-15766,-1720
-15754,-1734
-15778,-1718
-15754,-1748
-15742,-1710
-15762,-1690
-15770,-1722
-15762,-1696
-15790,-1626
-15782,-1622
-15774,-1596
-15778,-1608
-15786,-1586
-15758,-1592
-15730,-1578
-15762,-1560
-15758,-1560
-15766,-1576
-15770,-1564
-15790,-1538
-15794,-1518
-15762,-1500
-15762,-1486
-15786,-1458
-15758,-1474
-15742,-1500
-15790,-1508
-15770,-1528
-15786,-1566
-15782,-1576
-15778,-1568
-15754,-1518
-15786,-1516
-15798,-1542
-15774,-1576
-15774,-1568
-15786,-1556
-15790,-1568
-15770,-1544
-15778,-1538
-15782,-1530
-15770,-1546
-15770,-1524
-15766,-1552
-15766,-1566
-15770,-1546
-15738,-1536
-15758,-1522
-15762,-1522
-15742,-1508
-15790,-1530
-15790,-1530
-15770,-1528
-15762,-1526
-15782,-1526
-15790,-1536
-15766,-1520
-15750,-1512
-15782,-1510
-15738,-1464
-15762,-1442
-15790,-1436
-15778,-1438
-15782,-1426
-15778,-1408
-15754,-1468
-15790,-1472
-15778,-1466
-15762,-1464
-15762,-1450
-15782,-1464
-15774,-1460
-15790,-1408
-15790,-1392
-15762,-1386
-15766,-1382
-15766,-1400
-15746,-1408
-15722,-1404
-15754,-1406
-15714,-1422
-15774,-1430
-15782,-1414
-15754,-1412
-15794,-1418
-15778,-1390
-15778,-1378
-15790,-1390
-15786,-1362
-15770,-1330
-15782,-1320
-15762,-1322
-15774,-1302
-15794,-1320
-15790,-1376
-15782,-1334
-15782,-1322
-15786,-1334
-15790,-1336
-15778,-1384
-15778,-1396
-15782,-1366
-15774,-1364
-15778,-1362
-15798,-1340
-15782,-1348
-15810,-1390
-15786,-1400
-15778,-1404
-15782,-1386
-15802,-1414
-15814,-1436
-15806,-1462
-15790,-1462
-15806,-1456
-15794,-1496
-15790,-1534
-15762,-1558
-15770,-1548
-15790,-1646
-15806,-1676
-15794,-1644
-15810,-1622
-15806,-1592
-15778,-1596
-15782,-1656
-15786,-1678
-15818,-1700
-15798,-1670
-15774,-1656
-15806,-1666
-15778,-1690
-15794,-1728
-15782,-1736
-15814,-1744
-15818,-1746
-15782,-1734
-15782,-1706
-15782,-1718
-15774,-1738
-15802,-1710
-15806,-1734
-15794,-1704
-15734,-1724
-15806,-1760
-15774,-1776
-15794,-1776
-15778,-1774
-15782,-1726
-15786,-1716
-15766,-1748
-15798,-1724
-15798,-1754
-15794,-1740
-15802,-1700
-15790,-1680
-15778,-1722
-15774,-1734
-15774,-1780
-15806,-1788
-15790,-1800
-15786,-1806
-15806,-1818
-15802,-1780
-15786,-1776
-15786,-1792
-15786,-1820
-15778,-1790
-15778,-1780
-15786,-1782
-15810,-1722
-15802,-1726
-15810,-1680
-15810,-1680
-15802,-1664
-15766,-1620
-15778,-1594
-15810,-1632
-15778,-1650
-15806,-1692
-15798,-1724
-15810,-1748
-15814,-1752
-15814,-1742
-15802,-1712
-15790,-1746
-15798,-1758
-15806,-1810
-15754,-1840
-15822,-1864
-15794,-1874
-15806,-1900
-15746,-1914
-15790,-1928
-15810,-1958
-15766,-1996
-15802,-1998
-15806,-2020
-15774,-2004
-15786,-1952
-15798,-1962
-15814,-1974
-15790,-1984
-15798,-2010
-15774,-2046
-15774,-2154
-15770,-2176
-15790,-2178
-15802,-2162
-15758,-2168
-15814,-2210
-15774,-2260
-15778,-2256
-15790,-2282
-15794,-2340
-15798,-2344
-15766,-2364
-15806,-2414
-15814,-2410
-15810,-2432
-15786,-2458
-15798,-2450
-15802,-2428
-15810,-2432
-15798,-2432
-15794,-2432
-15802,-2386
-15810,-2400
-15798,-2376
-15790,-2344
-15790,-2320
-15798,-2320
-15782,-2350
-15782,-2362
-15802,-2368
-15806,-2364
-15802,-2370
-15778,-2344
-15826,-2332
-15782,-2310
-15798,-2314
-15798,-2324
-15790,-2324
-15810,-2256
-15794,-2298
-15802,-2266
-15770,-2258
-15814,-2272
-15786,-2254
-15814,-2246
-15794,-2260
-15786,-2136
-15810,-2088
-15814,-2072
-15802,-1990
-15770,-1976
-15794,-1990
-15826,-1974
-15822,-1984
-15822,-2006
-15802,-2044
-15790,-2064
-15742,-2110
-15802,-2116
-15814,-2098
-15802,-2104
-15798,-2154
-15818,-2168
-15818,-2168
-15818,-2132
-15794,-2102
-15834,-2108
-15806,-2122
-15794,-2092
-15758,-2042
-15798,-2022
-15806,-2000
-15786,-1982
-15790,-1910
-15818,-1898
-15810,-1900
-15802,-1904
-15818,-1882
-15798,-1864
-15798,-1892
-15814,-1876
-15790,-1878
-15814,-1862
-15786,-1844
-15786,-1840
-15786,-1840
-15818,-1786
-15782,-1800
-15798,-1770
-15802,-1754
-15766,-1810
-15786,-1800
-15818,-1776
-15822,-1766
-15818,-1728
-15818,-1720
-15782,-1744
-15794,-1770
-15790,-1780
-15770,-1768
-15786,-1752
-15802,-1760
-15834,-1780
-15814,-1808
-15806,-1810
-15818,-1690
-15818,-1666
-15814,-1686
-15790,-1682
-15802,-1652
-15818,-1630
-15802,-1626
-15830,-1640
-15834,-1652
-15802,-1658
-15822,-1654
-15782,-1632
-15814,-1634
-15814,-1608
-15818,-1604
-15822,-1584
-15806,-1582
-15826,-1552
-15814,-1572
-15818,-1578
-15826,-1542
-15782,-1554
-15822,-1552
-15834,-1516
-15830,-1516
-15822,-1482
-15822,-1508
-15802,-1548
-15810,-1566
-15826,-1554
-15818,-1568
-15806,-1604
-15822,-1630
-15822,-1626
-15806,-1654
-15810,-1638
-15814,-1630
-15794,-1620
-15842,-1566
-15822,-1558
-15810,-1568
-15818,-1522
-15822,-1464
-15814,-1458
-15830,-1446
-15830,-1464
-15822,-1468
-15822,-1472
-15818,-1478
-15826,-1496
-15810,-1466
-15842,-1446
-15838,-1462
-15810,-1412
-15818,-1432
-15818,-1390
-15810,-1428
-15818,-1482
-15810,-1408
-15790,-1380
-15822,-1418
-15826,-1394
-15826,-1446
-15794,-1416
-15834,-1408
-15802,-1368
-15826,-1338
-15842,-1282
-15830,-1266
-15814,-1258
-15814,-1274
-15834,-1220
-15798,-1258
-15838,-1234
-15810,-1210
-15806,-1204
-15838,-1216
-15834,-1212
-15842,-1210
-15798,-1170
-15802,-1172
-15822,-1122
-15830,-1140
-15806,-1112
-15834,-1116
-15798,-1072
-15822,-1086
-15842,-1094
-15838,-1062
-15838,-1062
-15814,-1042
-15846,-1014
-15854,-998
-15818,-1024
-15806,-1036
-15846,-1086
-15798,-1038
-15818,-1056
-15830,-1030
-15850,-1014
-15834,-1038
-15838,-1004
-15842,-1014
-15834,-988
-15842,-968
-15826,-972
-15810,-942
-15834,-898
-15850,-944
-15862,-940
-15826,-1012
-15818,-1012
-15826,-994
-15814,-1024
-15818,-1048
-15822,-1004
-15822,-966
-15850,-942
-15838,-924
-15830,-914
-15834,-898
-15830,-910
-15822,-904
-15826,-862
-15814,-886
-15838,-822
-15794,-810
-15822,-828
-15826,-840
-15826,-834
-15850,-834
-15850,-830
-15822,-804
-15850,-766
-15834,-692
-15838,-744
-15834,-734
-15810,-720
-15834,-716
-15850,-708
-15846,-664
-15822,-670
-15806,-654
-15782,-700
-15822,-770
-15826,-758
-15834,-708
-15842,-734
-15854,-684
-15846,-680
-15822,-626
-15818,-618
-15838,-612
-15826,-656
-15838,-666
-15834,-664
-15822,-670
-15850,-712
-15826,-676
-15818,-654
-15810,-594
-15818,-572
-15826,-614
-15858,-602
-15838,-576
-15822,-578
-15834,-508
-15774,-512
-15854,-490
-15822,-474
-15834,-428
-15838,-414
-15822,-402
-15814,-362
-15810,-294
-15842,-264
-15834,-264
-15842,-282
-15838,-390
-15854,-294
-15842,-274
-15826,-290
-15838,-294
-15838,-250
-15842,-206
-15830,-218
-15806,-226
-15818,-146
-15806,-148
-15798,-160
-15802,-182
-15818,-182
-15802,-108
-15838,-116
-15814,-154
-15850,-188
-15810,-126
-15846,-152
-15834,-86
-15854,-44
-15822,26
-15802,60
-15826,106
-15842,112
-15838,138
-15834,136
-15822,214
-15786,142
-15822,212
-15850,202
-15846,186
-15822,102
-15822,162
-15810,126
-15810,142
-15818,176
-15842,176
-15838,182
-15834,178
-15838,202
-15830,198
-15814,214
-15854,196
-15846,236
-15830,282
-15854,292
-15806,282
-15858,258
-15850,248
-15834,264
-15818,226
-15794,160
-15802,154
-15834,156
-15846,132
-15806,108
-15810,50
-15838,68
-15842,46
-15834,-22
-15842,-10
-15810,-86
-15814,-128
-15818,-184
-15822,-190
-15826,-218
-15830,-236
-15846,-324
-15790,-336
-15858,-330
-15850,-382
-15826,-388
-15858,-388
-15818,-346
-15838,-366
-15850,-294
-15826,-290
-15854,-294
-15822,-372
-15818,-356
-15854,-346
-15830,-348
-15826,-334
-15854,-352
-15826,-384
-15834,-494
-15814,-440
-15846,-492
-15858,-482
-15846,-510
-15846,-468
-15842,-482
-15822,-476
-15858,-502
-15874,-504
-15862,-470
-15830,-474
-15866,-454
-15870,-436
-15842,-484
-15814,-552
-15818,-660
-15842,-748
-15854,-794
-15858,-802
-15838,-816
-15874,-842
-15858,-954
-15870,-946
-15838,-1072
-15830,-1060
-15878,-1078
-15830,-1180
-15878,-1148
-15846,-1176
-15846,-1194
-15858,-1238
-15850,-1218
-15846,-1312
-15850,-1298
-15862,-1342
-15862,-1334
-15862,-1368
-15842,-1416
-15846,-1450
-15846,-1444
-15834,-1480
-15854,-1460
-15838,-1484
-15794,-1448
-15846,-1432
-15846,-1448
-15842,-1446
-15870,-1484
-15838,-1532
-15850,-1620
-15842,-1626
-15850,-1582
-15850,-1590
-15858,-1572
-15878,-1550
-15846,-1510
-15854,-1536
-15850,-1584
-15874,-1546
-15834,-1550
-15838,-1598
-15826,-1536
-15854,-1536
-15814,-1438
-15830,-1352
-15850,-1336
-15854,-1302
-15838,-1392
-15850,-1394
-15862,-1384
-15834,-1378
-15842,-1380
-15854,-1344
-15874,-1322
-15826,-1316
-15846,-1330
-15826,-1344
-15846,-1314
-15858,-1308
-15858,-1334
-15846,-1362
-15870,-1308
-15870,-1320
-15858,-1304
-15886,-1350
-15834,-1374
-15850,-1360
-15842,-1328
-15862,-1286
-15846,-1218
-15862,-1162
-15842,-1148
-15858,-1178
-15862,-1244
-15838,-1204
-15830,-1186
-15846,-1164
-15838,-1162
-15854,-1146
-15854,-1146
-15842,-1186
-15838,-1202
-15854,-1250
-15858,-1262
-15854,-1306
-15842,-1262
-15846,-1286
-15854,-1300
-15854,-1260
-15886,-1336
-15878,-1360
-15878,-1338
-15874,-1262
-15854,-1274
-15850,-1298
-15858,-1234
-15826,-1230
-15870,-1340
-15830,-1316
-15866,-1410
-15862,-1362
-15842,-1368
-15870,-1398
-15858,-1410
-15814,-1350
-15846,-1364
-15850,-1448
-15878,-1506
-15878,-1432
-15862,-1406
-15854,-1396
-15826,-1344
-15830,-1362
-15842,-1442
