energy,magnet
-2166,-424
-3382,-604
-4262,-754
-4570,-882
-4750,-920
-4766,-1038
-4802,-1174
-4834,-1092
-4654,-1276
-4958,-1280
-4966,-1342
-5022,-1476
-5054,-1396
-5110,-1462
-5374,-1542
-5410,-1528
-5510,-1660
-5578,-1722
-5506,-1550
-5522,-1356
-5610,-1472
-5718,-1472
-5686,-1292
-5718,-1380
-5714,-1258
-5746,-1432
-5798,-1686
-5646,-1718
-5642,-1606
-5546,-1562
-5386,-1530
-5306,-1556
-5434,-1684
-5498,-1744
-5590,-1860
-5706,-1966
-5714,-2138
-5682,-2190
-5798,-2116
-5674,-2010
-5782,-1972
-5614,-1942
-5578,-1912
-5598,-2014
-5778,-2014
-5714,-2052
-5842,-2118
-5702,-2098
-5678,-2066
-5922,-2174
-6030,-2286
-5874,-2132
-5714,-2074
-5858,-2126
-6106,-2298
-5930,-2298
-5834,-2346
-6022,-2364
-6014,-2358
-5734,-2440
-5830,-2452
-5834,-2658
-5726,-2662
-5798,-2658
-5754,-2642
-5614,-2560
-5558,-2606
-5630,-2722
-5678,-2760
-5838,-2764
-5730,-2618
-5726,-2684
-5826,-2708
-6066,-2942
-6014,-2944
-5826,-2904
-5854,-2960
-5902,-2924
-5826,-2782
-5766,-2796
-5958,-3026
-5902,-2868
-5774,-2760
-5806,-2698
-5822,-2772
-5942,-2854
-5606,-2704
-5766,-2740
-5722,-2688
-5746,-2630
-5942,-2694
-5930,-2848
-6102,-2976
-5882,-2892
-5990,-3038
-6066,-3078
-6318,-3250
-6102,-3246
-6074,-3226
-5942,-3054
-5926,-2994
-6038,-2912
-6058,-2992
-6102,-3054
-6014,-3078
-6162,-3150
-6118,-3074
-5874,-2992
-5950,-3034
-5926,-3012
-6010,-2966
-5918,-2894
-5662,-2830
-5850,-2818
-5726,-2710
-5630,-2792
-5562,-2700
-6022,-2890
-5786,-2800
-5714,-2822
-5714,-2756
-5910,-3044
-6062,-3100
-6154,-3184
-6006,-3052
-5854,-2958
-5786,-2880
-6178,-3066
-5966,-3012
-6054,-3128
-6082,-3074
-6042,-3072
-5934,-3012
-5974,-3042
-5766,-2892
-6030,-2942
-5954,-2990
-5998,-2996
-6202,-3124
-6042,-3030
