energy,magnet,clus_size
-46,-32,9
-90,42,37
-106,-44,43
-138,74,59
-146,76,1
-162,-76,76
-198,96,86
-122,-66,81
-114,-58,4
-162,82,70
-194,-94,88
-174,90,92
-198,-96,93
-206,98,97
-198,-96,97
-186,92,94
-158,-78,85
-142,56,67
-194,-94,75
-166,74,84
-166,-82,78
-114,52,67
-118,54,1
-110,52,1
-142,76,12
-150,78,1
-186,-90,84
-170,84,87
-154,-80,82
-178,86,83
-174,-86,86
-134,44,65
-126,-48,46
-126,-46,1
-170,86,66
-178,88,1
-170,86,1
-178,88,1
-190,-94,91
-162,82,88
-190,-88,85
-178,88,88
-150,-64,76
-134,64,64
-182,-92,78
-178,90,91
-158,-82,86
-134,74,78
-134,-62,68
-130,-64,1
-118,-60,2
-142,74,67
-154,84,5
-202,-96,90
-150,68,82
-150,-66,67
-194,94,80
-194,-94,94
-202,96,95
-158,-82,89
-174,84,83
-118,-68,76
-134,72,70
-194,-94,83
-202,96,95
-162,-82,89
-174,88,85
-118,-58,73
-130,-62,2
-118,58,60
-118,-54,56
-142,78,66
-170,-86,82
-186,84,85
-190,-92,88
-170,84,88
-170,-82,83
-170,76,79
-170,-88,82
-146,72,80
-134,62,5
-130,-60,61
-158,80,70
-182,-90,85
-114,48,69
-130,-46,47
-158,-84,19
-146,-80,2
-138,-78,1
-162,80,79
-182,-86,83
-150,78,82
-146,76,1
-134,-60,68
-174,88,74
-182,90,1
-142,-62,76
-182,84,73
-154,-76,80
-170,88,82
-154,82,3
-162,-72,77
-166,-74,1
-138,56,65
-118,-48,52
-126,-64,8
-126,-66,1
-178,88,77
-198,-94,91
-190,92,93
-182,90,1
-190,-94,92
-158,84,89
-194,-94,89
-158,84,89
-158,-80,82
-158,66,73
-182,90,12
-170,-88,89
-174,82,85
-142,-54,68
-186,92,73
-154,-78,85
-158,-82,2
-182,90,86
-170,-86,88
-190,92,89
-166,-82,87
-178,88,85
-162,-84,86
-198,96,90
-182,-92,94
-118,60,76
-134,-76,68
-130,-74,1
-138,50,62
-146,-70,60
-154,66,68
-170,-86,76
-170,88,87
-134,-60,74
-162,-82,11
-158,78,80
-178,-88,83
-166,84,86
-198,-96,90
-162,86,91
-166,-88,87
-206,98,93
-198,96,1
-182,-92,94
-170,86,89
-150,-74,80
-178,90,82
-182,-90,90
-162,82,86
-174,-90,86
-146,76,83
-142,72,2
-146,-68,70
-166,-86,9
-122,44,65
-122,-54,49
-134,66,60
-134,76,5
-154,-76,76
-174,86,81
-178,88,1
-206,-98,93
-174,88,93
-158,-70,79
-150,-66,2
-154,-68,1
-158,78,73
-206,-98,88
-142,44,71
-166,80,18
-206,-98,89
-178,90,94
-142,-56,73
-142,-46,5
-110,34,40
-182,-90,62
-182,90,90
-190,92,1
-194,94,1
-178,86,4
-182,-90,88
-194,92,91
-118,-48,70
-142,-74,13
-178,88,81
-182,-88,88
-150,80,84
-150,-76,78
-126,26,51
-110,12,7
-110,34,11
-162,-84,59
-166,86,85
-158,82,2
-178,-78,80
-186,92,85
-182,-90,91
-150,68,79
-142,-74,71
-166,76,75
-142,-8,42
-138,70,39
-162,-84,77
-170,-86,1
-150,-58,14
-126,-44,7
-134,-36,4
-158,-80,22
-162,74,77
-158,66,4
-154,64,1
-166,70,3
-158,68,1
-154,60,4
-186,-90,75
-174,88,89
-178,-88,88
-174,88,88
-174,-88,88
-166,64,76
-158,60,2
-154,-62,61
-182,90,76
-146,-72,81
-158,80,76
-162,-82,81
-110,58,70
-134,-58,58
-126,-50,4
-98,18,34
-126,60,21
-174,-88,74
-174,88,88
-174,-88,88
-162,74,81
-154,72,1
-162,-82,77
-154,82,82
-154,-80,81
