energy,magnet,clus_size
-24,54,7
-36,62,4
-40,64,1
-52,80,8
-56,78,1
-64,74,2
-72,76,1
-92,84,4
-88,88,2
-136,44,22
-132,42,1
-144,38,2
-152,56,9
-148,58,1
-144,54,2
-148,64,5
-160,52,6
-160,36,8
-168,26,5
-180,30,2
-176,14,8
-208,34,10
-216,60,13
-224,54,3
-220,62,4
-224,58,2
-240,52,3
-256,44,4
-304,10,17
-308,20,5
-316,18,1
-320,22,2
-372,-38,30
-380,-32,3
-372,-18,7
-380,-20,1
-380,-22,1
-404,-36,7
-428,-66,15
-428,-100,17
-484,-56,22
-484,-52,2
-504,-38,7
-524,-12,13
-524,32,22
-540,18,7
-548,14,2
-624,82,34
-628,88,3
-640,78,5
-644,90,6
-688,10,40
-684,8,1
-716,58,25
-720,56,1
-820,206,75
-848,240,17
-856,244,2
-872,234,5
-896,250,8
-900,244,3
-900,222,11
-904,224,1
-900,208,8
-940,118,45
-940,242,62
-952,248,3
-956,244,2
-952,242,1
-956,230,6
-992,110,60
-992,98,6
-1016,-62,80
-1016,-68,3
-1056,-108,20
-1056,-72,18
-1072,-82,5
-1068,-72,5
-1076,-76,2
-1072,-128,26
-1116,-176,24
-1124,-178,1
-1132,-316,69
-1152,-288,14
-1168,-372,42
-1184,-254,59
-1188,-252,1
-1208,-270,9
-1212,-268,1
-1224,-276,4
-1232,-278,1
-1276,-246,16
-1280,-252,3
-1284,-262,5
-1280,-266,2
-1276,-262,2
-1280,-260,1
-1316,-230,15
-1368,-370,70
-1492,146,258
-1504,152,3
-1504,154,1
-1500,152,1
-1520,132,10
-1520,124,4
-1560,-344,234
-1680,324,334
-1652,264,30
-1648,254,5
-1704,386,66
-1748,208,89
-1860,-730,469
-1852,-696,17
-1880,-144,276
-1928,102,123
-1940,106,2
-1972,-402,254
-1980,-410,4
-2028,-244,83
-2036,-242,1
-2088,672,457
-2080,670,1
-2080,672,1
-2088,674,1
-2108,780,53
-2312,-1076,928
-2344,-1020,28
-2352,-1008,6
-2484,772,890
-2496,786,7
-2796,-1260,1023
-2824,-1276,8
-2828,-1248,14
-2864,-1406,79
-2868,-1390,8
-2888,-1376,7
-2940,1082,1229
-2992,640,221
-3000,642,1
-3096,-1300,971
-3224,1424,1362
-3224,1420,2
-3220,1416,2
-3304,-1680,1548
-3316,-1692,6
-3344,-1750,29
-3420,1742,1746
-3404,1734,4
-3468,-1844,1789
-3380,156,1000
-3616,1736,790
-3464,-1778,1757
-3588,1480,1629
-3604,1496,8
-3600,1494,1
-3524,-1806,1650
-3612,1662,1734
-3628,1668,3
-3572,-1640,1654
-3648,1920,1780
-3784,-1800,1860
-3704,1914,1857
-3768,-2010,1962
-3576,1820,1915
-3572,1832,6
-3500,-1836,1834
-3500,-1790,23
-3488,1780,1785
-3368,-1236,1508
-3448,-1792,278
-3420,-1648,72
-3428,1762,1705
-3424,1760,1
-3344,-1664,1712
-3400,-1800,68
-3544,1822,1811
-3372,-1460,1641
-3512,1686,1573
-3520,1688,1
-3680,-1968,1828
-3348,1660,1814
-3484,-1790,1725
-3432,-1700,45
-3436,-1698,1
-3352,954,1326
-3356,958,2
-3336,978,10
-3468,-1180,1079
-3624,1908,1544
-3652,-1854,1881
-3660,-1856,1
-3480,1756,1806
-3480,1754,1
-3480,1756,1
-3384,-1002,1379
-3404,1668,1335
-3468,-1820,1744
-3404,944,1382
-3448,1518,287
-3456,-1698,1608
-3452,-1672,13
-3372,1514,1593
-3312,1174,170
-3308,1172,1
-3220,-538,855
-3404,1314,926
-3404,1306,4
-3396,-298,802
-3464,1612,955
-3448,-1490,1551
-3552,1838,1664
-3716,-1888,1863
-3716,2024,1956
-3472,-1760,1892
-3372,850,1305
-3548,-1722,1286
-3476,1650,1686
-3580,-1820,1735
-3512,1762,1791
-3316,-1516,1639
-3324,-1532,8
-3420,1472,1502
-3440,-1500,1486
-3180,1090,1295
-3188,1054,18
-3188,1024,15
-3144,-406,715
-3152,-404,1
-3132,-428,12
-3120,-194,117
-3172,190,192
-3144,1042,426
-3176,880,81
-3224,1286,203
-3352,1640,177
-3308,146,747
-3348,-1484,815
-3344,-1480,2
-3356,1456,1468
-3360,1458,1
-3312,-1560,1509
-3292,-1524,18
-3252,-1370,77
-3224,-1156,107
-3228,-1154,1
-3244,-1196,21
-3256,1332,1264
-3320,-792,1062
-3324,-790,1
-3280,-718,36
-3460,1646,1182
-3456,1656,5
-3536,-1844,1750
-3540,-1848,2
-3532,-1846,1
-3556,-1858,6
-3552,-1854,2
-3656,1890,1872
-3488,-1798,1844
-3580,1742,1770
-3528,-1236,1489
-3568,-1430,97
-3576,-1412,9
-3636,1664,1538
-3720,-1812,1738
-3704,1938,1875
-3808,-2070,2004
-3712,1962,2016
-3720,-1950,1956
-3704,1790,1870
-3864,-2012,1901
-3532,1912,1962
-3316,-1382,1647
-3328,1602,1492
-3664,-1976,1789
-3656,-1974,1
-3612,1944,1959
-3568,-1850,1897
-3540,1686,1768
-3548,1684,1
-3560,1680,2
-3688,-1938,1809
-3700,1880,1909
-3648,-1910,1895
-3428,1194,1552
-3436,1192,1
-3444,1190,1
-3420,690,250
-3524,-1792,1241
-3524,-1786,3
-3584,1866,1826
-3528,-1636,1751
-3544,1828,1732
-3672,-1876,1852
-3804,2008,1942
-3668,-1924,1966
-3644,1574,1749
-3516,-1694,1634
-3448,1458,1576
-3448,1454,2
-3340,-1510,1482
-3324,1608,1559
-3512,-1726,1667
-3652,1960,1843
-3608,-1902,1931
-3424,1630,1766
-3652,-1940,1785
-3664,-1944,2
-3808,1922,1933
-3856,-2112,2017
-3636,1930,2021
-3848,-2072,2001
-3640,1878,1975
-3636,1880,1
-3360,-1610,1745
-3396,1114,1362
-3404,1116,1
-3396,1114,1
-3432,-1670,1392
-3360,-1542,64
-3684,1700,1621
-3596,-1812,1756
-3632,1864,1838
-3732,-1938,1901
-3480,1594,1766
-3376,-1524,1559
-3176,890,1207
-3200,960,35
-3220,1014,27
-3188,1238,112
-3140,-1348,1293
-3148,-1350,1
-3220,-706,322
-3172,1160,933
