energy,magnet,clus_size
-12,78,1
-12,80,1
-28,68,6
-38,72,2
-34,70,1
-42,56,7
-38,54,1
-44,58,2
-36,56,1
-42,52,2
-38,50,1
-48,46,2
-48,44,1
-54,38,3
-62,40,1
-52,44,2
-52,46,1
-54,50,2
-68,56,3
-86,52,2
-90,54,1
-90,52,1
-90,50,1
-94,44,3
-112,52,4
-120,50,1
-134,46,2
-134,48,1
-124,44,2
-124,46,1
-128,26,10
-132,28,1
-138,22,3
-132,28,3
-140,26,1
-144,24,1
-152,26,1
-150,20,3
-148,24,2
-156,26,1
-160,24,1
-164,26,1
-170,22,2
-182,28,3
-186,30,1
-200,22,4
-200,24,1
-200,22,1
-202,18,2
-210,20,1
-212,26,3
-212,24,1
-206,20,2
-204,28,4
-220,22,3
-218,28,3
-236,24,2
-232,26,1
-248,36,5
-246,32,2
-246,34,1
-252,38,2
-256,48,5
-260,38,5
-262,42,2
-280,46,2
-272,40,3
-274,44,2
-274,30,7
-268,36,3
-278,56,10
-284,52,2
-284,50,1
-286,46,2
-282,54,4
-286,56,1
-278,58,1
-300,48,5
-304,50,1
-304,48,1
-308,46,1
-310,38,4
-310,40,1
-310,38,1
-312,42,2
-312,40,1
-302,36,2
-298,34,1
-308,42,4
-304,40,1
-308,30,5
-308,28,1
-312,30,1
-304,20,5
-294,24,2
-286,36,6
-290,44,4
-298,50,3
-300,46,2
-302,54,4
-298,52,1
-302,50,1
-298,48,1
-300,52,2
-310,76,12
-318,78,1
-330,72,3
-330,70,1
-328,82,6
-334,78,2
-334,80,1
-328,76,2
-328,78,1
-334,72,3
-346,60,6
-342,58,1
-346,56,1
-342,58,1
-340,62,2
-340,64,1
-334,68,2
-338,66,1
-334,64,1
-334,66,1
-338,68,1
-328,76,4
-326,62,7
-340,66,2
-350,62,2
-350,60,1
-350,62,1
-362,80,9
-364,86,3
-372,80,3
-382,88,4
-398,76,6
-396,72,2
-402,78,3
-404,82,2
-406,78,2
-406,80,1
-408,76,2
-404,78,1
-414,66,6
-414,60,3
-414,62,1
-414,64,1
-418,52,6
-422,46,3
-426,52,3
-432,48,2
-430,40,4
-418,32,4
-434,22,5
-430,12,5
-448,18,3
-444,20,1
-438,30,5
-442,28,1
-446,30,1
-452,18,6
-462,22,2
-466,20,1
-474,10,5
-470,8,1
-470,10,1
-468,14,2
-476,24,5
-476,26,1
-476,24,1
-478,28,2
-486,26,1
-474,18,4
-470,32,7
-480,36,2
-476,34,1
-478,38,2
-490,32,3
-490,42,5
-492,34,4
-496,32,1
-500,34,1
-508,36,1
-544,16,10
-548,14,1
-552,12,1
-554,8,2
-550,0,4
-554,-16,8
-572,-10,3
-578,-14,2
-578,-16,1
-578,-18,1
-592,-14,2
-588,-22,4
-598,-28,3
-600,-32,2
-606,-28,2
-606,-26,1
-602,-28,1
-606,-26,1
-616,-22,2
-622,-16,3
-626,-14,1
-632,2,8
-624,0,1
-602,-22,11
-610,-20,1
-600,2,11
-616,-4,3
-626,4,4
-636,8,2
-622,2,3
-626,4,1
-624,8,2
-624,6,1
-620,4,1
-624,2,1
-622,-2,2
-618,-4,1
-622,-6,1
-636,2,4
-656,-4,3
-650,0,2
-654,2,1
-644,6,2
-630,10,2
-620,34,12
-634,38,2
-622,50,6
-626,44,3
-626,46,1
-622,38,4
-632,44,3
-636,46,1
-648,40,3
-656,38,1
-666,34,2
-654,48,7
-636,22,13
-636,24,1
-636,22,1
-640,20,1
-636,18,1
-628,20,1
-628,18,1
-628,26,4
-632,32,3
-632,30,1
-646,16,7
-656,12,2
-650,4,4
-650,2,1
-648,-2,2
-642,-10,4
-640,-14,2
-644,-12,1
-638,-18,3
-630,-12,3
-624,-8,2
-602,2,5
-610,4,1
-608,10,3
-608,8,1
-614,2,3
-620,8,3
-620,10,1
-618,14,2
-628,24,5
-632,22,1
-642,26,2
-646,28,1
-632,32,2
-656,8,12
-650,4,2
-664,8,2
-656,6,1
-652,4,1
-672,18,7
-672,16,1
-676,14,1
-676,12,1
-686,4,4
-684,8,2
-692,-4,6
-712,6,5
-708,-4,5
-690,10,7
-684,-4,7
-670,0,2
-662,-8,4
-664,-4,2
-670,-14,5
-670,-16,1
-670,-14,1
-674,-16,1
-674,-14,1
-682,-12,1
-678,-10,1
-682,12,11
-680,8,2
-682,2,3
-672,8,3
-680,10,1
-678,14,2
-670,16,1
-680,10,3
-680,8,1
-682,12,2
-676,8,2
-680,2,3
-680,4,1
-684,2,1
-698,-4,3
-702,-2,1
-698,-4,1
-688,0,2
-682,-4,2
-674,-2,1
-670,-4,1
-666,-6,1
-670,-8,1
-670,-10,1
-680,-4,3
-680,-2,1
-670,-10,4
-684,-14,2
-688,-12,1
-690,-8,2
-694,-16,4
-688,-28,6
-678,-32,2
-680,-22,5
-690,-28,3
-690,-26,1
-694,-24,1
-704,-28,2
-700,-34,3
-706,-40,3
-706,-38,1
-700,-32,3
-696,-30,1
-682,-12,9
-686,-14,1
-706,-8,3
-700,-12,2
-684,20,16
-674,14,3
-658,2,6
-662,4,1
-672,0,2
-670,12,6
-670,10,1
-674,12,1
-680,18,3
-684,16,1
-688,18,1
-696,16,1
-696,-8,12
-690,-12,2
-680,-8,2
-682,-22,7
-678,-20,1
-684,-16,2
-688,-14,1
-684,-12,1
-692,-10,1
-692,-12,1
-692,-10,1
-698,-6,2
-700,6,6
-696,8,1
-696,6,1
-688,0,3
-680,10,5
-684,8,1
-676,10,1
-668,18,4
-678,14,2
-688,4,5
-708,28,12
-708,26,1
-714,40,7
-718,38,1
-712,48,5
-722,60,6
-718,58,1
-718,56,1
-720,52,2
-716,54,1
-710,58,2
-714,56,1
-702,46,5
-698,48,1
-684,38,5
-680,44,3
-678,58,7
-670,38,10
-666,40,1
-658,42,1
-660,36,3
-664,50,7
-660,48,1
-670,52,2
-666,50,1
-670,48,1
-664,52,2
-670,44,4
-684,40,2
-698,44,2
-686,58,7
-690,56,1
-684,62,3
-678,56,3
-684,60,2
-684,62,1
-688,64,1
-688,62,1
-668,48,7
-670,62,7
-668,66,2
-672,64,1
-666,68,2
-674,70,1
-674,72,1
-676,78,3
-678,72,3
-680,90,9
-692,98,4
-690,94,2
-682,82,6
-702,76,3
-698,74,1
-680,82,4
-680,88,3
-660,80,4
-674,96,8
-666,90,3
-674,88,1
-672,84,2
-672,82,1
-670,88,3
-666,90,1
-670,106,8
-670,108,1
-670,100,4
-668,106,3
-664,104,1
-664,106,1
-670,98,4
-670,100,1
-666,98,1
-662,106,4
-658,108,1
-652,116,4
-638,124,4
-638,122,1
-630,108,7
-626,106,1
-630,112,3
-628,108,2
-630,96,6
-630,94,1
-626,92,1
-620,88,2
-614,82,3
-618,80,1
-626,74,3
-628,78,2
-638,74,2
-638,76,1
-660,82,3
-662,78,2
-662,80,1
-670,78,1
-670,80,1
-670,78,1
-674,80,1
-670,82,1
-660,86,2
-664,88,1
-662,92,2
-670,94,1
-674,96,1
-678,94,1
-684,84,5
-706,94,5
-694,82,6
-694,90,4
-702,92,1
-690,86,3
-692,82,2
-694,70,6
-696,74,2
-696,72,1
-690,78,3
-680,82,2
-694,86,2
-704,70,8
-686,78,4
-700,84,3
-686,90,3
-676,80,5
-672,90,5
-680,92,1
-680,94,1
-690,88,3
-704,92,2
-690,76,8
-694,78,1
-716,84,3
-706,94,5
-710,84,5
-714,90,3
-710,92,1
-710,94,1
-714,96,1
-722,108,6
-730,110,1
-738,102,4
-736,106,2
-738,92,7
-738,94,1
-734,92,1
-734,102,5
-728,98,2
-724,100,1
-720,102,1
-720,104,1
-706,98,3
-702,100,1
-706,98,1
-696,90,4
-690,94,2
-694,92,1
-698,94,1
-690,82,6
-702,92,5
-714,100,4
-708,96,2
-708,94,1
-702,98,2
-692,102,2
-702,98,2
-698,92,3
-720,102,5
-726,106,2
-738,116,5
-740,128,6
-744,126,1
-748,128,1
-756,126,1
-760,132,3
-774,128,2
-776,124,2
-772,126,1
-780,124,1
-780,122,1
-798,126,2
-794,128,1
-794,130,1
-802,128,1
-812,132,2
-814,124,4
-804,120,2
-804,122,1
-796,124,1
-800,122,1
-804,116,3
-808,118,1
-808,120,1
-826,116,2
-826,118,1
-808,124,3
-808,122,1
-812,124,1
-812,122,1
-812,116,3
-796,106,5
-798,110,2
-802,108,1
-794,84,12
-794,82,1
-784,86,2
-786,96,5
-784,100,2
-780,94,3
-784,92,1
-806,102,5
-808,106,2
-810,102,2
-814,100,1
-806,98,1
-810,100,1
-814,102,1
-812,96,3
-820,94,1
-822,90,2
-826,88,1
-824,94,3
-832,110,8
-854,122,6
-858,124,1
-866,126,1
-864,116,5
-882,120,2
-882,122,1
-888,126,2
-884,134,4
-866,144,5
-862,142,1
-866,130,6
-866,128,1
-872,118,5
-848,108,5
-852,110,1
-856,112,1
