energy,magnet,clus_size
0,-26,1
-156,-118,46
-164,-120,1
-180,-126,3
-188,-128,1
-192,-126,1
-430,194,160
-448,208,7
-568,292,42
-610,310,9
-1190,-552,431
-1898,1050,801
-3068,-1590,1320
-3108,-1628,19
-4296,2224,1926
-4932,-2462,2343
-5024,2494,2478
-5032,-2496,2495
-5040,2498,2497
-5016,-2492,2495
-5016,2492,2492
-5016,-2492,2492
-5040,2498,2495
-5040,-2498,2498
-5020,2492,2495
-5040,-2498,2495
-5032,2496,2497
-5024,-2494,2495
-5032,2496,2495
-5040,-2498,2497
-5036,2496,2497
-5032,-2496,2496
-5040,2498,2497
-5040,-2498,2498
-5048,2500,2499
-5040,-2498,2499
-5024,2494,2496
-5024,-2494,2494
-5032,2496,2495
-5040,-2498,2497
-5024,2494,2496
-5040,-2498,2496
-5016,2492,2495
-5048,-2500,2496
-5040,2498,2499
-5032,-2496,2497
-5032,2496,2496
-5040,-2498,2497
-5024,2494,2496
-5008,-2490,2492
-5024,2494,2492
-5040,-2498,2496
-5032,2496,2497
-5016,-2492,2494
-5016,2492,2492
-5028,-2494,2493
-5048,2500,2497
-5048,-2500,2500
-5040,2498,2499
-5032,-2496,2497
-5028,2494,2495
-5016,-2492,2493
-5024,2494,2493
-5032,-2496,2495
-5032,2496,2496
-5040,-2498,2497
-5032,2496,2497
-5032,-2496,2496
-5012,2490,2493
-5020,-2492,2491
-5008,2490,2491
-5000,-2488,2489
-5024,2494,2491
-5032,-2496,2495
-5032,2496,2496
-5032,-2496,2496
-5032,2496,2496
-4992,-2486,2491
-5032,2496,2491
-5048,-2500,2498
-5040,2498,2499
-5032,-2496,2497
-5048,2500,2498
-5032,-2496,2498
-5048,2500,2498
-5024,-2494,2497
-5032,2496,2495
-5024,-2494,2495
-5048,2500,2497
-5016,-2492,2496
-5028,2494,2493
-5024,-2494,2494
-5012,2490,2492
-5032,-2496,2493
-5020,2492,2494
-5040,-2498,2495
-5048,2500,2499
-5012,-2490,2495
-5024,2494,2492
-5032,-2496,2495
-5032,2496,2496
-5024,-2494,2495
-5048,2500,2497
-5032,-2496,2498
-5016,2492,2494
-5032,-2496,2494
-5032,2496,2496
-5024,-2494,2495
-5040,2498,2496
-5032,-2496,2497
-5008,2490,2493
-5032,-2496,2493
-5028,2494,2495
-5024,-2494,2494
-5032,2496,2495
-5004,-2488,2492
-5032,2496,2492
-5024,-2494,2495
-5024,2494,2494
-5024,-2494,2494
-5024,2494,2494
-5008,-2488,2491
-5032,2496,2492
-5040,-2498,2497
-5032,2496,2497
-5032,-2496,2496
-5024,2494,2495
-5032,-2496,2495
-5048,2500,2498
-5040,-2498,2499
-5028,2494,2496
-5032,-2496,2495
-5032,2496,2496
-5024,-2494,2495
-5008,2488,2491
-5032,-2496,2492
-5024,2494,2495
-5040,-2498,2496
-5032,2496,2497
-5040,-2498,2497
-5032,2496,2497
-5032,-2496,2496
-5042,2498,2497
-5030,-2494,2496
-5010,2490,2492
-5042,-2498,2494
-5010,2488,2493
-5026,-2494,2491
-5042,2498,2496
-5050,-2500,2499
-5050,2500,2500
-5018,-2492,2496
-5034,2496,2494
-5018,-2492,2494
-5024,2494,2493
-5040,-2498,2496
-5016,2492,2495
-5032,-2496,2494
