beta.1,energy.1,magnet.1,beta.2,energy.2,magnet.2,beta.3,energy.3,magnet.3,beta.4,energy.4,magnet.4,beta.5,energy.5,magnet.5,beta.6,energy.6,magnet.6,swap.a,swap.b
0.420000,-1338,406,0.432000,-1308,84,0.444000,-1314,-36,0.456000,-1268,-66,0.468000,-1406,-258,0.480000,-1568,296,NA,NA
0.420000,-2022,530,0.432000,-1960,-14,0.444000,-2046,-2,0.456000,-2012,-232,0.468000,-2322,-494,0.480000,-2420,362,NA,NA
0.420000,-2458,594,0.432000,-2384,84,0.444000,-2518,-168,0.456000,-2496,-236,0.468000,-2786,-698,0.480000,-3032,480,NA,NA
0.420000,-2814,516,0.432000,-2540,96,0.444000,-2698,-256,0.456000,-2688,-170,0.468000,-2818,-700,0.480000,-3276,436,NA,NA
0.420000,-2754,336,0.432000,-2716,162,0.444000,-2770,-318,0.456000,-2984,-200,0.468000,-2994,-728,0.480000,-3208,232,NA,NA
0.420000,-2926,310,0.432000,-2948,132,0.444000,-2894,-388,0.456000,-3096,-264,0.468000,-2994,-794,0.480000,-3504,200,NA,NA
0.420000,-2962,220,0.432000,-3044,56,0.444000,-3078,-624,0.456000,-2996,-170,0.468000,-3006,-780,0.480000,-3648,266,NA,NA
0.420000,-3030,340,0.432000,-3012,54,0.444000,-3190,-728,0.456000,-3068,-122,0.468000,-3106,-916,0.480000,-3608,206,NA,NA
0.420000,-2978,296,0.432000,-3100,84,0.444000,-3354,-768,0.456000,-3244,-208,0.468000,-3218,-986,0.480000,-3568,210,NA,NA
0.420000,-3154,236,0.432000,-3092,116,0.444000,-3146,-768,0.456000,-3192,-92,0.468000,-3246,-882,0.480000,-3544,174,NA,NA
0.420000,-3258,294,0.432000,-3092,200,0.444000,-3178,-786,0.456000,-3296,-144,0.468000,-3294,-970,0.480000,-3620,122,NA,NA
0.420000,-3214,506,0.432000,-3124,176,0.444000,-3250,-872,0.456000,-3292,-252,0.468000,-3414,-1068,0.480000,-3760,236,NA,NA
0.420000,-3186,462,0.432000,-3188,46,0.444000,-3238,-822,0.456000,-3400,-240,0.468000,-3434,-1082,0.480000,-3712,192,NA,NA
0.420000,-3162,370,0.432000,-3068,-18,0.444000,-3214,-740,0.456000,-3344,-332,0.468000,-3514,-1138,0.480000,-3604,212,NA,NA
0.420000,-3006,432,0.432000,-3228,-64,0.444000,-3202,-650,0.456000,-3388,-416,0.468000,-3506,-1350,0.480000,-3672,242,NA,NA
0.420000,-3066,402,0.432000,-3252,2,0.444000,-3250,-682,0.456000,-3328,-282,0.468000,-3590,-1324,0.480000,-3628,170,NA,NA
0.420000,-3066,336,0.432000,-3208,36,0.444000,-3242,-630,0.456000,-3448,-206,0.468000,-3610,-1362,0.480000,-3712,198,NA,NA
0.420000,-3102,340,0.432000,-3144,132,0.444000,-3214,-690,0.456000,-3448,-238,0.468000,-3662,-1414,0.480000,-3596,262,NA,NA
0.420000,-3222,410,0.432000,-3356,-8,0.444000,-3278,-680,0.456000,-3356,-240,0.468000,-3678,-1454,0.480000,-3656,212,NA,NA
0.420000,-3214,416,0.432000,-3264,-46,0.444000,-3062,-646,0.456000,-3312,-248,0.468000,-3574,-1454,0.480000,-3560,112,0.468000,0.480000
0.420000,-3146,524,0.432000,-3356,-114,0.444000,-3194,-744,0.456000,-3356,-106,0.480000,-3530,-1406,0.468000,-3604,232,NA,NA
0.420000,-3238,776,0.432000,-3352,-134,0.444000,-3126,-738,0.456000,-3528,-120,0.480000,-3658,-1498,0.468000,-3476,282,NA,NA
0.420000,-3302,726,0.432000,-3216,-2,0.444000,-3254,-872,0.456000,-3444,-56,0.480000,-3730,-1522,0.468000,-3404,324,NA,NA
0.420000,-3274,642,0.432000,-3272,-26,0.444000,-3362,-834,0.456000,-3304,-252,0.480000,-3698,-1564,0.468000,-3544,454,NA,NA
0.420000,-3182,522,0.432000,-3480,-156,0.444000,-3202,-768,0.456000,-3224,-112,0.480000,-3570,-1460,0.468000,-3580,510,NA,NA
0.420000,-3002,366,0.432000,-3360,-44,0.444000,-3158,-716,0.456000,-3292,6,0.480000,-3810,-1540,0.468000,-3696,574,NA,NA
0.420000,-3138,428,0.432000,-3480,-12,0.444000,-3090,-540,0.456000,-3524,62,0.480000,-3706,-1540,0.468000,-3756,668,NA,NA
0.420000,-3174,376,0.432000,-3476,106,0.444000,-3238,-586,0.456000,-3428,146,0.480000,-3726,-1600,0.468000,-3876,784,NA,NA
0.420000,-3010,374,0.432000,-3232,84,0.444000,-3370,-730,0.456000,-3492,322,0.480000,-3802,-1692,0.468000,-3824,980,NA,NA
0.420000,-3106,428,0.432000,-3228,300,0.444000,-3386,-724,0.456000,-3464,466,0.480000,-3786,-1688,0.468000,-3952,1060,NA,NA
0.420000,-3122,310,0.432000,-3312,352,0.444000,-3314,-764,0.456000,-3408,366,0.480000,-3758,-1746,0.468000,-4056,1028,NA,NA
0.420000,-3066,190,0.432000,-3240,306,0.444000,-3370,-728,0.456000,-3424,466,0.480000,-4058,-1910,0.468000,-3888,1010,NA,NA
0.420000,-3166,-36,0.432000,-3360,134,0.444000,-3290,-732,0.456000,-3332,442,0.480000,-4006,-1872,0.468000,-3864,1000,NA,NA
0.420000,-3146,-170,0.432000,-3432,144,0.444000,-3370,-868,0.456000,-3284,522,0.480000,-3910,-1814,0.468000,-3744,1000,NA,NA
0.420000,-2974,-94,0.432000,-3428,302,0.444000,-3374,-850,0.456000,-3212,596,0.480000,-3858,-1796,0.468000,-3732,948,NA,NA
0.420000,-3074,-172,0.432000,-3288,300,0.444000,-3330,-936,0.456000,-3260,572,0.480000,-3710,-1756,0.468000,-3752,1090,NA,NA
0.420000,-3166,-30,0.432000,-3144,340,0.444000,-3162,-954,0.456000,-3268,650,0.480000,-3806,-1806,0.468000,-3756,1052,NA,NA
0.420000,-3158,-18,0.432000,-3036,366,0.444000,-3386,-1044,0.456000,-3296,752,0.480000,-3846,-1824,0.468000,-3660,1062,NA,NA
0.420000,-3078,84,0.432000,-3168,322,0.444000,-3378,-970,0.456000,-3444,724,0.480000,-3834,-1874,0.468000,-3920,1178,NA,NA
0.420000,-3002,70,0.432000,-3080,316,0.444000,-3414,-952,0.456000,-3504,642,0.480000,-3878,-1970,0.468000,-3776,1072,-1,-1
0.420000,-2814,-56,0.432000,-3012,366,0.444000,-3454,-958,0.456000,-3484,566,0.480000,-3970,-1948,0.468000,-3704,1028,NA,NA
0.420000,-2986,-76,0.432000,-3244,488,0.444000,-3354,-798,0.456000,-3460,614,0.480000,-3950,-1976,0.468000,-3688,976,NA,NA
0.420000,-3046,-160,0.432000,-3156,374,0.444000,-3414,-804,0.456000,-3316,624,0.480000,-4062,-2048,0.468000,-3636,1058,NA,NA
0.420000,-3018,-150,0.432000,-3256,448,0.444000,-3374,-830,0.456000,-3500,466,0.480000,-4058,-2030,0.468000,-3848,1054,NA,NA
0.420000,-3018,-118,0.432000,-3168,394,0.444000,-3186,-880,0.456000,-3540,498,0.480000,-3910,-1960,0.468000,-3916,1108,NA,NA
0.420000,-3098,-190,0.432000,-3212,476,0.444000,-3102,-858,0.456000,-3464,520,0.480000,-3966,-2066,0.468000,-3828,992,NA,NA
0.420000,-3194,-252,0.432000,-3276,518,0.444000,-3074,-896,0.456000,-3448,434,0.480000,-4002,-2072,0.468000,-3900,1104,NA,NA
0.420000,-3138,-358,0.432000,-3208,448,0.444000,-3230,-996,0.456000,-3448,354,0.480000,-4058,-2160,0.468000,-3860,1120,NA,NA
0.420000,-3334,-276,0.432000,-3056,516,0.444000,-3178,-958,0.456000,-3608,292,0.480000,-4134,-2210,0.468000,-3936,1182,NA,NA
0.420000,-3126,-352,0.432000,-3080,488,0.444000,-3258,-1108,0.456000,-3596,372,0.480000,-3954,-2024,0.468000,-3976,1312,NA,NA
0.420000,-3222,-432,0.432000,-3204,542,0.444000,-3250,-1198,0.456000,-3652,386,0.480000,-3930,-2028,0.468000,-4048,1380,NA,NA
0.420000,-3266,-426,0.432000,-3212,594,0.444000,-3198,-1248,0.456000,-3764,524,0.480000,-3878,-1966,0.468000,-4036,1338,NA,NA
0.420000,-3310,-388,0.432000,-3356,552,0.444000,-3478,-1358,0.456000,-3520,506,0.480000,-3910,-2020,0.468000,-4064,1280,NA,NA
0.420000,-3290,-436,0.432000,-3524,642,0.444000,-3414,-1236,0.456000,-3548,520,0.480000,-4110,-2124,0.468000,-4016,1270,NA,NA
0.420000,-3234,-542,0.432000,-3368,720,0.444000,-3398,-1292,0.456000,-3612,578,0.480000,-4130,-2170,0.468000,-4108,1328,NA,NA
0.420000,-3234,-556,0.432000,-3228,768,0.444000,-3422,-1344,0.456000,-3640,596,0.480000,-4122,-2204,0.468000,-3992,1254,NA,NA
0.420000,-3374,-626,0.432000,-3440,784,0.444000,-3418,-1278,0.456000,-3648,508,0.480000,-4098,-2226,0.468000,-3792,1218,NA,NA
0.420000,-3298,-570,0.432000,-3280,746,0.444000,-3454,-1278,0.456000,-3648,488,0.480000,-3914,-2154,0.468000,-3628,1188,NA,NA
0.420000,-3390,-660,0.432000,-3352,706,0.444000,-3294,-1172,0.456000,-3564,438,0.480000,-4034,-2226,0.468000,-3784,1142,NA,NA
0.420000,-3290,-682,0.432000,-3352,624,0.444000,-3266,-1208,0.456000,-3484,366,0.480000,-4226,-2276,0.468000,-3912,1174,0.420000,0.432000
0.432000,-3362,-606,0.420000,-3324,680,0.444000,-3234,-1158,0.456000,-3408,338,0.480000,-4066,-2226,0.468000,-3800,1136,NA,NA
0.432000,-3338,-780,0.420000,-3308,612,0.444000,-3174,-1088,0.456000,-3436,410,0.480000,-4006,-2158,0.468000,-3784,1088,NA,NA
