beta.1,energy.1,magnet.1,beta.2,energy.2,magnet.2,beta.3,energy.3,magnet.3,beta.4,energy.4,magnet.4,beta.5,energy.5,magnet.5,beta.6,energy.6,magnet.6,swap.a,swap.b
0.420000,-1174,30,0.432000,-1352,204,0.444000,-1230,134,0.456000,-1362,12,0.468000,-1444,128,0.480000,-1318,-78,NA,NA
0.420000,-2078,-92,0.432000,-2116,162,0.444000,-2074,52,0.456000,-2122,36,0.468000,-2080,154,0.480000,-2130,-106,NA,NA
0.420000,-2474,-172,0.432000,-2512,112,0.444000,-2338,72,0.456000,-2518,110,0.468000,-2412,114,0.480000,-2530,-96,NA,NA
0.420000,-2738,-172,0.432000,-2704,108,0.444000,-2650,-18,0.456000,-2922,170,0.468000,-2780,158,0.480000,-2854,4,NA,NA
0.420000,-2854,-228,0.432000,-2944,94,0.444000,-2818,76,0.456000,-3162,48,0.468000,-3020,240,0.480000,-2998,-144,NA,NA
0.420000,-2998,-176,0.432000,-2772,116,0.444000,-2990,-4,0.456000,-3318,-62,0.468000,-2940,276,0.480000,-3134,-176,NA,NA
0.420000,-3098,-146,0.432000,-2652,170,0.444000,-3246,-122,0.456000,-3486,-114,0.468000,-3100,214,0.480000,-3118,-258,NA,NA
0.420000,-3102,-136,0.432000,-2716,184,0.444000,-3374,-112,0.456000,-3514,-36,0.468000,-3200,306,0.480000,-3242,-242,NA,NA
0.420000,-2994,-98,0.432000,-2904,242,0.444000,-3402,8,0.456000,-3398,-140,0.468000,-3324,222,0.480000,-3482,-210,NA,NA
0.420000,-3034,-220,0.432000,-2936,148,0.444000,-3346,54,0.456000,-3390,-138,0.468000,-3392,236,0.480000,-3362,-206,NA,NA
0.420000,-3098,-290,0.432000,-3100,162,0.444000,-3346,224,0.456000,-3398,-158,0.468000,-3464,342,0.480000,-3502,-238,NA,NA
0.420000,-3106,-256,0.432000,-3108,50,0.444000,-3446,68,0.456000,-3266,-204,0.468000,-3568,226,0.480000,-3358,-296,NA,NA
0.420000,-2998,-366,0.432000,-3156,80,0.444000,-3462,8,0.456000,-3266,-68,0.468000,-3548,294,0.480000,-3302,-260,NA,NA
0.420000,-3142,-336,0.432000,-3052,240,0.444000,-3310,-2,0.456000,-3402,-40,0.468000,-3476,294,0.480000,-3350,-216,NA,NA
0.420000,-2990,-112,0.432000,-3020,366,0.444000,-3250,78,0.456000,-3346,8,0.468000,-3464,218,0.480000,-3382,-162,NA,NA
0.420000,-3202,-332,0.432000,-3024,530,0.444000,-3358,242,0.456000,-3366,34,0.468000,-3584,210,0.480000,-3310,-36,NA,NA
0.420000,-3254,-220,0.432000,-2920,604,0.444000,-3258,94,0.456000,-3474,2,0.468000,-3604,252,0.480000,-3390,-134,NA,NA
0.420000,-3278,-234,0.432000,-3208,650,0.444000,-3414,100,0.456000,-3550,-10,0.468000,-3348,256,0.480000,-3398,-144,NA,NA
0.420000,-3326,-144,0.432000,-3192,832,0.444000,-3394,148,0.456000,-3478,166,0.468000,-3408,486,0.480000,-3514,-116,NA,NA
0.420000,-3170,-224,0.432000,-3220,856,0.444000,-3358,80,0.456000,-3518,262,0.468000,-3388,508,0.480000,-3574,-34,NA,NA
0.420000,-3274,-394,0.432000,-3300,962,0.444000,-3410,76,0.456000,-3578,352,0.468000,-3348,586,0.480000,-3394,22,NA,NA
0.420000,-3022,-498,0.432000,-3180,1044,0.444000,-3278,98,0.456000,-3754,436,0.468000,-3352,566,0.480000,-3570,-12,NA,NA
0.420000,-2838,-558,0.432000,-3156,1000,0.444000,-3346,44,0.456000,-3518,470,0.468000,-3316,500,0.480000,-3534,6,NA,NA
0.420000,-2994,-594,0.432000,-3036,1032,0.444000,-3330,84,0.456000,-3434,522,0.468000,-3408,432,0.480000,-3546,-8,NA,NA
0.420000,-2994,-528,0.432000,-3096,908,0.444000,-3466,284,0.456000,-3402,444,0.468000,-3372,536,0.480000,-3626,38,NA,NA
0.420000,-3006,-604,0.432000,-3208,884,0.444000,-3402,230,0.456000,-3750,452,0.468000,-3396,644,0.480000,-3690,102,NA,NA
0.420000,-3146,-518,0.432000,-3448,982,0.444000,-3490,324,0.456000,-3598,404,0.468000,-3484,748,0.480000,-3738,90,NA,NA
