time,prey,pred
0.000000,500,500
0.000147,501,500
0.000159,500,501
0.000215,499,502
0.000383,498,503
0.000537,497,504
0.000831,497,503
0.001076,496,504
0.001426,495,505
0.001517,494,506
0.001704,494,505
0.001845,493,506
0.002163,494,506
0.002333,494,505
0.002365,495,505
0.002388,494,506
0.002530,494,505
0.002803,493,506
0.003056,493,505
0.003105,493,504
0.003158,493,503
0.003253,492,504
0.003336,492,503
0.003540,492,502
0.003884,491,503
0.003952,491,502
0.003959,490,503
0.004123,489,504
0.004193,488,505
0.004212,489,505
0.004646,489,504
0.004771,488,505
0.004919,488,504
0.005314,487,505
0.005501,488,505
0.005520,487,506
0.005551,487,505
0.005721,488,505
0.005756,488,504
0.005881,489,504
0.006178,488,505
0.006184,489,505
0.006209,489,504
0.006292,489,503
0.006317,490,503
0.006349,490,502
0.006486,490,501
0.006566,490,500
0.006577,491,500
0.006750,490,501
0.006778,490,500
0.007118,489,501
0.007292,489,500
0.007456,490,500
0.007488,489,501
0.007526,488,502
0.007679,487,503
0.007710,488,503
0.007736,489,503
0.007753,490,503
0.007941,489,504
0.008189,489,503
0.008215,488,504
0.008270,487,505
0.008763,486,506
0.009402,487,506
0.010045,487,505
0.010063,486,506
0.010074,485,507
0.010172,486,507
0.010197,486,506
0.010394,485,507
0.010555,485,506
0.010807,486,506
0.010942,486,505
0.011077,485,506
0.011596,485,505
0.011774,486,505
0.012024,485,506
0.012025,484,507
0.012241,484,506
0.012780,483,507
0.012896,484,507
0.012916,483,508
0.013303,483,507
0.013854,484,507
0.014706,484,506
0.014936,483,507
0.015177,483,506
0.015275,484,506
0.015341,485,506
0.015371,484,507
0.015461,484,506
0.015683,483,507
0.015699,483,506
0.015705,484,506
0.015724,484,505
0.016041,485,505
0.016184,485,504
0.016238,486,504
0.016384,485,505
0.016430,485,504
0.016485,485,503
0.016629,484,504
0.017120,483,505
0.017125,483,504
0.017520,483,503
0.017589,483,502
0.017810,483,501
0.018053,482,502
0.018062,483,502
0.018230,484,502
0.018279,485,502
0.018406,486,502
0.018449,485,503
0.018585,486,503
0.018811,487,503
0.018836,486,504
0.018864,487,504
0.019141,487,503
0.019492,487,502
0.019663,487,501
