time,X,Y
0.000000,50,250
0.002088,49,250
0.009018,50,249
0.011804,51,248
0.011851,50,249
0.012372,51,249
0.013927,52,249
0.016077,53,249
0.016891,52,249
0.017981,53,248
0.018204,52,249
0.019873,51,250
0.021250,50,251
0.021513,49,252
0.026926,48,253
0.028794,49,253
0.028873,50,253
0.029555,49,254
0.031480,50,254
0.031635,51,253
0.036360,52,253
0.037023,53,253
0.037294,54,253
0.038932,53,254
0.039719,52,255
0.042392,53,255
0.044394,54,255
0.044749,55,255
0.045743,56,254
0.048973,55,255
0.050495,56,255
0.051493,55,255
0.051656,56,255
0.053962,55,256
0.054962,54,257
0.061071,55,256
0.062380,56,255
0.062677,57,255
0.062747,56,256
0.063005,57,256
0.066318,56,256
0.069134,57,256
0.070302,58,256
0.071656,57,257
0.073054,58,257
0.073526,57,258
0.074791,56,259
0.076229,55,260
0.077234,54,261
0.077374,53,262
0.078806,54,262
0.079027,53,263
0.080108,52,263
0.081431,53,262
0.082791,52,263
0.084038,53,262
0.085727,52,263
0.086283,51,263
0.088437,52,263
0.089223,53,263
0.093158,52,263
0.094108,53,263
0.098821,54,262
0.098873,53,263
0.098918,54,262
0.101192,53,263
0.101249,52,264
0.101911,51,265
0.103497,52,265
0.103868,51,266
0.108919,50,267
0.109869,49,267
0.113817,48,268
0.115586,49,267
0.116957,48,268
0.119056,49,268
0.120287,50,268
0.122844,51,268
0.122982,50,268
0.127920,49,268
0.130532,48,268
0.130599,47,269
0.130957,46,269
0.133088,45,269
0.134268,44,269
0.141933,45,269
0.142020,44,270
0.146466,45,270
0.149910,46,270
0.150890,45,271
0.151205,46,270
0.151783,47,270
0.154424,46,271
0.154946,47,270
0.156039,46,271
0.156093,45,272
0.157795,44,273
0.158824,45,272
0.162116,46,272
0.162469,45,272
0.164051,44,273
0.166184,43,274
0.167451,44,274
0.169755,45,274
0.169780,46,274
0.171126,47,273
0.171138,46,274
0.171165,45,274
0.173479,44,275
0.175617,45,275
0.177013,46,275
0.181199,47,275
0.181242,48,274
0.181362,47,275
0.181691,48,275
0.183847,49,275
0.186061,50,275
0.186467,49,275
0.187920,48,276
0.187931,47,277
0.188596,46,278
0.193905,47,278
0.195899,48,278
0.198057,47,279
0.199238,48,278
0.200434,49,278
0.201225,48,279
0.201333,47,280
0.203098,46,281
0.205386,45,282
0.205423,44,283
0.205497,43,284
0.208411,42,285
0.209947,43,284
0.215198,44,284
0.218537,43,285
0.218966,42,286
0.223245,41,287
0.226477,42,287
0.226477,41,288
0.229015,42,287
0.230615,41,288
0.234277,40,289
0.235996,41,288
0.236669,42,288
0.237645,41,289
0.243306,42,289
0.244391,41,290
0.244569,42,290
0.248257,41,291
0.249836,40,291
0.255713,41,291
0.256175,40,292
0.258786,41,292
0.261514,40,292
0.266987,39,293
0.275061,38,293
0.277092,37,294
0.280778,38,294
0.281452,37,294
0.287999,38,294
0.289993,37,295
0.290036,36,296
0.293892,35,297
0.294041,36,297
0.295917,35,298
0.299334,36,298
0.300136,37,298
0.301463,36,299
0.305381,37,299
0.307085,36,299
0.309405,35,299
0.311105,34,300
0.313166,35,300
0.313551,36,300
0.313739,35,301
0.314435,36,301
0.315927,37,301
0.316102,36,302
0.322585,35,303
0.323015,36,302
0.325243,37,302
0.328835,38,302
0.329847,39,301
0.330126,38,301
0.331851,37,302
0.335308,38,302
0.336456,37,303
0.339530,36,304
0.342133,35,304
0.343175,36,304
0.344022,35,305
0.352315,34,306
0.355842,33,307
0.359819,32,308
0.359955,31,309
0.361200,30,310
0.362833,29,311
0.363446,28,312
0.368071,27,312
0.368360,28,311
0.369738,27,312
0.371133,28,312
0.379173,29,312
0.385316,28,312
0.391400,29,312
0.392239,28,313
0.397426,27,314
0.398164,28,314
0.399261,27,315
0.401307,28,315
0.405962,29,315
0.407097,30,314
0.407657,29,315
0.408779,28,315
0.408917,27,316
0.411780,28,316
0.412387,27,317
0.414612,26,318
