realization,acc_ratio,energy
1,0.95,221000
1,0.9,220000
1,0.94,217000
1,0.88,216000
1,0.9,212000
1,0.87,208000
1,0.92,208000
1,0.85,207000
1,0.81,206000
1,0.85,206000
1,0.86,205000
1,0.88,203000
1,0.85,202000
1,0.9,200000
1,0.86,200000
1,0.87,200000
1,0.88,200000
1,0.89,200000
1,0.92,198000
1,0.91,196000
1,0.88,196000
1,0.94,195000
1,0.87,194000
1,0.9,192000
1,0.89,189000
1,0.84,189000
1,0.92,188000
1,0.92,186000
1,0.96,186000
1,0.88,186000
1,0.91,186000
1,0.88,186000
1,0.88,186000
1,0.81,186000
1,0.9,184000
1,0.91,183000
1,0.9,182000
1,0.9,181000
1,0.89,179000
1,0.9,179000
1,0.91,179000
1,0.9,179000
1,0.91,179000
1,0.9,179000
1,0.88,179000
1,0.88,179000
1,0.91,179000
1,0.92,179000
1,0.85,179000
1,0.91,178000
1,0.88,178000
1,0.87,177000
1,0.9,177000
1,0.86,176000
1,0.97,176000
1,0.89,176000
1,0.89,174000
1,0.89,173000
1,0.9,173000
1,0.93,173000
1,0.87,173000
1,0.88,173000
1,0.89,171000
1,0.92,171000
1,0.92,171000
1,0.91,169000
1,0.92,169000
1,0.85,169000
1,0.83,169000
1,0.82,168000
1,0.83,167000
1,0.93,167000
1,0.95,167000
1,0.94,167000
1,0.91,166000
1,0.94,166000
1,0.88,166000
1,0.89,165000
1,0.93,163000
1,0.84,162000
1,0.85,160000
1,0.89,160000
1,0.87,160000
1,0.92,160000
1,0.88,159000
1,0.84,159000
1,0.87,159000
1,0.92,159000
1,0.91,157000
1,0.92,157000
1,0.89,156000
1,0.91,156000
1,0.94,155000
1,0.9,153000
1,0.84,153000
1,0.87,153000
1,0.9,153000
1,0.88,153000
1,0.9,153000
1,0.79,153000
1,0.94,152000
1,0.85,152000
1,0.88,152000
1,0.88,152000
1,0.92,152000
1,0.91,152000
1,0.93,152000
1,0.91,152000
1,0.92,152000
1,0.92,151000
1,0.87,151000
1,0.88,151000
1,0.86,151000
1,0.89,151000
1,0.86,150000
1,0.82,150000
1,0.87,150000
1,0.85,149000
1,0.9,149000
1,0.87,149000
1,0.95,148000
1,0.86,148000
1,0.91,148000
1,0.83,147000
1,0.92,147000
1,0.87,147000
1,0.87,147000
1,0.9,147000
1,0.84,147000
1,0.82,146000
1,0.85,143000
1,0.91,143000
1,0.88,143000
1,0.89,143000
1,0.87,143000
1,0.8,143000
1,0.76,142000
1,0.86,142000
1,0.84,142000
1,0.92,142000
1,0.85,141000
1,0.79,141000
1,0.75,141000
1,0.81,141000
1,0.82,141000
1,0.85,141000
1,0.85,141000
1,0.86,141000
1,0.82,141000
1,0.85,141000
1,0.87,141000
1,0.89,141000
1,0.86,141000
1,0.88,141000
1,0.76,141000
1,0.89,141000
1,0.83,140000
1,0.86,140000
1,0.92,140000
1,0.81,140000
1,0.82,140000
1,0.89,140000
1,0.88,140000
1,0.87,139000
1,0.82,139000
1,0.86,139000
1,0.86,139000
1,0.87,139000
1,0.88,138000
1,0.84,138000
1,0.88,138000
1,0.94,138000
1,0.87,138000
1,0.86,138000
1,0.9,138000
1,0.8,138000
1,0.89,138000
1,0.94,138000
1,0.94,138000
1,0.95,138000
1,0.91,138000
1,0.92,138000
1,0.84,138000
1,0.9,138000
1,0.92,138000
1,0.8,138000
1,0.93,138000
1,0.94,138000
1,0.83,138000
1,0.91,137000
1,0.89,136000
1,0.85,136000
1,0.85,135000
1,0.85,135000
1,0.84,134000
1,0.88,134000
1,0.85,134000
1,0.86,133000
1,0.83,133000
1,0.89,132000
1,0.87,132000
1,0.84,131000
1,0.87,131000
1,0.8,130000
1,0.84,130000
1,0.82,129000
1,0.81,129000
1,0.86,129000
1,0.86,129000
1,0.91,128000
1,0.85,128000
1,0.91,128000
1,0.94,128000
1,0.87,128000
1,0.92,128000
1,0.89,128000
1,0.86,128000
1,0.87,128000
1,0.84,127000
1,0.92,127000
1,0.91,127000
1,0.88,126000
1,0.85,126000
1,0.9,126000
1,0.9,126000
1,0.89,125000
1,0.88,125000
1,0.81,125000
1,0.87,124000
1,0.83,124000
1,0.81,124000
1,0.82,124000
1,0.82,124000
1,0.82,124000
1,0.86,124000
1,0.88,123000
1,0.9,123000
1,0.88,123000
1,0.81,123000
1,0.94,122000
1,0.83,122000
1,0.85,122000
1,0.77,121000
1,0.88,121000
1,0.87,121000
1,0.82,120000
1,0.91,120000
1,0.84,120000
1,0.79,120000
1,0.87,120000
1,0.82,120000
1,0.9,119000
1,0.82,119000
1,0.94,118000
1,0.95,118000
1,0.9,118000
1,0.88,118000
1,0.91,118000
1,0.85,118000
1,0.91,118000
1,0.89,118000
1,0.91,118000
1,0.91,117000
1,0.88,117000
1,0.84,117000
1,0.92,117000
1,0.85,117000
1,0.86,117000
1,0.86,117000
1,0.84,116000
1,0.83,116000
1,0.84,116000
1,0.8,116000
1,0.84,116000
1,0.89,116000
1,0.88,116000
1,0.82,116000
1,0.9,116000
1,0.77,115000
1,0.84,115000
1,0.85,114000
1,0.86,114000
1,0.83,114000
1,0.77,114000
1,0.81,114000
1,0.79,114000
1,0.85,114000
1,0.82,114000
1,0.89,114000
1,0.92,114000
1,0.94,114000
1,0.87,114000
1,0.85,113000
1,0.78,113000
1,0.84,112000
1,0.85,111000
1,0.88,111000
1,0.82,110000
1,0.9,110000
1,0.87,110000
1,0.89,110000
1,0.92,110000
1,0.89,108000
1,0.88,108000
1,0.9,108000
1,0.84,108000
1,0.89,107000
1,0.85,107000
1,0.87,107000
1,0.83,107000
1,0.89,107000
1,0.89,106000
1,0.83,106000
1,0.85,106000
1,0.9,106000
1,0.87,106000
1,0.85,106000
1,0.88,106000
1,0.85,106000
1,0.83,106000
1,0.88,106000
1,0.9,106000
1,0.89,106000
1,0.89,106000
1,0.89,106000
1,0.9,106000
1,0.85,106000
1,0.9,106000
1,0.96,106000
1,0.91,106000
1,0.93,106000
1,0.93,106000
1,0.91,106000
1,0.92,106000
1,0.85,106000
1,0.9,106000
1,0.85,106000
1,0.86,106000
1,0.9,106000
1,0.88,106000
1,0.84,106000
1,0.9,105000
1,0.84,104000
1,0.91,104000
1,0.85,104000
1,0.82,104000
1,0.88,104000
1,0.85,103000
1,0.84,103000
1,0.87,103000
1,0.86,103000
1,0.88,103000
1,0.92,103000
1,0.93,103000
1,0.94,103000
1,0.85,102000
1,0.92,102000
1,0.93,101000
1,0.91,101000
1,0.92,101000
1,0.82,101000
1,0.92,101000
1,0.9,101000
1,0.9,101000
1,0.89,101000
1,0.88,101000
1,0.89,101000
1,0.91,101000
1,0.86,101000
1,0.89,100000
1,0.93,100000
1,0.91,100000
1,0.96,100000
1,0.96,100000
1,0.97,100000
1,0.95,100000
1,0.95,100000
1,0.94,100000
1,0.84,100000
1,0.94,100000
1,0.85,100000
1,0.85,100000
1,0.92,100000
1,0.88,100000
1,0.87,100000
1,0.85,100000
1,0.91,100000
1,0.94,100000
1,0.89,100000
1,0.91,100000
1,0.84,100000
1,0.85,100000
1,0.85,99000
1,0.92,99000
1,0.87,99000
1,0.81,99000
1,0.85,99000
1,0.87,99000
1,0.89,99000
1,0.96,99000
1,0.9,99000
1,0.93,98000
1,0.85,97000
1,0.91,97000
1,0.89,96000
1,0.81,96000
1,0.88,96000
1,0.92,96000
1,0.89,96000
1,0.91,96000
1,0.87,96000
1,0.93,96000
1,0.92,96000
1,0.92,96000
1,0.9,96000
1,0.82,96000
1,0.93,96000
1,0.92,96000
1,0.87,96000
1,0.9,96000
1,0.89,96000
1,0.88,96000
1,0.92,96000
1,0.83,96000
1,0.9,96000
1,0.82,96000
1,0.91,96000
1,0.88,96000
1,0.88,96000
1,0.89,96000
1,0.88,96000
1,0.87,96000
1,0.9,96000
1,0.93,96000
1,0.95,96000
1,0.94,96000
1,0.87,96000
1,0.92,96000
1,0.91,96000
1,0.83,96000
1,0.93,96000
1,0.97,96000
1,0.93,96000
1,0.91,96000
1,0.92,96000
1,0.91,96000
1,0.95,96000
1,0.92,96000
1,0.91,96000
1,0.93,96000
1,0.92,96000
1,0.91,96000
1,0.92,96000
1,0.94,96000
1,0.93,95000
1,0.93,94000
1,0.94,94000
1,0.93,93000
1,0.9,93000
1,0.91,93000
1,0.9,92000
1,0.91,92000
1,0.9,92000
1,0.89,92000
1,0.92,92000
1,0.95,91000
1,0.86,91000
1,0.97,91000
1,0.9,91000
1,0.89,91000
1,0.91,91000
1,0.94,91000
1,0.95,90000
1,0.9,90000
1,0.88,89000
1,0.91,88000
1,0.95,88000
1,0.84,88000
1,0.87,88000
1,0.91,88000
1,0.84,88000
1,0.86,88000
1,0.91,88000
1,0.95,88000
1,0.94,88000
1,0.92,87000
1,0.92,87000
1,0.83,86000
1,0.87,86000
1,0.95,86000
1,0.9,86000
1,0.9,86000
1,0.87,86000
1,0.89,86000
1,0.82,86000
1,0.89,86000
1,0.9,86000
1,0.94,86000
1,0.9,86000
1,0.89,86000
1,0.88,86000
1,0.9,86000
1,0.88,85000
1,0.81,85000
1,0.9,85000
1,0.85,85000
1,0.92,85000
1,0.89,85000
1,0.88,85000
1,0.94,85000
1,0.89,85000
1,0.85,85000
1,0.91,85000
1,0.91,85000
1,0.87,85000
1,0.89,85000
1,0.91,85000
1,0.81,85000
1,0.86,85000
1,0.86,85000
1,0.86,85000
1,0.86,85000
1,0.91,85000
1,0.83,85000
1,0.89,84000
1,0.89,83000
1,0.88,83000
1,0.88,83000
1,0.91,83000
1,0.83,83000
1,0.92,83000
1,0.83,83000
1,0.88,83000
1,0.9,82000
1,0.88,82000
1,0.84,82000
1,0.88,82000
1,0.93,82000
1,0.88,82000
1,0.89,82000
1,0.88,82000
1,0.89,82000
1,0.94,82000
1,0.9,82000
1,0.9,82000
1,0.87,82000
1,0.93,82000
1,0.96,82000
1,0.89,82000
1,0.88,82000
1,0.91,82000
1,0.92,82000
1,0.92,82000
1,0.88,82000
1,0.88,82000
1,0.96,82000
1,0.94,82000
1,0.94,81000
1,0.9,81000
1,0.95,81000
1,0.89,81000
1,0.85,81000
1,0.89,80000
1,0.89,80000
1,0.87,80000
1,0.87,80000
1,0.81,80000
1,0.86,80000
1,0.88,80000
1,0.83,80000
1,0.92,80000
1,0.85,80000
1,0.91,80000
1,0.83,80000
1,0.85,80000
1,0.86,80000
1,0.91,80000
1,0.95,80000
1,0.82,80000
1,0.92,80000
1,0.91,80000
1,0.94,80000
1,0.91,80000
1,0.91,79000
1,0.86,79000
1,0.89,79000
1,0.93,79000
1,0.91,79000
1,0.91,79000
1,0.94,79000
1,0.83,79000
1,0.87,79000
1,0.82,79000
1,0.88,79000
1,0.9,79000
1,0.88,79000
1,0.86,79000
1,0.82,79000
1,0.9,79000
1,0.88,79000
1,0.86,79000
1,0.91,79000
1,0.94,79000
1,0.89,79000
1,0.91,79000
1,0.93,79000
1,0.85,79000
1,0.88,79000
1,0.83,79000
1,0.92,79000
1,0.84,79000
1,0.86,79000
1,0.8,79000
1,0.84,79000
1,0.87,79000
1,0.92,79000
1,0.91,79000
1,0.89,79000
1,0.96,79000
1,0.87,79000
1,0.92,79000
1,0.93,79000
1,0.94,79000
1,0.92,78000
1,0.87,78000
1,0.92,78000
1,0.89,78000
1,0.92,78000
1,0.88,78000
1,0.91,78000
1,0.93,78000
1,0.81,78000
1,0.93,78000
1,0.86,78000
1,0.88,78000
1,0.87,78000
1,0.89,78000
1,0.9,78000
1,0.83,78000
1,0.88,78000
1,0.87,78000
1,0.84,78000
1,0.79,78000
1,0.87,78000
1,0.87,78000
1,0.85,78000
1,0.89,78000
1,0.9,78000
1,0.88,78000
1,0.85,78000
1,0.86,78000
1,0.91,78000
1,0.89,78000
1,0.89,77000
1,0.83,77000
1,0.88,77000
1,0.9,77000
1,0.92,77000
1,0.85,77000
1,0.85,77000
1,0.87,77000
1,0.82,77000
1,0.91,77000
1,0.9,77000
1,0.85,77000
1,0.78,77000
1,0.84,77000
1,0.82,77000
1,0.81,77000
1,0.9,77000
1,0.81,76000
1,0.87,76000
1,0.88,76000
1,0.88,76000
1,0.91,76000
1,0.87,76000
1,0.88,76000
1,0.87,76000
1,0.86,76000
1,0.88,76000
1,0.87,76000
1,0.88,76000
1,0.89,76000
1,0.87,76000
1,0.89,76000
1,0.9,76000
1,0.89,76000
1,0.93,76000
1,0.88,76000
1,0.89,76000
1,0.89,76000
1,0.87,76000
1,0.82,76000
1,0.91,76000
1,0.84,76000
1,0.85,76000
1,0.86,76000
1,0.88,76000
1,0.84,75000
1,0.89,75000
1,0.87,74000
1,0.89,74000
1,0.93,74000
1,0.9,74000
1,0.93,74000
1,0.88,74000
1,0.92,74000
1,0.86,74000
1,0.85,74000
1,0.89,74000
1,0.85,74000
1,0.88,74000
1,0.9,74000
1,0.89,74000
1,0.91,74000
1,0.92,74000
1,0.92,74000
1,0.92,74000
1,0.92,74000
1,0.91,74000
1,0.88,74000
1,0.81,74000
1,0.84,74000
1,0.88,74000
1,0.78,74000
1,0.87,73000
1,0.91,73000
1,0.88,73000
1,0.84,73000
1,0.8,73000
1,0.88,73000
1,0.87,73000
1,0.9,73000
1,0.84,73000
1,0.82,73000
1,0.8,73000
1,0.84,73000
1,0.87,73000
1,0.88,73000
1,0.92,73000
1,0.92,73000
1,0.83,73000
1,0.88,73000
1,0.87,73000
1,0.83,73000
1,0.88,73000
1,0.87,73000
1,0.91,73000
1,0.9,73000
1,0.91,73000
1,0.93,73000
1,0.98,73000
1,0.85,73000
1,0.83,73000
1,0.88,73000
1,0.86,73000
1,0.89,73000
1,0.88,73000
1,0.84,73000
1,0.85,73000
1,0.77,73000
1,0.88,73000
1,0.78,73000
