realization,acc_ratio,energy
1,0.94,1.832e+06
1,0.73,728000
1,0.76,310000
1,0.6,181000
1,0.37,148000
1,0.36,122000
1,0.23,109000
1,0.22,101000
1,0.18,88000
1,0.13,84000
1,0.11,83000
1,0.13,78000
1,0.12,75000
1,0.07,74000
1,0.11,73000
1,0.11,72000
1,0.13,70000
1,0.05,70000
1,0.06,69000
1,0.09,64000
1,0.06,62000
1,0.04,62000
1,0.04,62000
1,0.02,61000
1,0.04,61000
1,0.04,60000
1,0.09,57000
1,0.02,57000
1,0.05,57000
1,0.11,57000
1,0.06,57000
1,0.06,56000
1,0.07,56000
1,0.06,56000
1,0.05,55000
1,0.08,54000
1,0.08,52000
1,0.02,52000
1,0.06,52000
1,0.03,52000
1,0.01,52000
1,0.04,52000
1,0.04,52000
1,0.01,52000
1,0.05,50000
1,0.01,50000
1,0.04,49000
1,0.03,49000
1,0.02,49000
1,0.04,49000
1,0.04,48000
1,0.05,48000
1,0.05,47000
1,0.03,47000
1,0.04,47000
1,0.03,47000
1,0.05,47000
1,0.04,47000
1,0.07,47000
1,0.03,47000
1,0.02,47000
1,0.04,47000
1,0.03,46000
1,0.07,46000
1,0.05,45000
1,0.06,43000
1,0.04,43000
1,0.02,43000
1,0.05,43000
1,0.08,43000
1,0.01,43000
1,0.03,42000
1,0.01,42000
1,0.04,42000
1,0.05,42000
1,0.02,42000
1,0,42000
1,0.03,42000
1,0.02,42000
1,0.03,41000
1,0.01,41000
1,0,41000
1,0.02,41000
1,0.03,41000
1,0.01,41000
1,0.04,41000
1,0.06,41000
1,0.04,41000
1,0.01,41000
1,0.04,41000
1,0.01,41000
1,0.02,41000
1,0.04,41000
1,0.01,41000
1,0.01,41000
1,0.06,41000
1,0.01,41000
1,0.01,41000
1,0.04,41000
1,0,41000
1,0,41000
1,0.04,41000
1,0.03,40000
1,0.03,40000
1,0.02,40000
1,0.02,40000
1,0.01,40000
1,0.03,40000
1,0.03,40000
1,0,40000
1,0.01,40000
1,0.03,40000
1,0.02,40000
1,0.03,40000
1,0.02,39000
1,0.03,39000
1,0.05,39000
1,0.03,39000
1,0.01,39000
1,0.02,39000
1,0.02,39000
1,0.03,39000
1,0.01,39000
1,0.03,39000
