realization,acc_ratio,energy
1,0.83,-18000
1,0.57,-42000
1,0.53,-51000
1,0.57,-58000
1,0.53,-59000
1,0.55,-62000
1,0.53,-64000
1,0.48,-65000
1,0.51,-66000
1,0.67,-66000
1,0.63,-68000
1,0.65,-68000
1,0.71,-68000
1,0.57,-69000
1,0.75,-70000
1,0.68,-70000
1,0.63,-70000
1,0.66,-71000
1,0.66,-72000
1,0.62,-72000
1,0.68,-74000
1,0.72,-74000
1,0.65,-74000
1,0.75,-74000
1,0.65,-75000
1,0.65,-77000
1,0.66,-78000
1,0.67,-79000
1,0.72,-79000
1,0.66,-79000
1,0.72,-79000
1,0.7,-79000
1,0.65,-80000
1,0.66,-80000
1,0.75,-81000
1,0.7,-82000
1,0.75,-82000
1,0.79,-82000
1,0.67,-82000
1,0.62,-82000
1,0.63,-82000
1,0.8,-82000
1,0.71,-82000
1,0.81,-82000
1,0.76,-82000
1,0.75,-82000
1,0.7,-82000
1,0.66,-82000
1,0.84,-82000
1,0.79,-82000
1,0.83,-82000
1,0.81,-82000
1,0.77,-82000
1,0.84,-82000
1,0.76,-82000
1,0.67,-82000
1,0.75,-82000
1,0.8,-82000
1,0.75,-82000
1,0.79,-82000
1,0.83,-83000
1,0.85,-83000
1,0.84,-84000
1,0.8,-84000
1,0.75,-84000
1,0.73,-84000
1,0.75,-84000
1,0.79,-84000
1,0.79,-84000
1,0.88,-84000
1,0.86,-85000
1,0.85,-85000
1,0.77,-85000
1,0.8,-86000
1,0.81,-86000
1,0.78,-86000
1,0.79,-87000
1,0.85,-87000
1,0.84,-87000
1,0.86,-87000
1,0.81,-87000
1,0.79,-87000
1,0.81,-87000
1,0.81,-87000
1,0.8,-87000
1,0.8,-87000
1,0.79,-87000
1,0.77,-87000
1,0.78,-87000
1,0.82,-88000
1,0.86,-88000
1,0.83,-88000
1,0.74,-88000
1,0.83,-88000
1,0.8,-89000
1,0.74,-89000
1,0.75,-90000
1,0.82,-90000
1,0.84,-90000
1,0.83,-90000
1,0.85,-90000
1,0.78,-90000
1,0.8,-90000
1,0.79,-90000
1,0.77,-90000
1,0.86,-90000
1,0.82,-90000
1,0.79,-90000
1,0.81,-90000
1,0.81,-90000
1,0.83,-91000
1,0.84,-91000
1,0.88,-91000
1,0.89,-91000
1,0.82,-91000
1,0.85,-91000
1,0.9,-91000
1,0.82,-91000
1,0.79,-92000
1,0.81,-92000
1,0.77,-92000
1,0.8,-92000
1,0.82,-92000
1,0.78,-92000
