realization,acc_ratio,energy
1,0.96,61000
1,0.96,57000
1,0.94,56000
1,0.95,56000
1,0.92,55000
1,0.96,53000
1,0.98,51000
1,0.97,51000
1,0.99,51000
1,0.97,50000
1,0.97,50000
1,0.98,50000
1,0.97,50000
1,0.92,48000
1,0.93,47000
1,0.92,47000
1,0.93,47000
1,0.96,47000
1,0.94,47000
1,0.92,47000
1,0.94,47000
1,0.91,47000
1,0.9,46000
1,0.95,45000
1,0.95,45000
1,0.9,45000
1,0.95,43000
1,0.85,42000
1,0.85,42000
1,0.93,42000
1,0.97,40000
1,0.91,40000
1,0.92,39000
1,0.97,39000
1,0.95,39000
1,0.96,38000
1,0.97,38000
1,0.95,38000
1,0.95,38000
1,0.88,38000
1,0.93,36000
1,0.9,36000
1,0.92,36000
1,0.9,36000
1,0.94,36000
1,0.91,36000
1,0.94,35000
1,0.91,35000
1,0.92,34000
1,0.91,34000
1,0.96,34000
1,0.96,33000
1,0.88,33000
1,0.91,33000
1,0.88,33000
1,0.86,33000
1,0.87,33000
1,0.87,33000
1,0.91,33000
1,0.91,33000
1,0.9,33000
1,0.92,33000
1,0.94,33000
1,0.93,33000
1,0.93,33000
1,0.98,33000
1,0.94,32000
1,0.97,32000
1,0.95,32000
1,0.94,31000
1,0.94,31000
1,0.91,31000
1,0.97,31000
1,0.85,31000
1,0.93,31000
1,0.96,31000
1,0.89,31000
1,0.97,31000
1,0.92,31000
1,0.97,31000
1,0.94,31000
1,0.94,31000
1,0.95,31000
1,0.99,31000
1,0.94,29000
1,0.96,29000
1,0.96,28000
1,0.96,28000
1,0.97,28000
1,0.96,28000
1,0.95,28000
1,0.93,28000
1,0.96,28000
1,0.96,28000
1,0.93,27000
1,0.95,26000
1,0.96,26000
1,0.96,25000
1,0.9,25000
1,0.98,25000
1,0.93,24000
1,0.94,24000
1,0.96,24000
1,0.94,24000
1,0.94,24000
1,0.97,23000
1,0.98,23000
1,0.97,23000
1,0.97,23000
1,0.95,23000
1,0.96,23000
1,0.97,23000
1,0.89,23000
1,0.96,23000
1,0.95,21000
1,0.97,21000
1,0.87,20000
1,0.91,20000
1,0.89,20000
1,0.94,20000
1,0.89,20000
1,0.94,20000
1,0.95,20000
1,0.94,20000
1,0.92,20000
1,0.94,20000
1,0.93,20000
1,0.97,20000
1,0.97,20000
1,0.94,20000
1,0.95,20000
1,0.93,20000
1,0.95,20000
1,0.97,20000
1,0.95,20000
1,0.98,20000
1,0.92,19000
1,0.9,19000
1,0.87,19000
1,0.91,19000
1,0.91,19000
1,0.94,19000
1,0.93,19000
