realization,acc_ratio,energy
1,0.700000,73000000.000000
1,0.490000,52000000.000000
1,0.470000,40000000.000000
1,0.500000,32000000.000000
1,0.380000,28000000.000000
1,0.330000,22000000.000000
1,0.290000,20000000.000000
1,0.290000,19000000.000000
1,0.250000,16000000.000000
1,0.280000,12000000.000000
1,0.310000,10000000.000000
1,0.260000,9000000.000000
1,0.210000,9000000.000000
1,0.250000,7000000.000000
1,0.190000,7000000.000000
1,0.220000,4000000.000000
1,0.260000,4000000.000000
1,0.160000,3000000.000000
1,0.130000,2000000.000000
1,0.190000,2000000.000000
1,0.210000,2000000.000000
1,0.150000,2000000.000000
1,0.200000,2000000.000000
1,0.180000,2000000.000000
1,0.140000,2000000.000000
1,0.130000,1000000.000000
1,0.220000,1000000.000000
1,0.160000,1000000.000000
1,0.170000,1000000.000000
1,0.170000,1000000.000000
1,0.160000,1000000.000000
1,0.130000,1000000.000000
1,0.200000,1000000.000000
1,0.230000,1000000.000000
1,0.190000,1000000.000000
1,0.210000,1000000.000000
1,0.150000,1000000.000000
1,0.220000,1000000.000000
1,0.280000,1000000.000000
1,0.100000,1000000.000000
1,0.190000,0.000000
1,0.280000,0.000000
1,0.140000,0.000000
1,0.160000,0.000000
1,0.210000,0.000000
1,0.140000,0.000000
1,0.110000,0.000000
1,0.210000,0.000000
1,0.220000,0.000000
1,0.180000,0.000000
1,0.190000,0.000000
1,0.200000,0.000000
1,0.240000,0.000000
1,0.190000,0.000000
1,0.130000,0.000000
1,0.160000,0.000000
1,0.110000,0.000000
1,0.190000,0.000000
1,0.120000,0.000000
1,0.140000,0.000000
1,0.250000,0.000000
1,0.150000,0.000000
1,0.210000,0.000000
1,0.210000,0.000000
1,0.170000,0.000000
1,0.140000,0.000000
1,0.190000,0.000000
1,0.250000,0.000000
1,0.160000,0.000000
1,0.110000,0.000000
1,0.150000,0.000000
1,0.170000,0.000000
1,0.070000,0.000000
1,0.130000,0.000000
1,0.150000,0.000000
1,0.160000,0.000000
1,0.190000,0.000000
1,0.170000,0.000000
1,0.260000,0.000000
1,0.200000,0.000000
1,0.160000,0.000000
1,0.140000,0.000000
1,0.150000,0.000000
1,0.150000,0.000000
1,0.120000,0.000000
1,0.100000,0.000000
1,0.210000,0.000000
1,0.160000,0.000000
1,0.170000,0.000000
1,0.180000,0.000000
1,0.150000,0.000000
1,0.140000,0.000000
1,0.210000,0.000000
1,0.170000,0.000000
1,0.140000,0.000000
1,0.180000,0.000000
1,0.180000,0.000000
1,0.260000,0.000000
1,0.190000,0.000000
1,0.180000,0.000000
1,0.080000,0.000000
1,0.170000,0.000000
1,0.190000,0.000000
1,0.150000,0.000000
1,0.160000,0.000000
1,0.130000,0.000000
1,0.240000,0.000000
1,0.140000,0.000000
1,0.150000,0.000000
1,0.150000,0.000000
1,0.160000,0.000000
1,0.200000,0.000000
1,0.180000,0.000000
1,0.180000,0.000000
1,0.260000,0.000000
1,0.180000,0.000000
1,0.130000,0.000000
1,0.140000,0.000000
1,0.140000,0.000000
1,0.180000,0.000000
1,0.140000,0.000000
1,0.200000,0.000000
1,0.210000,0.000000
1,0.160000,0.000000
1,0.090000,0.000000
1,0.190000,0.000000
1,0.230000,0.000000
1,0.160000,0.000000
1,0.110000,0.000000
1,0.170000,0.000000
1,0.170000,0.000000
1,0.220000,0.000000
1,0.250000,0.000000
1,0.190000,0.000000
1,0.210000,0.000000
1,0.130000,0.000000
