realization,acc_ratio,energy
1,0.840000,130000000.000000
1,0.810000,124000000.000000
1,0.760000,120000000.000000
1,0.850000,113000000.000000
1,0.690000,110000000.000000
1,0.750000,108000000.000000
1,0.750000,104000000.000000
1,0.780000,98000000.000000
1,0.810000,95000000.000000
1,0.670000,88000000.000000
1,0.760000,85000000.000000
1,0.760000,81000000.000000
1,0.690000,79000000.000000
1,0.710000,78000000.000000
1,0.790000,77000000.000000
1,0.700000,75000000.000000
1,0.790000,70000000.000000
1,0.730000,68000000.000000
1,0.780000,66000000.000000
1,0.730000,64000000.000000
1,0.720000,60000000.000000
1,0.660000,59000000.000000
1,0.750000,56000000.000000
1,0.650000,56000000.000000
1,0.760000,56000000.000000
1,0.720000,55000000.000000
1,0.690000,54000000.000000
1,0.810000,53000000.000000
1,0.700000,53000000.000000
1,0.710000,53000000.000000
1,0.740000,53000000.000000
1,0.690000,52000000.000000
1,0.630000,51000000.000000
1,0.640000,51000000.000000
1,0.750000,51000000.000000
1,0.670000,51000000.000000
1,0.670000,51000000.000000
1,0.720000,51000000.000000
1,0.720000,51000000.000000
1,0.720000,51000000.000000
1,0.720000,51000000.000000
1,0.700000,51000000.000000
1,0.750000,49000000.000000
1,0.630000,48000000.000000
1,0.640000,47000000.000000
1,0.670000,46000000.000000
1,0.840000,44000000.000000
1,0.630000,44000000.000000
1,0.760000,44000000.000000
1,0.690000,44000000.000000
1,0.600000,44000000.000000
1,0.780000,44000000.000000
1,0.750000,43000000.000000
1,0.650000,43000000.000000
1,0.710000,43000000.000000
1,0.660000,43000000.000000
1,0.740000,43000000.000000
1,0.780000,43000000.000000
1,0.730000,43000000.000000
1,0.700000,43000000.000000
1,0.750000,43000000.000000
1,0.780000,43000000.000000
1,0.800000,43000000.000000
1,0.700000,43000000.000000
1,0.650000,43000000.000000
1,0.670000,42000000.000000
1,0.820000,42000000.000000
1,0.710000,41000000.000000
1,0.730000,41000000.000000
1,0.690000,41000000.000000
1,0.680000,41000000.000000
1,0.670000,41000000.000000
1,0.680000,40000000.000000
1,0.630000,40000000.000000
1,0.650000,39000000.000000
1,0.640000,38000000.000000
1,0.680000,36000000.000000
1,0.700000,36000000.000000
1,0.650000,34000000.000000
1,0.640000,34000000.000000
1,0.530000,34000000.000000
1,0.660000,34000000.000000
1,0.630000,34000000.000000
1,0.600000,33000000.000000
1,0.630000,33000000.000000
1,0.630000,33000000.000000
1,0.710000,33000000.000000
1,0.560000,33000000.000000
1,0.590000,32000000.000000
1,0.670000,32000000.000000
1,0.600000,32000000.000000
1,0.630000,32000000.000000
1,0.690000,32000000.000000
1,0.640000,32000000.000000
1,0.660000,31000000.000000
1,0.660000,31000000.000000
1,0.630000,31000000.000000
1,0.630000,31000000.000000
1,0.550000,30000000.000000
1,0.710000,30000000.000000
1,0.710000,30000000.000000
1,0.640000,30000000.000000
1,0.640000,30000000.000000
1,0.720000,30000000.000000
1,0.660000,30000000.000000
1,0.700000,30000000.000000
1,0.650000,30000000.000000
1,0.730000,30000000.000000
1,0.690000,30000000.000000
1,0.690000,30000000.000000
1,0.650000,29000000.000000
1,0.680000,29000000.000000
1,0.660000,28000000.000000
1,0.670000,28000000.000000
1,0.610000,28000000.000000
1,0.710000,28000000.000000
1,0.680000,28000000.000000
1,0.630000,28000000.000000
1,0.580000,28000000.000000
1,0.620000,27000000.000000
1,0.730000,25000000.000000
1,0.570000,25000000.000000
1,0.680000,25000000.000000
1,0.700000,25000000.000000
1,0.700000,25000000.000000
1,0.490000,25000000.000000
1,0.670000,25000000.000000
1,0.590000,25000000.000000
1,0.570000,25000000.000000
1,0.570000,25000000.000000
1,0.610000,25000000.000000
1,0.620000,23000000.000000
1,0.630000,23000000.000000
1,0.730000,23000000.000000
1,0.680000,23000000.000000
1,0.750000,23000000.000000
1,0.630000,23000000.000000
1,0.610000,23000000.000000
1,0.690000,23000000.000000
1,0.720000,23000000.000000
1,0.630000,23000000.000000
1,0.690000,23000000.000000
1,0.670000,23000000.000000
1,0.700000,23000000.000000
1,0.670000,23000000.000000
1,0.640000,23000000.000000
1,0.680000,23000000.000000
1,0.670000,23000000.000000
1,0.600000,23000000.000000
1,0.580000,23000000.000000
1,0.700000,23000000.000000
1,0.740000,23000000.000000
1,0.700000,23000000.000000
1,0.680000,23000000.000000
1,0.630000,23000000.000000
1,0.600000,23000000.000000
1,0.740000,23000000.000000
1,0.700000,23000000.000000
1,0.640000,22000000.000000
1,0.620000,21000000.000000
1,0.640000,21000000.000000
1,0.520000,21000000.000000
1,0.630000,21000000.000000
1,0.500000,21000000.000000
1,0.510000,21000000.000000
1,0.620000,21000000.000000
1,0.640000,19000000.000000
1,0.540000,18000000.000000
1,0.610000,18000000.000000
1,0.690000,17000000.000000
1,0.730000,17000000.000000
1,0.700000,16000000.000000
1,0.660000,15000000.000000
1,0.580000,15000000.000000
1,0.660000,15000000.000000
1,0.730000,15000000.000000
1,0.700000,15000000.000000
1,0.550000,15000000.000000
1,0.610000,15000000.000000
1,0.540000,15000000.000000
1,0.640000,15000000.000000
1,0.510000,15000000.000000
1,0.680000,15000000.000000
1,0.620000,15000000.000000
1,0.630000,15000000.000000
1,0.640000,15000000.000000
1,0.620000,15000000.000000
1,0.650000,15000000.000000
1,0.620000,15000000.000000
1,0.700000,15000000.000000
1,0.640000,15000000.000000
1,0.690000,15000000.000000
1,0.570000,15000000.000000
1,0.630000,15000000.000000
1,0.640000,15000000.000000
1,0.610000,15000000.000000
1,0.570000,15000000.000000
1,0.630000,15000000.000000
1,0.640000,15000000.000000
1,0.560000,15000000.000000
1,0.550000,15000000.000000
1,0.590000,15000000.000000
1,0.600000,15000000.000000
1,0.650000,15000000.000000
1,0.680000,15000000.000000
1,0.620000,15000000.000000
1,0.560000,14000000.000000
1,0.600000,14000000.000000
1,0.670000,14000000.000000
1,0.730000,14000000.000000
1,0.570000,14000000.000000
1,0.640000,14000000.000000
1,0.680000,14000000.000000
1,0.580000,14000000.000000
1,0.620000,14000000.000000
1,0.760000,14000000.000000
1,0.670000,14000000.000000
1,0.650000,14000000.000000
1,0.620000,14000000.000000
1,0.670000,14000000.000000
1,0.590000,14000000.000000
1,0.640000,14000000.000000
1,0.570000,14000000.000000
1,0.650000,14000000.000000
1,0.630000,14000000.000000
1,0.580000,14000000.000000
1,0.650000,14000000.000000
1,0.570000,14000000.000000
1,0.530000,14000000.000000
1,0.450000,14000000.000000
1,0.700000,14000000.000000
1,0.700000,14000000.000000
1,0.660000,13000000.000000
1,0.690000,13000000.000000
1,0.670000,13000000.000000
1,0.640000,13000000.000000
1,0.610000,13000000.000000
1,0.610000,13000000.000000
1,0.650000,13000000.000000
1,0.630000,13000000.000000
1,0.670000,13000000.000000
1,0.650000,13000000.000000
1,0.620000,13000000.000000
1,0.650000,13000000.000000
1,0.610000,13000000.000000
1,0.590000,13000000.000000
1,0.660000,13000000.000000
1,0.730000,13000000.000000
1,0.620000,13000000.000000
1,0.570000,12000000.000000
1,0.630000,12000000.000000
1,0.670000,12000000.000000
1,0.730000,12000000.000000
1,0.690000,12000000.000000
1,0.500000,12000000.000000
1,0.640000,12000000.000000
1,0.710000,12000000.000000
1,0.610000,12000000.000000
1,0.570000,12000000.000000
1,0.660000,12000000.000000
1,0.600000,12000000.000000
1,0.630000,12000000.000000
1,0.640000,12000000.000000
1,0.710000,12000000.000000
1,0.580000,12000000.000000
1,0.580000,11000000.000000
1,0.580000,10000000.000000
1,0.540000,10000000.000000
1,0.660000,10000000.000000
1,0.620000,10000000.000000
1,0.590000,10000000.000000
1,0.610000,10000000.000000
1,0.550000,10000000.000000
1,0.700000,10000000.000000
1,0.590000,10000000.000000
1,0.640000,10000000.000000
1,0.610000,9000000.000000
1,0.630000,9000000.000000
1,0.530000,9000000.000000
1,0.670000,9000000.000000
1,0.610000,9000000.000000
1,0.540000,9000000.000000
1,0.550000,9000000.000000
1,0.590000,9000000.000000
1,0.590000,9000000.000000
1,0.640000,9000000.000000
1,0.590000,9000000.000000
1,0.580000,9000000.000000
1,0.620000,9000000.000000
1,0.590000,9000000.000000
1,0.560000,9000000.000000
1,0.700000,9000000.000000
1,0.620000,9000000.000000
1,0.600000,9000000.000000
1,0.600000,9000000.000000
1,0.630000,9000000.000000
1,0.640000,9000000.000000
1,0.590000,9000000.000000
1,0.560000,9000000.000000
1,0.580000,9000000.000000
1,0.640000,9000000.000000
1,0.630000,9000000.000000
1,0.580000,9000000.000000
1,0.630000,9000000.000000
1,0.690000,9000000.000000
1,0.640000,9000000.000000
1,0.630000,9000000.000000
1,0.620000,9000000.000000
