realization,energy,pressure,acc_ratio
1,-78.1549,7.73119,0.06
1,-76.3344,7.65034,0.04
1,-91.3661,6.65549,0.18
1,-96.1676,6.25979,0.15
1,-88.4002,6.10189,0.18
1,-91.1815,5.88461,0.18
1,-104.33,5.4978,0.17
1,-111.329,4.74325,0.27
1,-115.925,4.5497,0.19
1,-136.816,3.77859,0.22
1,-117.231,4.26281,0.27
1,-118.966,4.16212,0.26
1,-122.812,3.80484,0.23
1,-119.458,3.9211,0.27
1,-126.254,3.71455,0.23
1,-112.771,3.94915,0.27
1,-133.219,3.28588,0.24
1,-133.805,3.06855,0.32
1,-117.563,3.14445,0.32
1,-134.893,2.80687,0.33
1,-130.842,2.78617,0.29
1,-125.799,2.88828,0.23
1,-120.913,3.09684,0.3
1,-109.316,3.34728,0.36
1,-128.72,2.73282,0.29
1,-122.725,2.99203,0.3
1,-115.153,2.99532,0.34
1,-107.086,3.28376,0.36
1,-98.1944,3.33402,0.44
1,-120.314,2.6227,0.39
1,-128.624,2.31341,0.37
1,-129.505,2.24106,0.3
1,-123.437,2.42318,0.34
1,-136.997,2.06845,0.33
1,-142.944,1.70637,0.33
1,-133.58,1.87474,0.37
1,-136.954,1.71982,0.38
1,-142.304,1.68198,0.36
1,-145.188,1.61957,0.41
1,-134.523,1.81568,0.27
1,-149.027,1.37379,0.31
1,-152.692,1.47079,0.34
1,-154.658,1.2779,0.34
1,-147.103,1.47052,0.38
1,-146.261,1.57659,0.39
1,-142.077,1.57456,0.39
1,-149.369,1.59492,0.4
1,-146.767,1.71068,0.29
1,-147.965,1.75484,0.33
1,-169.377,1.15864,0.43
1,-174.994,0.868748,0.36
1,-155.717,1.28677,0.38
1,-149.899,1.40144,0.38
1,-142.838,1.55679,0.34
1,-143.961,1.53508,0.34
1,-143.454,1.38358,0.47
1,-167.143,0.522826,0.43
1,-166.211,0.57428,0.44
1,-160.582,0.77223,0.35
1,-158.433,0.705977,0.41
1,-162.523,0.593165,0.33
1,-158.11,0.712282,0.41
1,-151.466,0.835188,0.49
1,-146.797,0.919183,0.44
1,-144.938,0.803501,0.31
1,-136.295,1.19915,0.43
1,-136.143,1.28597,0.43
1,-117.53,1.64419,0.45
1,-124.502,1.50278,0.44
1,-138.637,1.24518,0.42
1,-140.336,1.18542,0.46
1,-132.358,1.25957,0.46
1,-139.603,0.996526,0.35
1,-141.453,1.00215,0.4
1,-142.789,0.993954,0.41
1,-133.665,1.14363,0.48
1,-118.535,1.81366,0.51
1,-116.787,1.8634,0.41
1,-121.282,1.64849,0.36
1,-119.383,1.69474,0.45
1,-122.811,1.54708,0.47
1,-126.109,1.38546,0.42
1,-134.764,1.18752,0.31
1,-122.601,1.31729,0.53
1,-122.056,1.31025,0.44
1,-148.325,0.724533,0.36
1,-137.892,0.984367,0.45
1,-142.465,0.848859,0.36
1,-139.526,0.811472,0.38
1,-137.949,1.02086,0.47
1,-125.851,1.16488,0.48
1,-123.28,1.40398,0.45
1,-126.151,1.28209,0.44
1,-115.787,1.63781,0.44
1,-114.665,1.62551,0.35
1,-138.576,1.02887,0.44
1,-124.67,1.32759,0.4
1,-120.49,1.35184,0.36
1,-118.132,1.64171,0.38
1,-104.442,2.11777,0.39
1,-98.0143,2.08286,0.35
1,-120.643,1.54031,0.51
1,-122.867,1.56477,0.46
1,-117.3,1.75121,0.38
1,-109.589,2.10068,0.45
1,-117.072,1.84049,0.34
1,-121.685,1.80169,0.37
1,-125.849,1.50937,0.46
1,-124.588,1.41047,0.41
1,-132.873,1.20502,0.44
1,-136.129,1.0315,0.39
1,-143.401,0.805041,0.4
1,-140.604,1.02954,0.33
1,-134.587,1.40623,0.31
1,-127.928,1.62378,0.45
1,-134.232,1.23359,0.44
1,-125.445,1.38158,0.47
1,-130.193,1.25974,0.42
1,-135.061,1.02602,0.38
1,-141.411,0.926682,0.43
1,-147.786,0.667094,0.37
1,-153.085,0.54532,0.43
1,-151.056,0.487518,0.41
1,-154.351,0.414858,0.44
1,-157.384,0.375035,0.42
1,-147.012,0.687917,0.4
1,-149.512,0.724872,0.41
1,-151.177,0.688817,0.42
1,-148.903,0.803436,0.39
1,-143.446,0.934846,0.45
1,-145.794,1.10243,0.42
