realization,energy,pressure,acc_ratio
1,-236.255122,4.895494,0.090000
1,-239.047103,4.745769,0.030000
1,-237.772861,4.500428,0.120000
1,-240.438554,4.189368,0.110000
1,-236.140174,4.194908,0.090000
1,-238.302143,3.899832,0.160000
1,-236.138473,3.788206,0.190000
1,-235.154175,3.369639,0.260000
1,-226.518870,3.238796,0.240000
1,-236.762365,2.831185,0.310000
1,-231.943178,2.803765,0.210000
1,-242.463888,2.485673,0.340000
1,-240.517548,2.646024,0.310000
1,-265.550344,2.141914,0.280000
1,-266.897562,1.984797,0.330000
1,-269.691467,1.845634,0.350000
1,-266.068540,1.814776,0.310000
1,-262.026015,1.748235,0.320000
1,-252.988142,1.740093,0.380000
1,-241.541323,1.819350,0.360000
1,-255.486298,1.586669,0.400000
1,-248.162656,1.773639,0.390000
1,-265.186503,1.470451,0.410000
1,-254.663989,1.575947,0.270000
1,-262.626552,1.390300,0.370000
1,-283.047262,0.874902,0.410000
1,-279.886602,0.737681,0.370000
1,-274.632294,0.744420,0.330000
1,-273.427029,0.670523,0.360000
1,-267.978596,0.783115,0.360000
1,-264.324466,0.862868,0.360000
1,-256.209984,0.933528,0.530000
1,-243.215847,1.009802,0.440000
1,-255.817170,0.763660,0.530000
1,-253.340232,0.774051,0.470000
1,-249.126965,0.826259,0.440000
1,-260.363863,0.656438,0.560000
1,-259.008936,0.667847,0.550000
1,-242.300643,0.897328,0.520000
1,-240.885620,0.906898,0.450000
1,-236.962505,0.900678,0.480000
1,-240.558639,0.745878,0.570000
1,-237.254537,0.743769,0.420000
1,-233.620659,0.714171,0.470000
1,-243.433839,0.497270,0.480000
1,-254.429123,0.481663,0.520000
1,-242.449878,0.770256,0.440000
1,-247.700276,0.527756,0.480000
1,-257.261585,0.561603,0.480000
1,-244.782604,0.912690,0.430000
1,-255.330343,0.624007,0.450000
1,-252.132040,0.696161,0.520000
1,-243.794006,0.834441,0.490000
1,-251.112550,0.657055,0.500000
1,-252.162884,0.637887,0.550000
1,-248.088311,0.718498,0.490000
1,-244.654355,0.699855,0.500000
1,-231.523595,0.772916,0.500000
1,-240.811746,0.627577,0.520000
1,-240.537507,0.508296,0.520000
1,-238.855495,0.377288,0.610000
1,-250.435847,0.175336,0.580000
1,-246.582721,0.287432,0.530000
1,-237.883024,0.499599,0.540000
1,-232.141345,0.612516,0.600000
1,-233.136689,0.638783,0.470000
1,-226.445210,0.685779,0.520000
1,-239.660615,0.573654,0.520000
1,-238.129035,0.602392,0.520000
1,-242.157042,0.540893,0.490000
1,-241.459260,0.581658,0.540000
1,-233.921753,0.713682,0.590000
1,-221.252039,0.941912,0.440000
1,-240.188470,0.560968,0.530000
1,-232.887268,0.632215,0.560000
1,-233.747772,0.458907,0.550000
1,-241.306511,0.465592,0.600000
1,-229.572937,0.601834,0.460000
1,-230.899083,0.495302,0.520000
1,-234.337071,0.453298,0.440000
1,-221.760859,0.695496,0.480000
1,-211.896047,0.838999,0.600000
1,-211.922246,0.757215,0.490000
1,-217.036465,0.684727,0.570000
1,-209.353774,0.929675,0.500000
1,-213.901855,0.709903,0.490000
1,-215.935810,0.629207,0.520000
1,-221.724840,0.456594,0.570000
1,-213.023780,0.686396,0.550000
1,-203.227631,0.834348,0.510000
1,-220.749829,0.543358,0.560000
1,-220.368052,0.477878,0.560000
1,-220.935014,0.493902,0.480000
1,-221.016356,0.477560,0.520000
1,-227.443500,0.471499,0.570000
1,-233.672812,0.327458,0.630000
1,-227.977736,0.469964,0.580000
1,-217.877492,0.639403,0.540000
1,-215.443707,0.568823,0.570000
1,-213.807249,0.644549,0.500000
1,-218.280062,0.580447,0.560000
1,-221.632616,0.439995,0.510000
1,-222.359121,0.446214,0.580000
1,-229.210317,0.371447,0.710000
1,-229.931955,0.400287,0.530000
1,-211.220328,0.695625,0.570000
1,-232.335544,0.148092,0.590000
1,-232.457499,0.292728,0.590000
1,-212.130036,0.641909,0.590000
1,-211.946373,0.722445,0.560000
1,-220.166349,0.522756,0.550000
1,-215.005286,0.619134,0.570000
1,-212.039026,0.501631,0.610000
1,-220.343540,0.442604,0.490000
1,-208.719582,0.569187,0.610000
1,-203.368724,0.617194,0.520000
1,-203.008721,0.736157,0.580000
1,-209.253589,0.622792,0.560000
1,-210.913051,0.558936,0.520000
1,-207.760113,0.642678,0.590000
1,-197.691976,0.819917,0.540000
1,-192.071871,0.892200,0.510000
1,-204.985857,0.697504,0.490000
1,-218.992568,0.321273,0.590000
1,-219.556591,0.447917,0.470000
1,-220.716713,0.303072,0.640000
1,-201.773436,0.701242,0.540000
1,-216.827914,0.379801,0.560000
1,-223.841512,0.220236,0.530000
1,-221.993685,0.470893,0.580000
1,-221.520147,0.538718,0.500000
1,-223.272328,0.472070,0.520000
1,-219.941493,0.443536,0.650000
1,-213.166130,0.505128,0.650000
1,-207.828200,0.524078,0.560000
1,-206.874602,0.424802,0.610000
1,-205.707486,0.500320,0.590000
1,-204.456357,0.421135,0.590000
