time,x1,p1,x2,p2
0,1.000000,0.000000,1.000000,0.000000
0.001000,1.000000,-0.001000,0.999999,-0.001000
0.002000,0.999999,-0.002000,0.999997,-0.002000
0.003000,0.999997,-0.003000,0.999994,-0.003000
0.004000,0.999994,-0.004000,0.999990,-0.004000
0.005000,0.999990,-0.005000,0.999985,-0.005000
0.006000,0.999985,-0.006000,0.999979,-0.006000
0.007000,0.999979,-0.007000,0.999972,-0.007000
0.008000,0.999972,-0.008000,0.999964,-0.008000
0.009000,0.999964,-0.009000,0.999955,-0.009000
0.010000,0.999955,-0.010000,0.999945,-0.010000
0.011000,0.999945,-0.011000,0.999934,-0.011000
0.012000,0.999934,-0.012000,0.999922,-0.012000
0.013000,0.999922,-0.013000,0.999909,-0.013000
0.014000,0.999909,-0.014000,0.999895,-0.014000
0.015000,0.999895,-0.015000,0.999880,-0.014999
0.016000,0.999880,-0.015999,0.999864,-0.015999
0.017000,0.999864,-0.016999,0.999847,-0.016999
0.018000,0.999847,-0.017999,0.999829,-0.017999
0.019000,0.999829,-0.018999,0.999810,-0.018999
0.020000,0.999810,-0.019999,0.999790,-0.019999
0.021000,0.999790,-0.020999,0.999769,-0.020998
0.022000,0.999769,-0.021998,0.999747,-0.021998
0.023000,0.999747,-0.022998,0.999724,-0.022998
0.024000,0.999724,-0.023998,0.999700,-0.023998
0.025000,0.999700,-0.024998,0.999675,-0.024997
0.026000,0.999675,-0.025997,0.999649,-0.025997
0.027000,0.999649,-0.026997,0.999622,-0.026997
0.028000,0.999622,-0.027997,0.999594,-0.027996
0.029000,0.999594,-0.028996,0.999565,-0.028996
0.030000,0.999565,-0.029996,0.999535,-0.029996
0.031000,0.999535,-0.030996,0.999504,-0.030995
0.032000,0.999504,-0.031995,0.999472,-0.031995
0.033000,0.999472,-0.032995,0.999439,-0.032994
0.034000,0.999439,-0.033994,0.999405,-0.033993
0.035000,0.999405,-0.034993,0.999370,-0.034993
0.036000,0.999370,-0.035993,0.999334,-0.035992
0.037000,0.999334,-0.036992,0.999297,-0.036992
0.038000,0.999297,-0.037992,0.999259,-0.037991
0.039000,0.999259,-0.038991,0.999220,-0.038990
0.040000,0.999220,-0.039990,0.999180,-0.039989
0.041000,0.999180,-0.040989,0.999139,-0.040989
0.042000,0.999139,-0.041989,0.999097,-0.041988
0.043000,0.999097,-0.042988,0.999054,-0.042987
0.044000,0.999054,-0.043987,0.999010,-0.043986
0.045000,0.999010,-0.044986,0.998965,-0.044985
0.046000,0.998965,-0.045985,0.998919,-0.045984
0.047000,0.998919,-0.046984,0.998872,-0.046983
0.048000,0.998872,-0.047983,0.998824,-0.047982
0.049000,0.998824,-0.048982,0.998775,-0.048980
0.050000,0.998775,-0.049980,0.998725,-0.049979
0.051000,0.998725,-0.050979,0.998674,-0.050978
0.052000,0.998674,-0.051978,0.998622,-0.051977
0.053000,0.998622,-0.052977,0.998569,-0.052975
0.054000,0.998569,-0.053975,0.998515,-0.053974
0.055000,0.998515,-0.054974,0.998460,-0.054972
0.056000,0.998460,-0.055972,0.998404,-0.055971
0.057000,0.998404,-0.056971,0.998347,-0.056969
0.058000,0.998347,-0.057969,0.998289,-0.057967
0.059000,0.998289,-0.058967,0.998231,-0.058966
0.060000,0.998230,-0.059966,0.998171,-0.059964
0.061000,0.998171,-0.060964,0.998110,-0.060962
0.062000,0.998110,-0.061962,0.998048,-0.061960
0.063000,0.998048,-0.062960,0.997985,-0.062958
0.064000,0.997985,-0.063958,0.997921,-0.063956
0.065000,0.997921,-0.064956,0.997856,-0.064954
0.066000,0.997856,-0.065954,0.997790,-0.065952
0.067000,0.997790,-0.066952,0.997723,-0.066950
0.068000,0.997723,-0.067950,0.997655,-0.067948
0.069000,0.997655,-0.068948,0.997586,-0.068945
0.070000,0.997586,-0.069945,0.997516,-0.069943
0.071000,0.997516,-0.070943,0.997445,-0.070940
0.072000,0.997445,-0.071940,0.997373,-0.071938
0.073000,0.997373,-0.072938,0.997300,-0.072935
0.074000,0.997300,-0.073935,0.997226,-0.073932
0.075000,0.997226,-0.074932,0.997151,-0.074930
0.076000,0.997151,-0.075930,0.997075,-0.075927
0.077000,0.997075,-0.076927,0.996999,-0.076924
0.078000,0.996998,-0.077924,0.996921,-0.077921
0.079000,0.996921,-0.078921,0.996842,-0.078918
0.080000,0.996842,-0.079918,0.996762,-0.079915
0.081000,0.996762,-0.080915,0.996681,-0.080911
0.082000,0.996681,-0.081911,0.996599,-0.081908
0.083000,0.996599,-0.082908,0.996516,-0.082905
0.084000,0.996516,-0.083905,0.996432,-0.083901
0.085000,0.996432,-0.084901,0.996347,-0.084898
0.086000,0.996347,-0.085898,0.996261,-0.085894
0.087000,0.996261,-0.086894,0.996174,-0.086890
0.088000,0.996174,-0.087890,0.996087,-0.087886
0.089000,0.996086,-0.088886,0.995998,-0.088883
0.090000,0.995998,-0.089883,0.995908,-0.089879
0.091000,0.995908,-0.090879,0.995817,-0.090874
0.092000,0.995817,-0.091874,0.995725,-0.091870
0.093000,0.995725,-0.092870,0.995632,-0.092866
0.094000,0.995632,-0.093866,0.995538,-0.093862
0.095000,0.995538,-0.094862,0.995443,-0.094857
0.096000,0.995443,-0.095857,0.995348,-0.095853
0.097000,0.995347,-0.096853,0.995251,-0.096848
0.098000,0.995251,-0.097848,0.995153,-0.097843
0.099000,0.995153,-0.098843,0.995054,-0.098838
0.100000,0.995054,-0.099838,0.994954,-0.099833
0.101000,0.994954,-0.100833,0.994853,-0.100828
0.102000,0.994853,-0.101828,0.994752,-0.101823
0.103000,0.994751,-0.102823,0.994649,-0.102818
0.104000,0.994649,-0.103818,0.994545,-0.103813
0.105000,0.994545,-0.104813,0.994440,-0.104807
0.106000,0.994440,-0.105807,0.994334,-0.105802
0.107000,0.994334,-0.106802,0.994228,-0.106796
0.108000,0.994227,-0.107796,0.994120,-0.107790
0.109000,0.994120,-0.108790,0.994011,-0.108784
0.110000,0.994011,-0.109784,0.993901,-0.109778
0.111000,0.993901,-0.110778,0.993790,-0.110772
0.112000,0.993790,-0.111772,0.993679,-0.111766
0.113000,0.993678,-0.112766,0.993566,-0.112760
0.114000,0.993566,-0.113760,0.993452,-0.113753
0.115000,0.993452,-0.114753,0.993337,-0.114747
0.116000,0.993337,-0.115747,0.993222,-0.115740
0.117000,0.993221,-0.116740,0.993105,-0.116733
0.118000,0.993105,-0.117733,0.992987,-0.117726
0.119000,0.992987,-0.118726,0.992868,-0.118719
0.120000,0.992868,-0.119719,0.992749,-0.119712
0.121000,0.992748,-0.120712,0.992628,-0.120705
0.122000,0.992628,-0.121705,0.992506,-0.121698
0.123000,0.992506,-0.122698,0.992384,-0.122690
0.124000,0.992383,-0.123690,0.992260,-0.123682
0.125000,0.992260,-0.124682,0.992135,-0.124675
0.126000,0.992135,-0.125675,0.992010,-0.125667
0.127000,0.992009,-0.126667,0.991883,-0.126659
0.128000,0.991883,-0.127659,0.991755,-0.127651
0.129000,0.991755,-0.128651,0.991627,-0.128643
0.130000,0.991626,-0.129643,0.991497,-0.129634
0.131000,0.991497,-0.130634,0.991366,-0.130626
0.132000,0.991366,-0.131626,0.991235,-0.131617
0.133000,0.991234,-0.132617,0.991102,-0.132608
0.134000,0.991102,-0.133608,0.990969,-0.133599
0.135000,0.990968,-0.134599,0.990834,-0.134590
0.136000,0.990834,-0.135590,0.990698,-0.135581
0.137000,0.990698,-0.136581,0.990562,-0.136572
0.138000,0.990561,-0.137572,0.990424,-0.137562
0.139000,0.990424,-0.138562,0.990286,-0.138553
0.140000,0.990285,-0.139553,0.990146,-0.139543
0.141000,0.990146,-0.140543,0.990006,-0.140533
0.142000,0.990005,-0.141533,0.989864,-0.141523
0.143000,0.989864,-0.142523,0.989722,-0.142513
0.144000,0.989721,-0.143513,0.989578,-0.143503
0.145000,0.989578,-0.144503,0.989434,-0.144492
0.146000,0.989433,-0.145492,0.989288,-0.145482
0.147000,0.989288,-0.146482,0.989142,-0.146471
0.148000,0.989141,-0.147471,0.988994,-0.147460
0.149000,0.988994,-0.148460,0.988846,-0.148449
0.150000,0.988845,-0.149449,0.988696,-0.149438
0.151000,0.988696,-0.150438,0.988546,-0.150427
0.152000,0.988545,-0.151427,0.988395,-0.151415
0.153000,0.988394,-0.152415,0.988242,-0.152404
0.154000,0.988242,-0.153404,0.988089,-0.153392
0.155000,0.988088,-0.154392,0.987934,-0.154380
0.156000,0.987934,-0.155380,0.987779,-0.155368
0.157000,0.987778,-0.156368,0.987623,-0.156356
0.158000,0.987622,-0.157356,0.987465,-0.157343
0.159000,0.987465,-0.158343,0.987307,-0.158331
0.160000,0.987306,-0.159331,0.987148,-0.159318
0.161000,0.987147,-0.160318,0.986987,-0.160305
0.162000,0.986987,-0.161305,0.986826,-0.161292
0.163000,0.986825,-0.162292,0.986664,-0.162279
0.164000,0.986663,-0.163279,0.986500,-0.163266
0.165000,0.986500,-0.164266,0.986336,-0.164252
0.166000,0.986335,-0.165252,0.986171,-0.165239
0.167000,0.986170,-0.166239,0.986005,-0.166225
0.168000,0.986004,-0.167225,0.985838,-0.167211
0.169000,0.985837,-0.168211,0.985669,-0.168197
0.170000,0.985669,-0.169197,0.985500,-0.169182
0.171000,0.985499,-0.170182,0.985330,-0.170168
0.172000,0.985329,-0.171168,0.985159,-0.171153
0.173000,0.985158,-0.172153,0.984987,-0.172138
0.174000,0.984986,-0.173138,0.984814,-0.173123
0.175000,0.984813,-0.174123,0.984639,-0.174108
0.176000,0.984639,-0.175108,0.984464,-0.175093
0.177000,0.984463,-0.176093,0.984288,-0.176077
0.178000,0.984287,-0.177077,0.984111,-0.177062
0.179000,0.984110,-0.178062,0.983933,-0.178046
0.180000,0.983932,-0.179046,0.983754,-0.179030
0.181000,0.983753,-0.180030,0.983574,-0.180013
0.182000,0.983573,-0.181013,0.983393,-0.180997
0.183000,0.983392,-0.181997,0.983211,-0.181980
0.184000,0.983210,-0.182980,0.983028,-0.182964
0.185000,0.983027,-0.183963,0.982844,-0.183947
0.186000,0.982843,-0.184947,0.982659,-0.184929
0.187000,0.982658,-0.185929,0.982473,-0.185912
0.188000,0.982472,-0.186912,0.982287,-0.186895
0.189000,0.982285,-0.187894,0.982099,-0.187877
0.190000,0.982098,-0.188877,0.981910,-0.188859
0.191000,0.981909,-0.189859,0.981720,-0.189841
0.192000,0.981719,-0.190841,0.981529,-0.190823
0.193000,0.981528,-0.191823,0.981337,-0.191804
