time,x_vverlet,p_vverlet,x_beeman,p_beeman
0,1.000000,0.000000,1.000000,0.000000
0.100000,0.995000,-0.099750,0.995000,-0.099750
0.200000,0.980050,-0.198503,0.980058,-0.198669
0.300000,0.955299,-0.295270,0.955316,-0.295601
0.400000,0.920996,-0.389085,0.921021,-0.389577
0.500000,0.877483,-0.479009,0.877515,-0.479657
0.600000,0.825194,-0.564143,0.825234,-0.564941
0.700000,0.764654,-0.643635,0.764701,-0.644575
0.800000,0.696467,-0.716691,0.696521,-0.717764
0.900000,0.621316,-0.782580,0.621376,-0.783775
1.000000,0.539951,-0.840644,0.540017,-0.841948
1.100000,0.453187,-0.890300,0.453257,-0.891701
1.200000,0.361891,-0.931054,0.361966,-0.932538
1.300000,0.266976,-0.962498,0.267054,-0.964049
1.400000,0.169392,-0.984316,0.169472,-0.985920
1.500000,0.070113,-0.996291,0.070195,-0.997932
1.600000,-0.029867,-0.998304,-0.029783,-0.999964
1.700000,-0.129548,-0.990333,-0.129464,-0.991997
1.800000,-0.227933,-0.972459,-0.227851,-0.974109
1.900000,-0.324039,-0.944860,-0.323958,-0.946481
2.000000,-0.416905,-0.907813,-0.416826,-0.909388
2.100000,-0.505602,-0.861688,-0.505526,-0.863201
2.200000,-0.589243,-0.806945,-0.589171,-0.808382
2.300000,-0.666991,-0.744134,-0.666924,-0.745479
2.400000,-0.738070,-0.673881,-0.738007,-0.675121
2.500000,-0.801767,-0.596889,-0.801711,-0.598012
2.600000,-0.857447,-0.513928,-0.857397,-0.514923
2.700000,-0.904553,-0.425828,-0.904510,-0.426685
2.800000,-0.942613,-0.333470,-0.942577,-0.334180
2.900000,-0.971247,-0.237777,-0.971219,-0.238333
3.000000,-0.990168,-0.139706,-0.990148,-0.140102
3.100000,-0.999188,-0.040238,-0.999176,-0.040471
3.200000,-0.998216,0.059632,-0.998213,0.059565
3.300000,-0.987262,0.158906,-0.987267,0.159005
3.400000,-0.966435,0.256591,-0.966448,0.256855
3.500000,-0.935944,0.351710,-0.935965,0.352137
3.600000,-0.896093,0.443311,-0.896122,0.443897
3.700000,-0.847281,0.530480,-0.847318,0.531219
3.800000,-0.789997,0.612344,-0.790041,0.613228
3.900000,-0.724812,0.688084,-0.724864,0.689105
4.000000,-0.652380,0.756944,-0.652437,0.758091
4.100000,-0.573424,0.818234,-0.573487,0.819496
4.200000,-0.488733,0.871342,-0.488801,0.872706
4.300000,-0.399155,0.915737,-0.399228,0.917189
4.400000,-0.305586,0.950974,-0.305662,0.952500
4.500000,-0.208960,0.976701,-0.209040,0.978286
4.600000,-0.110246,0.992661,-0.110327,0.994289
4.700000,-0.010428,0.998695,-0.010511,1.000349
4.800000,0.089493,0.994742,0.089410,0.996406
4.900000,0.188520,0.980841,0.188437,0.982499
5.000000,0.285662,0.957132,0.285580,0.958767
5.100000,0.379946,0.923851,0.379866,0.925447
5.200000,0.470432,0.881333,0.470355,0.882872
5.300000,0.556213,0.830000,0.556139,0.831469
5.400000,0.636432,0.770368,0.636363,0.771751
5.500000,0.710287,0.703032,0.710222,0.704316
5.600000,0.777038,0.628666,0.776980,0.629838
5.700000,0.836020,0.548013,0.835967,0.549061
5.800000,0.886641,0.461880,0.886595,0.462793
5.900000,0.928396,0.371128,0.928357,0.371898
6.000000,0.960867,0.276665,0.960836,0.277284
6.100000,0.983729,0.179435,0.983706,0.179896
6.200000,0.996754,0.080411,0.996739,0.080710
6.300000,0.999811,-0.019417,0.999804,-0.019283
6.400000,0.992870,-0.119051,0.992872,-0.119083
6.500000,0.976001,-0.217495,0.976011,-0.217693
6.600000,0.949371,-0.313763,0.949389,-0.314126
6.700000,0.913248,-0.406894,0.913274,-0.407417
6.800000,0.867992,-0.495956,0.868026,-0.496634
6.900000,0.814057,-0.580059,0.814098,-0.580885
7.000000,0.751981,-0.658361,0.752029,-0.659327
7.100000,0.682385,-0.730079,0.682440,-0.731176
7.200000,0.605965,-0.794496,0.606026,-0.795713
7.300000,0.523485,-0.850969,0.523552,-0.852293
7.400000,0.435771,-0.898932,0.435842,-0.900350
7.500000,0.343699,-0.937905,0.343774,-0.939403
7.600000,0.248190,-0.967500,0.248268,-0.969063
7.700000,0.150199,-0.987419,0.150280,-0.989032
7.800000,0.050706,-0.997464,0.050789,-0.999110
7.900000,-0.049294,-0.997535,-0.049210,-0.999197
8.000000,-0.148801,-0.987630,-0.148717,-0.989293
8.100000,-0.246820,-0.967849,-0.246737,-0.969495
8.200000,-0.342371,-0.938390,-0.342290,-0.940003
8.300000,-0.434498,-0.899546,-0.434419,-0.901110
8.400000,-0.522280,-0.851707,-0.522205,-0.853207
8.500000,-0.604839,-0.795352,-0.604768,-0.796771
8.600000,-0.681350,-0.731042,-0.681284,-0.732368
8.700000,-0.751048,-0.659422,-0.750987,-0.660641
8.800000,-0.813235,-0.581208,-0.813180,-0.582307
8.900000,-0.867289,-0.497182,-0.867241,-0.498151
9.000000,-0.912671,-0.408184,-0.912629,-0.409013
9.100000,-0.948926,-0.315104,-0.948892,-0.315784
9.200000,-0.975692,-0.218873,-0.975665,-0.219398
9.300000,-0.992701,-0.120453,-0.992682,-0.120818
9.400000,-0.999783,-0.020829,-0.999772,-0.021030
9.500000,-0.996867,0.079003,-0.996865,0.078968
9.600000,-0.983982,0.178046,-0.983988,0.178177
9.700000,-0.961257,0.275308,-0.961272,0.275604
9.800000,-0.928920,0.369816,-0.928943,0.370275
9.900000,-0.887294,0.460627,-0.887325,0.461243
