time,x_vverlet,p_vverlet,x_beeman,p_beeman
0,1.000000,0.000000,1.000000,0.000000
0.100000,-2.125000,17.578125,-2.125000,17.578125
0.200000,8.031250,-74.707031,11.286458,-39.442274
0.300000,-32.007812,299.926758,-45.842448,133.097331
0.400000,128.001953,-1199.981689,183.543945,-526.221381
0.500000,-512.000488,4799.995422,-734.219320,2103.343540
0.600000,2048.000122,-19199.998856,2936.888163,-8412.988663
0.700000,-8192.000031,76799.999714,-11747.555374,33651.858277
0.800000,32768.000008,-307199.999928,46990.222177,-134607.409014
0.900000,-131072.000002,1228799.999982,-187960.888878,538429.630031
1.000000,524288.000000,-4915199.999996,751843.555553,-2153718.518619
1.100000,-2097152.000000,19660799.999999,-3007374.222222,8614874.074099
1.200000,8388608.000000,-78643200.000000,12029496.888889,-34459496.296303
1.300000,-33554432.000000,314572800.000000,-48117987.555556,137837985.185187
1.400000,134217728.000000,-1258291200.000001,192471950.222222,-551351940.740742
1.500000,-536870912.000000,5033164800.000006,-769887800.888890,2205407762.962969
1.600000,2147483648.000002,-20132659200.000023,3079551203.555561,-8821631051.851870
1.700000,-8589934592.000011,80530636800.000122,-12318204814.222244,35286524207.407471
1.800000,34359738368.000046,-322122547200.000427,49272819256.888962,-141146096829.629730
1.900000,-137438953472.000183,1288490188800.001709,-197091277027.555847,564584387318.519287
2.000000,549755813888.000732,-5153960755200.006836,788365108110.223389,-2258337549274.077148
2.100000,-2199023255552.002930,20615843020800.027344,-3153460432440.893555,9033350197096.308594
2.200000,8796093022208.011719,-82463372083200.109375,12613841729763.574219,-36133400788385.234375
2.300000,-35184372088832.046875,329853488332800.437500,-50455366919054.296875,144533603153540.937500
2.400000,140737488355328.187500,-1319413953331201.750000,201821467676217.187500,-578134412614163.750000
2.500000,-562949953421312.750000,5277655813324807.000000,-807285870704868.750000,2312537650456655.000000
2.600000,2251799813685251.000000,-21110623253299228.000000,3229143482819475.000000,-9250150601826620.000000
2.700000,-9007199254741004.000000,84442493013196912.000000,-12916573931277900.000000,37000602407306480.000000
2.800000,36028797018964016.000000,-337769972052787648.000000,51666295725111600.000000,-148002409629225920.000000
2.900000,-144115188075856064.000000,1351079888211150592.000000,-206665182900446400.000000,592009638516903680.000000
3.000000,576460752303424256.000000,-5404319552844602368.000000,826660731601785600.000000,-2368038554067614720.000000
3.100000,-2305843009213697024.000000,21617278211378409472.000000,-3306642926407142400.000000,9472154216270458880.000000
3.200000,9223372036854788096.000000,-86469112845513637888.000000,13226571705628569600.000000,-37888616865081835520.000000
3.300000,-36893488147419152384.000000,345876451382054551552.000000,-52906286822514278400.000000,151554467460327342080.000000
3.400000,147573952589676609536.000000,-1383505805528218206208.000000,211625147290057113600.000000,-606217869841309368320.000000
3.500000,-590295810358706438144.000000,5534023222112872824832.000000,-846500589160228454400.000000,2424871479365237473280.000000
3.600000,2361183241434825752576.000000,-22136092888451491299328.000000,3386002356640913817600.000000,-9699485917460949893120.000000
3.700000,-9444732965739303010304.000000,88544371553805965197312.000000,-13544009426563655270400.000000,38797943669843799572480.000000
3.800000,37778931862957212041216.000000,-354177486215223860789248.000000,54176037706254621081600.000000,-155191774679375198289920.000000
3.900000,-151115727451828848164864.000000,1416709944860895443156992.000000,-216704150825018484326400.000000,620767098717500793159680.000000
4.000000,604462909807315392659456.000000,-5666839779443581772627968.000000,866816603300073937305600.000000,-2483068394870003172638720.000000
4.100000,-2417851639229261570637824.000000,22667359117774327090511872.000000,-3467266413200295749222400.000000,9932273579480012690554880.000000
4.200000,9671406556917046282551296.000000,-90669436471097308362047488.000000,13869065652801182996889600.000000,-39729094317920050762219520.000000
4.300000,-38685626227668185130205184.000000,362677745884389233448189952.000000,-55476262611204731987558400.000000,158916377271680203048878080.000000
4.400000,154742504910672740520820736.000000,-1450710983537556933792759808.000000,221905050444818927950233600.000000,-635665509086720812195512320.000000
4.500000,-618970019642690962083282944.000000,5802843934150227735171039232.000000,-887620201779275711800934400.000000,2542662036346883248782049280.000000
4.600000,2475880078570763848333131776.000000,-23211375736600910940684156928.000000,3550480807117102847203737600.000000,-10170648145387532995128197120.000000
4.700000,-9903520314283055393332527104.000000,92845502946403643762736627712.000000,-14201923228468411388814950400.000000,40682592581550131980512788480.000000
4.800000,39614081257132221573330108416.000000,-371382011785614575050946510848.000000,56807692913873645555259801600.000000,-162730370326200527922051153920.000000
4.900000,-158456325028528886293320433664.000000,1485528047142458300203786043392.000000,-227230771655494582221039206400.000000,650921481304802111688204615680.000000
5.000000,633825300114115545173281734656.000000,-5942112188569833200815144173568.000000,908923086621978328884156825600.000000,-2603685925219208446752818462720.000000
5.100000,-2535301200456462180693126938624.000000,23768448754279332803260576694272.000000,-3635692346487913315536627302400.000000,10414743700876833787011273850880.000000
5.200000,10141204801825848722772507754496.000000,-95073795017117331213042306777088.000000,14542769385951653262146509209600.000000,-41658974803507335148045095403520.000000
5.300000,-40564819207303394891090031017984.000000,380295180068469324852169227108352.000000,-58171077543806613048586036838400.000000,166635899214029340592180381614080.000000
5.400000,162259276829213579564360124071936.000000,-1521180720273877299408676908433408.000000,232684310175226452194344147353600.000000,-666543596856117362368721526456320.000000
5.500000,-649037107316854318257440496287744.000000,6084722881095509197634707633733632.000000,-930737240700905808777376589414400.000000,2666174387424469449474886105825280.000000
5.600000,2596148429267417273029761985150976.000000,-24338891524382036790538830534934528.000000,3722948962803623235109506357657600.000000,-10664697549697877797899544423301120.000000
5.700000,-10384593717069669092119047940603904.000000,97355566097528147162155322139738112.000000,-14891795851214492940438025430630400.000000,42658790198791511191598177693204480.000000
5.800000,41538374868278676368476191762415616.000000,-389422264390112588648621288558952448.000000,59567183404857971761752101722521600.000000,-170635160795166044766392710772817920.000000
5.900000,-166153499473114705473904767049662464.000000,1557689057560450354594485154235809792.000000,-238268733619431887047008406890086400.000000,682540643180664179065570843091271680.000000
6.000000,664613997892458821895619068198649856.000000,-6230756230241801418377940616943239168.000000,953074934477727548188033627560345600.000000,-2730162572722656716262283372365086720.000000
6.100000,-2658455991569835287582476272794599424.000000,24923024920967205673511762467772956672.000000,-3812299737910910192752134510241382400.000000,10920650290890626865049133489460346880.000000
6.200000,10633823966279341150329905091178397696.000000,-99692099683868822694047049871091826688.000000,15249198951643640771008538040965529600.000000,-43682601163562507460196533957841387520.000000
6.300000,-42535295865117364601319620364713590784.000000,398768398735475290776188199484367306752.000000,-60996795806574563084034152163862118400.000000,174730404654250029840786135831365550080.000000
6.400000,170141183460469458405278481458854363136.000000,-1595073594941901163104752797937469227008.000000,243987183226298252336136608655448473600.000000,-698921618617000119363144543325462200320.000000
6.500000,-680564733841877833621113925835417452544.000000,6380294379767604652419011191749876908032.000000,-975948732905193009344546434621793894400.000000,2795686474468000477452578173301848801280.000000
6.600000,2722258935367511334484455703341669810176.000000,-25521177519070418609676044766999507632128.000000,3903794931620772037378185738487175577600.000000,-11182745897872001909810312693207395205120.000000
6.700000,-10889035741470045337937822813366679240704.000000,102084710076281674438704179067998030528512.000000,-15615179726483088149512742953948702310400.000000,44730983591488007639241250772829580820480.000000
6.800000,43556142965880181351751291253466716962816.000000,-408338840305126697754816716271992122114048.000000,62460718905932352598050971815794809241600.000000,-178923934365952030556965003091318323281920.000000
6.900000,-174224571863520725407005165013866867851264.000000,1633355361220506791019266865087968488456192.000000,-249842875623729410392203887263179236966400.000000,715695737463808122227860012365273293127680.000000
7.000000,696898287454082901628020660055467471405056.000000,-6533421444882027164077067460351873953824768.000000,999371502494917641568815549052716947865600.000000,-2862782949855232488911440049461093172510720.000000
7.100000,-2787593149816331606512082640221869885620224.000000,26133685779528108656308269841407495815299072.000000,-3997486009979670566275262196210867791462400.000000,11451131799420929955645760197844372690042880.000000
7.200000,11150372599265326426048330560887479542480896.000000,-104534743118112434625233079365629983261196288.000000,15989944039918682265101048784843471165849600.000000,-45804527197683719822583040791377490760171520.000000
7.300000,-44601490397061305704193322243549918169923584.000000,418138972472449738500932317462519933044785152.000000,-63959776159674729060404195139373884663398400.000000,183218108790734879290332163165509963040686080.000000
7.400000,178405961588245222816773288974199672679694336.000000,-1672555889889798954003729269850079732179140608.000000,255839104638698916241616780557495538653593600.000000,-732872435162939517161328652662039852162744320.000000
7.500000,-713623846352980891267093155896798690718777344.000000,6690223559559195816014917079400318928716562432.000000,-1023356418554795664966467122229982154614374400.000000,2931489740651758068645314610648159408650977280.000000
7.600000,2854495385411923565068372623587194762875109376.000000,-26760894238236783264059668317601275714866249728.000000,4093425674219182659865868488919928618457497600.000000,-11725958962607032274581258442592637634603909120.000000
7.700000,-11417981541647694260273490494348779051500437504.000000,107043576952947133056238673270405102859464998912.000000,-16373702696876730639463473955679714473829990400.000000,46903835850428129098325033770370550538415636480.000000
7.800000,45671926166590777041093961977395116206001750016.000000,-428174307811788532224954693081620411437859995648.000000,65494810787506922557853895822718857895319961600.000000,-187615343401712516393300135081482202153662545920.000000
7.900000,-182687704666363108164375847909580464824007000064.000000,1712697231247154128899818772326481645751439982592.000000,-261979243150027690231415583290875431581279846400.000000,750461373606850065573200540325928808614650183680.000000
8.000000,730750818665452432657503391638321859296028000256.000000,-6850788924988616515599275089305926583005759930368.000000,1047916972600110760925662333163501726325119385600.000000,-3001845494427400262292802161303715234458600734720.000000
8.100000,-2923003274661809730630013566553287437184112001024.000000,27403155699954466062397100357223706332023039721472.000000,-4191667890400443043702649332654006905300477542400.000000,12007381977709601049171208645214860937834402938880.000000
8.200000,11692013098647238922520054266213149748736448004096.000000,-109612622799817864249588401428894825328092158885888.000000,16766671561601772174810597330616027621201910169600.000000,-48029527910838404196684834580859443751337611755520.000000
8.300000,-46768052394588955690080217064852598994945792016384.000000,438450491199271456998353605715579301312368635543552.000000,-67066686246407088699242389322464110484807640678400.000000,192118111643353616786739338323437775005350447022080.000000
8.400000,187072209578355822760320868259410395979783168065536.000000,-1753801964797085827993414422862317205249474542174208.000000,268266744985628354796969557289856441939230562713600.000000,-768472446573414467146957353293751100021401788088320.000000
