side,temp,obs,variable,value
32,0.2,energy,tau,
32,0.2,magnet,tau,
32,0.3,energy,tau,
32,0.3,magnet,tau,
32,0.4,energy,tau,0.999996969692889
32,0.4,magnet,tau,0.999996969692889
32,0.5,energy,tau,0.999870690612112
32,0.5,magnet,tau,0.999870690612112
32,0.6,energy,tau,1.00328398872137
32,0.6,magnet,tau,1.00326590853078
32,0.7,energy,tau,1.00716232444227
32,0.7,magnet,tau,1.00706944591506
32,0.8,energy,tau,1.01648415441558
32,0.8,magnet,tau,1.01654544652424
32,0.9,energy,tau,1.02921273896788
32,0.9,magnet,tau,1.02955288774986
32,1,energy,tau,1.03781032666297
32,1,magnet,tau,1.03923494611309
32,1.1,energy,tau,1.05777443613574
32,1.1,magnet,tau,1.05958686830814
32,1.2,energy,tau,1.08805287986778
32,1.2,magnet,tau,1.09307267374201
32,1.3,energy,tau,1.12065249617963
32,1.3,magnet,tau,1.13036764642692
32,1.4,energy,tau,1.16308319763279
32,1.4,magnet,tau,1.18498318306269
32,1.5,energy,tau,1.22204853756143
32,1.5,magnet,tau,1.25916033441502
32,1.6,energy,tau,1.29648433880569
32,1.6,magnet,tau,1.36706116020073
32,1.7,energy,tau,1.38480836146148
32,1.7,magnet,tau,1.51370126077549
32,1.8,energy,tau,1.53361240508596
32,1.8,magnet,tau,1.79462927707004
32,1.9,energy,tau,1.75911896561283
32,1.9,magnet,tau,2.29720940769559
32,2,energy,tau,2.17950274918306
32,2,magnet,tau,3.50012190440826
32,2.1,energy,tau,3.26307900384283
32,2.1,magnet,tau,6.90093634895333
32,2.2,energy,tau,9.38170411348151
32,2.2,magnet,tau,29.5544279834303
32,2.3,energy,tau,20.0998136817865
32,2.3,magnet,tau,41.2201885675975
32,2.4,energy,tau,9.45921655068905
32,2.4,magnet,tau,23.5607533109075
32,2.5,energy,tau,3.94253667297631
32,2.5,magnet,tau,11.084925287113
32,2.6,energy,tau,2.71028357851502
32,2.6,magnet,tau,6.19496044506854
32,2.7,energy,tau,2.29218023321449
32,2.7,magnet,tau,4.14683624722239
32,2.8,energy,tau,2.06272960065133
32,2.8,magnet,tau,2.99624186185471
32,2.9,energy,tau,1.95308369197736
32,2.9,magnet,tau,2.36320707056785
32,3,energy,tau,1.89238903669192
32,3,magnet,tau,1.97723080382711
32,3.1,energy,tau,1.8328284277786
32,3.1,magnet,tau,1.71109215209429
32,3.2,energy,tau,1.79999995308468
32,3.2,magnet,tau,1.5303694989104
32,3.3,energy,tau,1.79014749871985
32,3.3,magnet,tau,1.39921143697826
32,3.4,energy,tau,1.78881131066151
32,3.4,magnet,tau,1.29808823595375
32,3.5,energy,tau,1.78517881982564
32,3.5,magnet,tau,1.2259498262058
32,3.6,energy,tau,1.79042281453385
32,3.6,magnet,tau,1.17266992501223
32,3.7,energy,tau,1.79552032556347
32,3.7,magnet,tau,1.13156256772045
32,3.8,energy,tau,1.81391469023369
32,3.8,magnet,tau,1.09746325753871
32,3.9,energy,tau,1.83178140667159
32,3.9,magnet,tau,1.07161410356627
32,4,energy,tau,1.83561322899271
32,4,magnet,tau,1.05082254254509
32,4.1,energy,tau,1.85745205589689
32,4.1,magnet,tau,1.03351931817563
32,4.2,energy,tau,1.87104495274312
32,4.2,magnet,tau,1.02187311421188
45,0.2,energy,tau,
45,0.2,magnet,tau,
45,0.3,energy,tau,
45,0.3,magnet,tau,
45,0.4,energy,tau,0.999993939368432
45,0.4,magnet,tau,0.999993939368432
45,0.5,energy,tau,0.999778739379179
45,0.5,magnet,tau,0.999778739379179
45,0.6,energy,tau,1.00151075964565
45,0.6,magnet,tau,1.00149794973419
45,0.7,energy,tau,1.00564592188159
45,0.7,magnet,tau,1.00574646306879
45,0.8,energy,tau,1.01155500167344
45,0.8,magnet,tau,1.01159265668562
45,0.9,energy,tau,1.02287820662795
45,0.9,magnet,tau,1.02341084706556
45,1,energy,tau,1.03879267688793
45,1,magnet,tau,1.04021031955202
45,1.1,energy,tau,1.06215949290078
45,1.1,magnet,tau,1.06551863009764
45,1.2,energy,tau,1.08366455641309
45,1.2,magnet,tau,1.08847933320041
45,1.3,energy,tau,1.11693880744574
45,1.3,magnet,tau,1.12744862450499
45,1.4,energy,tau,1.16384099613691
45,1.4,magnet,tau,1.18294103709416
45,1.5,energy,tau,1.21842415353453
45,1.5,magnet,tau,1.25443678292847
45,1.6,energy,tau,1.29592642343433
45,1.6,magnet,tau,1.36242875029236
45,1.7,energy,tau,1.39344113613011
45,1.7,magnet,tau,1.51708066393962
45,1.8,energy,tau,1.5259911090322
45,1.8,magnet,tau,1.76282716434145
45,1.9,energy,tau,1.75874911057403
45,1.9,magnet,tau,2.25495229341417
45,2,energy,tau,2.18192172957951
45,2,magnet,tau,3.7859016816602
45,2.1,energy,tau,3.20242201516371
45,2.1,magnet,tau,7.23020297890573
45,2.2,energy,tau,10.2309508857186
45,2.2,magnet,tau,36.4188272628587
45,2.3,energy,tau,35.4164894012199
45,2.3,magnet,tau,82.0177941558725
45,2.4,energy,tau,8.44858739285003
45,2.4,magnet,tau,30.2786460621863
45,2.5,energy,tau,3.62589628631096
45,2.5,magnet,tau,11.754116312891
45,2.6,energy,tau,2.66928960267232
45,2.6,magnet,tau,6.26985922004652
45,2.7,energy,tau,2.27449392680171
45,2.7,magnet,tau,4.13377980552879
45,2.8,energy,tau,2.0680672966758
45,2.8,magnet,tau,3.00183150612433
45,2.9,energy,tau,1.97722244108939
45,2.9,magnet,tau,2.37685668053347
45,3,energy,tau,1.89215673432441
45,3,magnet,tau,1.98474608192427
45,3.1,energy,tau,1.8644626094016
45,3.1,magnet,tau,1.70507137128875
45,3.2,energy,tau,1.8045028163096
45,3.2,magnet,tau,1.52872176029808
45,3.3,energy,tau,1.79784444446301
45,3.3,magnet,tau,1.38994353115307
45,3.4,energy,tau,1.80002764623675
45,3.4,magnet,tau,1.29811423924285
45,3.5,energy,tau,1.80398188838375
45,3.5,magnet,tau,1.22522461689291
45,3.6,energy,tau,1.80510024426575
45,3.6,magnet,tau,1.16797853498984
45,3.7,energy,tau,1.81423063439754
45,3.7,magnet,tau,1.12258295710999
45,3.8,energy,tau,1.83882530533732
45,3.8,magnet,tau,1.09156722222729
45,3.9,energy,tau,1.85831286711261
45,3.9,magnet,tau,1.06373097657559
45,4,energy,tau,1.85276157801856
45,4,magnet,tau,1.04475616428032
45,4.1,energy,tau,1.86768346351867
45,4.1,magnet,tau,1.03032746943284
45,4.2,energy,tau,1.90645639472643
45,4.2,magnet,tau,1.01749086317481
64,0.2,energy,tau,
64,0.2,magnet,tau,
64,0.3,energy,tau,
64,0.3,magnet,tau,
64,0.4,energy,tau,0.999990909025609
64,0.4,magnet,tau,0.999990909025609
64,0.5,energy,tau,0.999551314828227
64,0.5,magnet,tau,0.999551314828227
64,0.6,energy,tau,1.00115198533936
64,0.6,magnet,tau,1.00112528059259
64,0.7,energy,tau,1.0040186907799
64,0.7,magnet,tau,1.00401420288608
64,0.8,energy,tau,1.0143235981428
64,0.8,magnet,tau,1.0144704738269
64,0.9,energy,tau,1.0293662025539
64,0.9,magnet,tau,1.02961393498606
64,1,energy,tau,1.04069522275876
64,1,magnet,tau,1.04184390459486
64,1.1,energy,tau,1.05952625135708
64,1.1,magnet,tau,1.06223529063419
64,1.2,energy,tau,1.08788488353997
64,1.2,magnet,tau,1.09325966411236
64,1.3,energy,tau,1.12019312149148
64,1.3,magnet,tau,1.12947986550844
64,1.4,energy,tau,1.16084620096476
64,1.4,magnet,tau,1.18129258440062
64,1.5,energy,tau,1.22077783448368
64,1.5,magnet,tau,1.25697845121523
64,1.6,energy,tau,1.29530813089072
64,1.6,magnet,tau,1.36260736686164
64,1.7,energy,tau,1.38755062498859
64,1.7,magnet,tau,1.52136875721589
64,1.8,energy,tau,1.53500193052447
64,1.8,magnet,tau,1.78074624671754
64,1.9,energy,tau,1.74516133179753
64,1.9,magnet,tau,2.24977202657139
64,2,energy,tau,2.1676728823435
64,2,magnet,tau,3.38627203335632
64,2.1,energy,tau,3.20775943845066
64,2.1,magnet,tau,7.1018018766899
64,2.2,energy,tau,9.42591846002884
64,2.2,magnet,tau,35.2057683367009
64,2.3,energy,tau,49.732141378143
64,2.3,magnet,tau,126.027513620782
64,2.4,energy,tau,7.46042600691569
64,2.4,magnet,tau,35.8056543683684
64,2.5,energy,tau,3.4588746943151
64,2.5,magnet,tau,11.9347694168411
64,2.6,energy,tau,2.68176579253437
64,2.6,magnet,tau,6.40086859486766
64,2.7,energy,tau,2.28907189221194
64,2.7,magnet,tau,4.15502957325893
64,2.8,energy,tau,2.09676167531016
64,2.8,magnet,tau,3.03684327218156
64,2.9,energy,tau,1.97401304208903
64,2.9,magnet,tau,2.37072488669076
64,3,energy,tau,1.89062216705218
64,3,magnet,tau,1.95608272737052
64,3.1,energy,tau,1.83870012896874
64,3.1,magnet,tau,1.70015449761768
64,3.2,energy,tau,1.85194665785652
64,3.2,magnet,tau,1.5172688620734
64,3.3,energy,tau,1.80843302647743
64,3.3,magnet,tau,1.38389952033902
64,3.4,energy,tau,1.80890262767012
64,3.4,magnet,tau,1.28752594966994
64,3.5,energy,tau,1.80473049422322
64,3.5,magnet,tau,1.21744466135927
64,3.6,energy,tau,1.8157086741587
64,3.6,magnet,tau,1.16174332539401
64,3.7,energy,tau,1.8149935640253
64,3.7,magnet,tau,1.12282523269002
64,3.8,energy,tau,1.83438662814803
64,3.8,magnet,tau,1.08765146231603
64,3.9,energy,tau,1.84507697324075
64,3.9,magnet,tau,1.06247300995741
64,4,energy,tau,1.85731595813054
64,4,magnet,tau,1.04163939124705
64,4.1,energy,tau,1.88840404621093
64,4.1,magnet,tau,1.02702796095038
64,4.2,energy,tau,1.92760185116601
64,4.2,magnet,tau,1.01777450670072
90,0.2,energy,tau,
90,0.2,magnet,tau,
90,0.3,energy,tau,
90,0.3,magnet,tau,
90,0.4,energy,tau,0.999978787470658
90,0.4,magnet,tau,0.999978787470658
90,0.5,energy,tau,1.00361987401291
90,0.5,magnet,tau,1.00361987401291
90,0.6,energy,tau,1.00167046865438
90,0.6,magnet,tau,1.00173534446918
90,0.7,energy,tau,1.0058448288537
90,0.7,magnet,tau,1.00594513434194
90,0.8,energy,tau,1.0144824529938
90,0.8,magnet,tau,1.01472628100786
90,0.9,energy,tau,1.02672992213991
90,0.9,magnet,tau,1.02714662527126
90,1,energy,tau,1.0409888315277
90,1,magnet,tau,1.04154866879014
90,1.1,energy,tau,1.06193330295617
90,1.1,magnet,tau,1.06447506394539
